date,daily_return,equity_twr
2025-12-08,-0.008889727,0.991110273
2025-12-09,-0.0129231568,0.9783019995
2025-12-10,0.0278109373,1.0055094951
2025-12-11,0.0029605884,1.0084863949
2025-12-12,0.0006743568,1.0091664745
2025-12-13,-0.0081954147,1.0008959368
2025-12-14,0.0394588932,1.0403901826
2025-12-15,0.0046113174,1.045187752
2025-12-16,-0.0168875496,1.027537092
2025-12-17,-0.0040419677,1.0233838202
2025-12-18,-0.0008682539,1.0224952632
2025-12-19,-1.0,0.0
2025-12-20,-0.0113289076,0.0
2025-12-21,0.0393884055,0.0
2025-12-22,0.0104295712,0.0
2025-12-23,-0.0138597586,0.0
2025-12-24,0.0019652932,0.0
2025-12-25,-0.0310620035,0.0
2025-12-26,0.0114105663,0.0
2025-12-27,-0.0205656582,0.0
2025-12-28,-0.0012576441,0.0
2025-12-29,0.0292635067,0.0
2025-12-30,0.011994972,0.0
2025-12-31,0.009380805,0.0
2026-01-01,-0.0822873729,0.0
2026-01-02,-0.0532274257,0.0
2026-01-03,-0.0106796707,0.0
2026-01-04,-0.0264129262,0.0
