date,daily_return,equity_twr
2025-07-11,0.0148667318,1.0148667318
2025-07-12,-0.0184108566,0.9961821659
2025-07-13,-0.031009539,0.9652910162
2025-07-14,-0.0294979297,0.9368169297
2025-07-15,0.0136012934,0.9495588516
2025-07-16,-0.2199520813,0.7407014059
2025-07-17,-0.0004875578,0.7403402711
2025-07-18,0.0094088599,0.747306029
2025-07-19,0.0079351665,0.7532360268
2025-07-20,-0.0780731154,0.6944285435
2025-07-21,-0.0406488868,0.6662007963
2025-07-22,0.0518353403,0.7007335413
2025-07-23,0.1574755642,0.811081951
2025-07-24,0.0073699379,0.8170595746
2025-07-25,0.0221729327,0.8351761816
2025-07-26,-0.015430393,0.8222890849
2025-07-27,-0.0808600836,0.7557987207
2025-07-28,0.1470425666,0.8669333045
2025-07-29,0.016697548,0.8814089649
2025-07-30,0.0222393426,0.9010109209
2025-07-31,0.025593444,0.9240708934
2025-08-01,0.0290913876,0.950953398
2025-08-02,0.0322900928,0.9816597714
2025-08-03,-0.0237886822,0.9583073791
2025-08-04,-0.0337335297,0.9259802887
2025-08-05,0.0754343905,0.9958310474
2025-08-06,-0.0057534614,0.9901015719
2025-08-07,-0.0302607873,0.9601403188
2025-08-08,-0.0559222042,0.9064471558
2025-08-09,-0.0898344578,0.8250169671
2025-08-10,0.0263368404,0.8467453072
2025-08-11,0.0489981486,0.8882342596
2025-08-12,-0.105904284,0.7941664463
2025-08-13,-0.0463236509,0.7573777571
2025-08-14,0.2589535772,0.9535034366
2025-08-15,0.0194457473,0.9720450235
2025-08-16,-0.0034624656,0.968679351
2025-08-17,-0.0212262673,0.9481179042
2025-08-18,0.1004337691,1.0433409589
2025-08-19,0.0307278918,1.075400627
2025-08-20,-0.0063634852,1.068557331
2025-08-21,0.0455970879,1.1172804336
2025-08-22,-0.2478230163,0.8403926265
2025-08-23,-0.0022270056,0.8385210674
2025-08-24,-0.0039335111,0.8352227354
2025-08-25,0.1095003663,0.9266799309
2025-08-26,-0.0349913703,0.8942541303
2025-08-27,0.0005793299,0.8947721985
2025-08-28,-0.000236299,0.8945607647
2025-08-29,-0.1701600701,0.7423422423
2025-08-30,0.0003828792,0.7426264697
2025-08-31,0.003258333,0.745046194
2025-09-01,0.0321308519,0.7689851629
2025-09-02,0.0241787167,0.7875782373
2025-09-03,0.0019298191,0.7890981208
2025-09-04,0.0558581532,0.8331756846
2025-09-05,-0.0057844542,0.828356218
2025-09-06,0.0576627195,0.8761214902
2025-09-07,-0.0104221267,0.866990441
2025-09-08,-0.0381582242,0.8339076254
2025-09-09,-0.0034964605,0.8309919003
2025-09-10,0.0212721967,0.8486689235
2025-09-11,0.0063956697,0.8540967296
2025-09-12,-0.1338549539,0.7397716513
2025-09-13,0.0227991629,0.7566378256
2025-09-14,-0.0609378822,0.7105299189
2025-09-15,0.0048240763,0.7139575695
2025-09-16,0.0564316699,0.7542473874
2025-09-17,-0.0327265068,0.7295635051
2025-09-18,-0.0725209349,0.6766548777
2025-09-19,0.0966964112,0.742084976
2025-09-20,-0.01197543,0.7331981893
2025-09-21,0.2098795102,0.8870814661
2025-09-22,0.0139979509,0.8994987889
2025-09-23,-0.1542000972,0.7607959882
2025-09-24,-0.0485196014,0.7238824701
2025-09-25,0.0430525449,0.7550474527
2025-09-26,-0.0355377308,0.7282147796
2025-09-27,-0.0290207416,0.7070814466
2025-09-28,0.0106137829,0.7145862556
2025-09-29,0.1515351157,0.8228711665
2025-09-30,0.0183543963,0.83797447
2025-10-01,0.0764597765,0.9020458107
2025-10-02,-0.0417638514,0.8643729035
2025-10-03,-0.0486087139,0.8223568483
2025-10-04,0.0477289964,0.8616071154
2025-10-05,-0.0112770976,0.8518906879
2025-10-06,-0.020484638,0.8344400155
2025-10-07,-0.0408663292,0.8003395151
2025-10-08,0.0792438004,0.8637614599
2025-10-09,0.0165432988,0.8780509238
2025-10-10,0.3934174583,1.2234914866
2025-10-11,-0.3006733689,0.8556201795
2025-10-12,0.3230967803,1.1320683046
2025-10-13,-0.0741466971,1.0481291789
2025-10-14,-0.083871468,0.9602210461
2025-10-15,0.0624694312,1.0202055086
2025-10-16,0.0819671906,1.103828888
2025-10-17,-0.0869669148,1.0078322951
