date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,-0.0155049737,0.9844950263
2025-07-14,-0.001525912,0.9829927735
2025-07-15,-0.0112362782,0.9719475933
2025-07-16,-0.0220704566,0.9504962661
2025-07-17,0.00853801,0.9586116127
2025-07-18,0.0092570394,0.9674855182
2025-07-19,-0.0003040275,0.967191376
2025-07-20,-0.0218540065,0.9460543694
2025-07-21,-0.0353078302,0.9126512423
2025-07-22,0.0133109681,0.9247995139
2025-07-23,0.0276108571,0.9503340211
2025-07-24,0.0101891518,0.9600171187
2025-07-25,-0.0111992781,0.94926562
2025-07-26,0.0051107315,0.9541170617
2025-07-27,0.0009941545,0.9550656015
2025-07-28,0.0045045279,0.9593677211
2025-07-29,0.005959403,0.96508498
2025-07-30,0.0173709439,0.9818494171
2025-07-31,0.0013864321,0.9832106846
2025-08-01,-0.0098114246,0.9735639871
2025-08-02,-0.008425637,0.9653610904
2025-08-03,0.011090619,0.9760675424
2025-08-04,-0.0019236396,0.9741899402
2025-08-05,-0.003414158,0.9708639019
2025-08-06,0.0040986645,0.9748431473
2025-08-07,0.0162868792,0.9907202999
2025-08-08,-0.0099332478,0.9808792296
2025-08-09,-0.0035200484,0.9774264873
2025-08-10,0.026232286,1.0030666184
2025-08-11,0.032019076,1.0351838847
2025-08-12,-0.0092370815,1.0256218068
2025-08-13,0.0097310021,1.0356021347
2025-08-14,0.029143519,1.0657832252
2025-08-15,0.0734272373,1.144040743
2025-08-16,-0.0061385827,1.1370179543
2025-08-17,-0.0100501275,1.1255907789
2025-08-18,0.021915989,1.150259214
2025-08-19,0.0101726549,1.1619604041
2025-08-20,-0.0055273368,1.1555378576
2025-08-21,-0.0077651395,1.1465649449
2025-08-22,-0.0453746148,1.0945400022
2025-08-23,0.0125661816,1.1082941906
2025-08-24,0.0424800449,1.1553745776
2025-08-25,0.0783932557,1.2459481523
2025-08-26,-0.0012761086,1.2443581871
2025-08-27,0.0173091407,1.2658969581
2025-08-28,-9.01536e-05,1.2657828329
2025-08-29,0.0184592616,1.2891482493
2025-08-30,0.0,1.2891482493
2025-08-31,0.0,1.2891482493
2025-09-01,0.0,1.2891482493
2025-09-02,-1.4616e-06,1.2891463651
2025-09-03,-1.7655e-06,1.2891440891
2025-09-04,0.0,1.2891440891
2025-09-05,0.0,1.2891440891
2025-09-06,0.0,1.2891440891
2025-09-07,0.0,1.2891440891
2025-09-08,0.0011613057,1.2906411795
2025-09-09,0.0111175089,1.3049898943
2025-09-10,0.0061180932,1.3129739441
2025-09-11,-0.0017077536,1.3107317081
2025-09-12,-0.0211934175,1.2829528238
2025-09-13,0.0053335088,1.289795464
2025-09-14,0.017462383,1.3123183664
2025-09-15,0.0061117853,1.3203389745
2025-09-16,0.0079769337,1.3308712309
2025-09-17,-0.0003051279,1.330465145
2025-09-18,0.0,1.330465145
2025-09-19,-8.565e-07,1.3304640054
2025-09-20,0.0,1.3304640054
2025-09-21,0.0,1.3304640054
2025-09-22,-0.0102774319,1.3167902522
2025-09-23,-0.0116620437,1.3014337868
2025-09-24,0.0029952134,1.3053318587
2025-09-25,-0.0157784597,1.2847357326
2025-09-26,0.0167589162,1.306266511
2025-09-27,0.0091831371,1.3182621355
2025-09-28,0.0018823702,1.3207435929
2025-09-29,-0.0018702708,1.3182734447
2025-09-30,-0.0080618232,1.3076457572
2025-10-01,-0.0040440681,1.3023575488
2025-10-02,-0.0142193287,1.2838388987
2025-10-03,-0.0070829473,1.2747455354
2025-10-04,-0.0004289794,1.2741986958
2025-10-05,0.0107181892,1.2878557985
2025-10-06,0.0157854905,1.308185234
2025-10-07,-0.0167434039,1.2862817603
2025-10-08,-0.0074781646,1.2766627335
2025-10-09,-0.0339826451,1.233278357
2025-10-10,-0.1470454937,1.0519303321
2025-10-11,-0.0176885781,1.0333231803
2025-10-12,0.050173872,1.0851690052
2025-10-13,0.0104374507,1.0964954032
2025-10-14,-0.0121727071,1.0831480859
2025-10-15,-0.0037907675,1.0790421233
2025-10-16,-0.0256726516,1.0513402508
2025-10-17,-0.0078969648,1.0430378538
2025-10-18,0.0048248978,1.0480704049
2025-10-19,0.0125239385,1.0611963742
2025-10-20,-0.0117954834,1.04867905
2025-10-21,0.0055305138,1.0544787839
2025-10-22,-0.0269329364,1.0260785739
2025-10-23,0.0274556324,1.05425021
2025-10-24,0.013317314,1.0682899911
2025-10-25,0.0010349013,1.0693955658
2025-10-26,0.0064156209,1.0762564024
2025-10-27,-0.0102822141,1.0651901036
2025-10-28,0.006966752,1.0726110189
2025-10-29,-0.026704631,1.0439673374
2025-10-30,-0.0060951404,1.0376042099
2025-10-31,0.0214325186,1.0598426815
2025-11-01,0.0023193782,1.0623008575
2025-11-02,-0.0070470857,1.0548147323
2025-11-03,0.0033002908,1.0582959276
2025-11-04,-0.0533635996,1.0018214475
2025-11-05,0.0708979498,1.0728485342
2025-11-06,-0.0344742628,1.0358628719
2025-11-07,0.0633313761,1.101465493
2025-11-08,-0.0059599214,1.0949008453
2025-11-09,0.0124726433,1.1085571529
2025-11-10,-0.0355729711,1.0691224814
2025-11-11,0.0059201004,1.0754517938
2025-11-12,0.0201002222,1.0970686138
2025-11-13,0.0008438948,1.0979944243
2025-11-14,-0.0047290384,1.0928019665
2025-11-15,-0.0017587745,1.0908799743
2025-11-16,-0.0064251346,1.0838709236
2025-11-17,0.0070122472,1.0914712945
2025-11-18,0.0371748193,1.1320465426
2025-11-19,-0.0269000033,1.1015944869
2025-11-20,-0.0099032413,1.0906851309
2025-11-21,-0.0237417444,1.0647903633
2025-11-22,-0.0256191521,1.037511337
2025-11-28,0.0885966067,1.1294313209
2025-11-29,-0.0176944596,1.109446644
2025-11-30,0.0081783936,1.1185201353
2025-12-01,0.0217328499,1.1428287655
2025-12-02,-0.0040061472,1.1382504253
2025-12-03,-0.010841268,1.1259103474
2025-12-04,0.0146844868,1.142443763
2025-12-05,0.0096816869,1.1535045458
2025-12-06,0.0019608693,1.1557664175
2025-12-07,-0.01141209,1.1425767071
2025-12-08,0.008518177,1.1523093777
2025-12-09,0.0154728193,1.1701388525
2025-12-10,-0.0047825185,1.1645426418
2025-12-11,0.0062140884,1.1717792127
2025-12-12,-0.015905838,1.1531410824
2025-12-13,0.0068131068,1.1609975557
2025-12-14,-0.0060651935,1.1539558809
2025-12-15,-0.0168923354,1.1344628711
2025-12-16,-0.0089333282,1.124328342
2025-12-17,-0.0220068999,1.0995853607
2025-12-18,-0.0069741479,1.0919166898
2025-12-19,0.0362529448,1.1315018852
2025-12-20,0.0054706735,1.1376919626
2025-12-21,-0.0192815631,1.1157554833
2025-12-22,0.0061819567,1.1226530353
2025-12-23,0.0039590005,1.1270976193
2025-12-24,-0.0138981536,1.1114330434
2025-12-25,-0.005067492,1.1058008654
2025-12-26,0.0056662103,1.1120665656
2025-12-27,0.0224025369,1.1369796779
2025-12-28,0.0152046718,1.1542670807
2025-12-29,0.0010992052,1.1555358571
2025-12-30,-0.0055520063,1.1491203148
2025-12-31,-0.002272531,1.1465089032
2026-01-01,-0.0073830249,1.1380441994
2026-01-02,-0.0025863709,1.135100795
2026-01-03,-0.0114626201,1.1220895659
2026-01-04,0.0013253521,1.1235767296
