date,daily_return,equity_twr
2025-07-11,0.0605231798,1.0605231798
2025-07-12,0.0451639213,1.1084205652
2025-07-13,0.0002876238,1.1087393734
2025-07-14,0.0347475962,1.1472654014
2025-07-15,-0.005570948,1.1408740455
2025-07-16,-0.1844327805,0.9304594731
2025-07-17,0.0207875266,0.9498014241
2025-07-18,-0.0036147872,0.9463680941
2025-07-19,-0.0181825076,0.929160749
2025-07-20,-0.0934607272,0.8423207098
2025-07-21,-0.176364696,0.6937650738
2025-07-22,-0.0255744078,0.6760224429
2025-07-23,0.3649873739,0.9227620991
2025-07-24,-0.0628379658,0.8647776058
2025-07-25,-0.1910593439,0.6995537639
2025-07-26,-0.0203708003,0.6853032938
2025-07-27,-0.0234758207,0.6692152366
2025-07-28,0.1808547093,0.7902459637
2025-07-29,0.0940012664,0.864530085
2025-07-30,0.0807646142,0.9343535238
2025-07-31,0.0953154552,1.0234118552
2025-08-01,0.1084418072,1.1343924863
2025-08-02,0.0311702576,1.1697517923
2025-08-03,-0.0546434505,1.1058325182
2025-08-04,-0.0607682945,1.038632962
2025-08-05,0.0682227707,1.1094913804
2025-08-06,0.1689648481,1.296956423
2025-08-07,0.1265924659,1.4611413348
2025-08-08,-0.0578218918,1.3766553786
2025-08-09,-0.1036280146,1.2339953149
2025-08-10,-0.0641041547,1.1548910884
2025-08-11,0.2417223516,1.4340540781
2025-08-12,-0.1427186361,1.229387836
2025-08-13,-0.2367408226,0.9383415484
2025-08-14,0.7151082333,1.6093573153
2025-08-15,-0.0081525713,1.596236915
2025-08-16,-0.0560584321,1.5067543763
2025-08-17,-0.0791163842,1.3875454182
2025-08-18,0.11366631,1.5452625858
2025-08-19,0.1510101366,1.7786129
2025-08-20,-0.120513798,1.5642655042
2025-08-21,0.100656081,1.7217183395
2025-08-22,-0.2052325518,1.3683656912
2025-08-23,0.023425498,1.400420339
2025-08-24,0.0505818013,1.4712561223
2025-08-25,0.2777180931,1.8798505671
2025-08-26,-0.1432907662,1.610485339
2025-08-27,0.012630951,1.6308273004
2025-08-28,-0.0936346312,1.4781253876
2025-08-29,-0.0441550658,1.4128586638
2025-08-30,-0.1658757757,1.178499637
2025-08-31,-0.0127539351,1.1634691291
2025-09-01,0.0398418051,1.2098238394
