date,daily_return,equity_twr
2025-07-11,0.0297223988,1.0297223988
2025-07-12,-0.0211738685,1.0079191921
2025-07-13,-0.0623896696,0.9450354468
2025-07-14,-0.1044977419,0.8462813766
2025-07-15,0.0135503868,0.8577488165
2025-07-16,-0.2225035927,0.6668966232
2025-07-17,-0.0036127605,0.6644872855
2025-07-18,0.127686398,0.7493332735
2025-07-19,-0.0143797786,0.7385580269
2025-07-20,-0.1389761499,0.6359160758
2025-07-21,-0.1176757133,0.561084198
2025-07-22,-0.0622321588,0.5261667171
2025-07-23,0.1263924937,0.5926702406
2025-07-24,0.0987882529,0.6512190982
2025-07-25,-0.0272338778,0.6334838768
2025-07-26,-0.0511250894,0.601096957
2025-07-27,-0.1063279876,0.5371835272
2025-07-28,0.1543821462,0.620115073
2025-07-29,0.0980423341,0.6809126022
2025-07-30,0.0358652113,0.7053336766
2025-07-31,0.0695726804,0.754405631
2025-08-01,0.0098849455,0.7618628896
2025-08-02,-0.0195476841,0.7469702345
2025-08-03,0.0580147812,0.7903055492
2025-08-04,0.0414224835,0.8230419678
2025-08-05,0.0874980164,0.8950565074
2025-08-06,0.0135329327,0.9071692468
2025-08-07,-0.1234946126,0.7951387321
2025-08-08,-0.0239410108,0.7761023072
2025-08-09,-0.0967564753,0.7010093835
2025-08-10,-0.0601232815,0.658862399
2025-08-11,0.079701567,0.7113747646
2025-08-12,-0.1242105682,0.6230145009
2025-08-13,-0.1293635159,0.5424191546
2025-08-14,0.3066926848,0.7087751414
2025-08-15,-0.007122066,0.7037271981
2025-08-16,0.0045134004,0.7069034007
2025-08-17,-0.0302643588,0.6855094225
2025-08-18,0.1056157613,0.7579100221
2025-08-19,0.0528914148,0.7979969554
2025-08-20,0.0038031057,0.8010318222
2025-08-21,0.0473041631,0.8389239622
2025-08-22,-0.2842445375,0.6004644085
2025-08-23,0.0923675608,0.6559278413
2025-08-24,0.1486384352,0.7534239292
2025-08-25,0.2142713485,0.9148610905
2025-08-26,-0.0616160027,0.8584910071
2025-08-27,0.0452092123,0.8973027093
2025-08-28,-0.0892480129,0.8172202255
2025-08-29,0.2474259187,1.0194216906
2025-08-30,-0.0820176434,0.9358111259
