date,daily_return,equity_twr
2025-11-08,0.0889346063,1.0889346063
2025-11-09,-0.1611473766,0.9134556512
2025-11-10,-0.1414855184,0.7842149049
2025-11-11,0.4566411604,1.142319709
2025-11-12,0.0652678311,1.2168764388
2025-11-13,0.2954064845,1.5763496297
2025-11-14,0.0398406246,1.6391523836
2025-11-15,-0.0870623181,1.4964439773
2025-11-16,0.2555228869,1.8788196625
2025-11-17,0.1442902032,2.1499149334
2025-11-18,-0.3323204539,1.4354542269
2025-11-19,0.3294024363,1.9082963464
2025-11-20,0.0295824715,1.9647484687
2025-11-21,0.5124647606,2.9716128223
2025-11-22,0.0365079809,3.0801004065
2025-11-23,-0.2822642623,2.2106981374
2025-11-24,-0.2535082045,1.6502680219
2025-11-25,0.0182215082,1.6803383942
2025-11-26,-0.1739261958,1.3880835296
2025-11-27,0.0914065307,1.5149634294
2025-11-28,0.1692982923,1.7714441509
2025-11-29,0.071879942,1.8987754537
2025-11-30,-0.0570568873,1.7904372367
2025-12-01,0.6106051861,2.8836874988
2025-12-02,-0.5313998132,1.3512965006
2025-12-03,-0.212273045,1.0644526777
2025-12-04,0.186641741,1.2631239787
2025-12-05,0.4027374177,1.7718312681
2025-12-06,-0.0556554236,1.6732192483
2025-12-07,0.111483845,1.8597561637
2025-12-08,-0.2117764813,1.4659035472
2025-12-09,-0.2197188415,1.1438169181
2025-12-10,0.1949417046,1.3667945379
2025-12-11,0.0945243309,1.495989877
2025-12-12,0.2257768672,1.8337497848
2025-12-13,-0.0979316264,1.654167686
2025-12-14,0.2138704755,2.0079453155
2025-12-15,0.2641013269,2.5382463377
2025-12-16,-0.1904671242,2.0547938573
2025-12-17,0.2792942251,2.6286859154
2025-12-18,0.1255093512,2.9586105791
2025-12-19,-0.4299668801,1.686506019
2025-12-20,0.0148511447,1.7115525639
2025-12-21,0.090150004,1.8658490344
2025-12-22,-0.0981069836,1.6827962138
2025-12-23,0.1471558533,1.9304295265
2025-12-24,0.0100638203,1.9498570224
2025-12-25,0.0828610466,2.111424216
2025-12-26,0.2536119336,2.6469065941
2025-12-27,-0.1084764283,2.3597796207
2025-12-28,0.061020072,2.5037735431
2025-12-29,0.0256758939,2.5680601669
2025-12-30,-0.0248642451,2.5042072895
2025-12-31,0.2691555617,3.1782286091
2026-01-01,-0.4231506742,1.8333590304
2026-01-02,-0.8705495549,0.2373291425
2026-01-03,0.0306600687,0.2446056703
2026-01-04,-0.3485784831,0.1593413968
