date,daily_return,equity_twr
2025-11-20,0.1646351635,1.1646351635
2025-11-21,0.0088511154,1.1749434837
2025-11-22,0.0006125886,1.1756632407
2025-11-23,-0.0073919773,1.1669727647
2025-11-24,-0.0113892026,1.1536818755
2025-11-25,0.002410898,1.1564632848
2025-11-26,-0.0049285881,1.1507635536
2025-11-27,-4.14817e-05,1.150715818
2025-11-28,0.0017596224,1.1527406433
2025-11-29,0.0006947342,1.1535414917
2025-11-30,-0.0009587777,1.1524355018
2025-12-01,0.0157105717,1.1705409224
2025-12-02,-0.0122696475,1.1561787979
2025-12-03,-0.0047867394,1.1506444713
2025-12-04,0.0057439162,1.1572536767
2025-12-05,0.0074823387,1.1659126407
2025-12-06,0.0006296314,1.1666467359
2025-12-07,-0.001394811,1.1650194842
2025-12-08,-0.0032257678,1.1612614018
2025-12-09,-0.004591939,1.1559289603
2025-12-10,0.0037263565,1.1602363637
2025-12-11,0.0007107385,1.1610609884
2025-12-12,0.0046463823,1.1664557216
2025-12-13,8.09242e-05,1.1665501161
2025-12-14,0.0054899332,1.1729543983
2025-12-15,0.0071674071,1.18136144
2025-12-16,-0.0042527672,1.1763373848
2025-12-17,0.0061136251,1.1835290706
2025-12-18,0.0032724522,1.1874021129
2025-12-19,-0.0084006099,1.1774272109
2025-12-20,-0.0017364898,1.1753826206
2025-12-21,0.0006337926,1.1761275694
2025-12-22,0.0009566449,1.1772527058
2025-12-23,0.0021677164,1.1798046558
2025-12-24,0.0006017813,1.1805146402
2025-12-25,-0.0004536078,1.1799791496
2025-12-26,0.0023463326,1.1827477731
2025-12-27,-0.0019833181,1.180402008
2025-12-28,-0.0013154474,1.1788492513
2025-12-29,0.0018677526,1.1810510501
2025-12-30,-0.0019545442,1.1787426336
2025-12-31,0.0026040516,1.1818121402
2026-01-01,-0.0021782352,1.1792378754
2026-01-02,-0.0093257197,1.1682406335
2026-01-03,-0.0009650485,1.1671132247
2026-01-04,-0.0043366575,1.1620518543
