date,daily_return,equity_twr
2025-07-11,0.0445767692,1.0445767692
2025-07-12,0.0083770382,1.0533272287
2025-07-13,0.0916187609,1.1498317642
2025-07-14,0.0836336764,1.2459964219
2025-07-15,0.0532485244,1.3123438928
2025-07-16,-0.0069251479,1.3032557172
2025-07-17,-0.0010598492,1.3018744627
2025-07-18,-0.0722586883,1.2078027217
2025-07-19,-0.0021447931,1.2052122347
2025-07-20,0.0227185033,1.2325928529
2025-07-21,0.0575867695,1.3035738934
2025-07-22,0.0227539982,1.3332354114
2025-07-23,-0.0532020364,1.2623045725
2025-07-24,-0.0062097413,1.2544659877
2025-07-25,0.058430223,1.3277647151
2025-07-26,0.0739419527,1.4259422308
2025-07-27,0.0324821051,1.4722598363
2025-07-28,-0.1081250539,1.3130716621
2025-07-29,-0.0427393579,1.2569518224
2025-07-30,-0.0481310331,1.1964534326
2025-07-31,-0.0159658903,1.1773509884
2025-08-01,-0.0754886289,1.0884743765
2025-08-02,-0.0182609323,1.0685978196
2025-08-03,0.0229850279,1.0931595703
2025-08-04,0.0391573194,1.1359647688
2025-08-05,-0.0605092157,1.0672284315
2025-08-06,0.037923942,1.1077019407
2025-08-07,0.0644015446,1.1790396566
2025-08-08,0.0333006812,1.2183024803
2025-08-09,0.0336643188,1.2593158034
2025-08-10,-0.0192938497,1.2350187536
2025-08-11,-0.0870241975,1.1275422377
2025-08-12,0.1024203231,1.243025478
2025-08-13,0.0189484719,1.2665789113
2025-08-14,-0.1258873526,1.1071326453
2025-08-15,-0.015524773,1.0899446623
2025-08-16,0.0111340327,1.1020801418
2025-08-17,0.0110057904,1.1142094049
2025-08-18,-0.0560497333,1.0517582649
2025-08-19,-0.022883358,1.027690504
2025-08-20,0.043988335,1.0728968981
2025-08-21,-0.0212598126,1.0500873111
2025-08-22,0.1175827605,1.173559476
2025-08-23,-0.0110484868,1.1605934196
2025-08-24,-0.0046503152,1.1551962944
2025-08-25,-0.0346184318,1.1152052102
2025-08-26,0.023344705,1.1412393469
2025-08-27,-0.009554146,1.1303357795
2025-08-28,-0.008321027,1.120930225
2025-08-29,-0.0182592968,1.1004628273
2025-08-30,-0.0028036143,1.097377554
2025-08-31,0.020847483,1.1202551139
2025-09-01,-0.0366743969,1.0791704332
2025-09-02,0.0067872275,1.0864950085
2025-09-03,0.0346630492,1.1241562384
2025-09-04,-0.0463245871,1.0720801648
2025-09-05,-0.0252248727,1.0450370791
2025-09-06,-0.0217086876,1.0223506957
2025-09-07,0.0208239767,1.0436401027
2025-09-08,0.0855760078,1.1329506563
2025-09-09,0.0058993479,1.1396343264
2025-09-10,0.0333397939,1.1776294999
2025-09-11,0.0221018929,1.203657341
2025-09-12,0.053619835,1.268197249
2025-09-13,0.0093763832,1.2800883524
2025-09-14,-0.042932143,1.2251314162
2025-09-15,-0.06489511,1.1456263782
2025-09-16,0.0234129147,1.1724488309
2025-09-17,0.0593289259,1.2420089607
2025-09-18,0.0490816154,1.3029687668
2025-09-19,-0.0714823478,1.2098295002
2025-09-20,0.0981137019,1.3285303512
2025-09-21,-0.0490715562,1.2633372994
2025-09-22,-0.0046535026,1.257458356
2025-09-23,-0.0146648965,1.2390178593
2025-09-24,0.0063490467,1.2468844416
2025-09-25,-0.0640139022,1.1670665029
2025-09-26,0.0251777193,1.1964505757
2025-09-27,-0.0162900162,1.1769603764
2025-09-28,0.0144297247,1.1939435907
2025-09-29,-0.0092975201,1.1828428761
2025-09-30,-0.0589294002,1.1131386549
2025-10-01,0.1092798316,1.2347822597
2025-10-02,0.0620116744,1.3113531751
2025-10-03,0.1054102937,1.4495832984
2025-10-04,-0.0235276713,1.4154779791
2025-10-05,-0.0545442375,1.338271812
2025-10-06,0.0726252439,1.4354641288
2025-10-07,-0.0304343074,1.3917767722
2025-10-08,-0.0738697667,1.2889665467
2025-10-09,-0.0645811266,1.205723635
2025-10-10,-0.3524459114,0.7807712696
2025-10-11,-0.0540144523,0.7385983371
2025-10-12,0.21722961,0.8990437658
2025-10-13,0.0394762624,0.9345346534
2025-10-14,-0.0259985938,0.9102380665
2025-10-15,-0.1105747404,0.8095887286
2025-10-16,-0.0708936982,0.7521939896
2025-10-17,-0.093160112,0.6821195133
2025-10-18,0.0361504173,0.7067784184
2025-10-19,0.058864007,0.7483822281
2025-10-20,-0.0364171606,0.7211282723
2025-10-21,-0.0512221108,0.6841905601
2025-10-22,-0.1391551699,0.5889819064
2025-10-23,0.1160468305,0.6573313899
2025-10-24,0.0525826551,0.6918956197
2025-10-25,0.0076976048,0.6972215587
2025-10-26,0.0561563188,0.7363749548
2025-10-27,-0.0362352209,0.7096922457
