date,daily_return,equity_twr
2025-07-11,0.0078306408,1.0078306408
2025-07-12,-0.002898603,1.0049093399
2025-07-13,-0.0006376946,1.0042685146
2025-07-14,0.0044040692,1.0086913827
2025-07-15,-0.0118038333,0.9967849577
2025-07-16,0.0380526913,1.034715308
2025-07-17,0.0081610427,1.0431596638
2025-07-18,-0.0003749472,1.042768534
2025-07-19,-0.0180465007,1.0239502109
2025-07-20,-0.0051242192,1.0187032656
2025-07-21,-0.0140346676,1.0044061039
2025-07-22,0.0070850647,1.0115223861
2025-07-23,0.0098581568,1.0214941324
2025-07-24,0.016490612,1.0383391958
2025-07-25,0.0003462532,1.0386987241
2025-07-26,0.0113523992,1.0504904467
2025-07-27,0.0581437108,1.1115698594
2025-07-28,0.0074196584,1.119817328
2025-07-29,0.0370106154,1.1612624565
2025-07-30,-0.003283624,1.1574493072
2025-07-31,0.0145359287,1.1742739078
2025-08-01,0.0089941113,1.184835458
2025-08-02,-0.002629878,1.1817194853
2025-08-03,0.0031117482,1.1853966988
2025-08-04,0.0249140326,1.2149297108
2025-08-05,0.007876064,1.224498575
2025-08-06,-0.0106850236,1.2114147788
2025-08-07,0.0037254364,1.2159278275
2025-08-08,-0.0005196493,1.2152959715
2025-08-09,0.0027701514,1.2186625253
2025-08-10,0.0043281023,1.2239370214
2025-08-11,0.0385812436,1.2711580337
2025-08-12,0.0276008739,1.3062431063
2025-08-13,0.010219332,1.3195920383
2025-08-14,0.0118140569,1.3351817737
2025-08-15,-0.0002210404,1.3348866446
2025-08-16,-0.0053472578,1.3277486616
2025-08-17,0.0204610218,1.3549157559
2025-08-18,-0.003307168,1.3504348219
2025-08-19,-0.0027280189,1.3467508102
2025-08-20,0.0361739855,1.3954681544
2025-08-21,-0.0279055608,1.356526833
2025-08-22,0.0305484145,1.397966577
2025-08-23,-0.012512366,1.3804747075
2025-08-24,0.0109464421,1.395585994
2025-08-25,-0.0326248018,1.3500552775
2025-08-26,5.42734e-05,1.3501285496
2025-08-27,-0.0076285509,1.3398290253
2025-08-28,-0.0016574979,1.3376082615
2025-08-29,0.0013074374,1.3393571005
2025-08-30,-0.0015061874,1.3373397777
2025-08-31,0.0084528229,1.348644074
2025-09-01,-0.0083296219,1.3374103788
2025-09-02,-0.004591158,1.3312701165
2025-09-03,-0.0033863879,1.3267619195
2025-09-04,-0.0027751025,1.3230800191
2025-09-05,-0.0119553836,1.30726209
2025-09-06,-0.0365519222,1.2594791478
2025-09-07,0.0362938064,1.3051904401
2025-09-08,-0.0105719884,1.2913919819
2025-09-09,-0.0024277755,1.2882567721
2025-09-10,-0.0021042021,1.2855460195
2025-09-11,0.0083849926,1.2963253134
2025-09-12,0.0131722113,1.3134007843
2025-09-13,-0.0092845643,1.3012064303
2025-09-14,0.0109040553,1.3153948571
2025-09-15,-0.0015276859,1.313385347
2025-09-16,0.014819708,1.3328493343
2025-09-17,-0.000665032,1.3319629468
2025-09-18,0.0099242782,1.3451817177
2025-09-19,-0.0051413789,1.3382656288
2025-09-20,0.0237688052,1.3700746038
2025-09-21,0.0051970745,1.3771949836
2025-09-22,-0.0224320641,1.3463016575
2025-09-23,-0.0150156717,1.3260860338
2025-09-24,0.0071408571,1.3355554246
2025-09-25,-0.0413199252,1.2803703744
2025-09-26,0.0021530486,1.283127074
2025-09-27,0.0050834535,1.2896497908
