date,daily_return,equity_twr
2025-07-11,0.0072503925,1.0072503925
2025-07-12,0.0068315813,1.0141315054
2025-07-13,0.0052927786,1.019499079
2025-07-14,0.0071779311,1.0268169731
2025-07-15,0.0087634192,1.0358154007
2025-07-16,0.0182762319,1.0547462032
2025-07-17,0.011534789,1.0669124781
2025-07-18,-0.0588629735,1.0041108371
2025-07-19,0.008338991,1.0124841084
2025-07-20,0.1038301556,1.1176104909
2025-07-21,-0.061231276,1.0491777745
2025-07-22,0.0325517846,1.0833303834
2025-07-23,-0.0474582426,1.0319174272
2025-07-24,0.0010642194,1.0330156138
2025-07-25,-0.0100779943,1.0226048883
2025-07-26,0.0004743495,1.0230899604
2025-07-27,-0.0072231093,1.0157000698
2025-07-28,0.0011126968,1.016830236
2025-07-29,0.0024977433,1.019370017
2025-07-30,-0.0239427943,0.9949634503
2025-07-31,-0.0156648828,0.9793774645
2025-08-01,-0.1971746927,0.7862690139
2025-08-02,0.0140106851,0.7972851814
2025-08-03,0.0803799322,0.8613709103
2025-08-04,0.0421063362,0.8976400834
2025-08-05,-0.0633021728,0.8408175157
2025-08-06,-0.0451768388,0.8028320384
2025-08-07,0.0104467358,0.8112190126
2025-08-08,0.0040708088,0.8145213301
2025-08-09,0.0078294239,0.8208985628
2025-08-10,0.007743578,0.8272552549
2025-08-11,-0.0235549283,0.8077693167
2025-08-12,0.0469224904,0.8456718647
2025-08-13,0.0347202727,0.8750338224
2025-08-14,-0.0086135707,0.8674966567
2025-08-15,0.0552544778,0.9154297315
2025-08-16,-0.0079977424,0.9081083603
2025-08-17,0.0008394667,0.908870687
2025-08-18,-0.0257205887,0.8854939979
2025-08-19,-0.0339993793,0.8553877516
2025-08-20,0.0197349959,0.8722688254
2025-08-21,-0.0360217259,0.8408481969
2025-08-22,0.084811439,0.9121617424
2025-08-23,-0.0005649305,0.9116464344
2025-08-24,0.0216498167,0.9313834126
2025-08-25,-0.0131833458,0.919104663
2025-08-26,0.0646915728,0.9785629892
2025-08-27,-0.0062489861,0.9724479627
2025-08-28,-0.0186047539,0.9543558077
2025-08-29,-0.0410373676,0.9151915576
2025-08-30,-0.0132983106,0.903021056
2025-08-31,0.0535649973,0.9513913764
2025-09-01,-0.0844711257,0.8710262759
2025-09-02,0.1035608232,0.961230474
2025-09-03,0.0612972668,1.0201512749
2025-09-04,-0.031677409,0.9878355257
2025-09-05,0.0815425845,1.0683861875
2025-09-06,-0.0433705117,1.0220497319
2025-09-07,0.038926666,1.0618347204
2025-09-08,0.1350315544,1.2052159132
2025-09-09,0.0888542608,1.3123044823
2025-09-10,0.0397878065,1.3645181991
2025-09-11,0.0110503774,1.3795966402
2025-09-12,-6.7257e-05,1.3795038526
2025-09-13,-0.0118313691,1.3631824334
2025-09-14,-0.0034343848,1.3585007404
2025-09-15,-0.0022133336,1.355493925
2025-09-16,0.0169818688,1.378512745
2025-09-17,0.0327177351,1.4236145598
2025-09-18,0.0113221736,1.439732971
2025-09-19,-0.0127519442,1.4213735765
