date,daily_return,equity_twr
2025-09-02,1.0,2.0
2025-09-03,0.0212997919,2.0425995838
2025-09-04,-0.0230049173,1.9956097493
2025-09-05,-0.0005625113,1.9944871963
2025-09-06,-0.006710608,1.9811029745
2025-09-07,0.0038872234,1.9888039644
2025-09-08,0.0026081223,1.9939910083
2025-09-09,-0.0003786725,1.9932359388
2025-09-10,0.0038733087,2.0009563569
2025-09-11,0.0165549072,2.0340820037
2025-09-12,0.0381937514,2.1117712261
2025-09-13,-0.0063066933,2.0984529326
2025-09-14,-0.0039998286,2.0900594806
2025-09-15,-0.0187919141,2.0507832623
2025-09-16,-0.002572703,2.0455072061
2025-11-22,-0.2809770931,1.4707665374
