date,daily_return,equity_twr
2025-07-11,0.1008549538,1.1008549538
2025-07-12,0.0048207349,1.1061618837
2025-07-13,-0.1609631667,0.928110564
2025-07-14,-0.1505064371,0.7884239498
2025-07-15,-0.0914648779,0.7163108495
2025-07-16,-0.7339120977,0.1906016513
2025-07-17,0.0793030118,0.2057169363
2025-07-18,0.3773180594,0.2833376515
2025-07-19,-0.1147364487,0.2508284956
2025-07-20,-0.3517707575,0.1625943657
2025-07-21,-0.2810218434,0.1169017973
2025-07-22,-0.0367521679,0.1126054029
2025-07-23,0.7489614034,0.1969425034
2025-07-24,0.2122426845,0.238742109
2025-07-25,-0.1022793362,0.2143237246
2025-07-26,-0.0533142981,0.2028972056
2025-07-27,-0.1786971833,0.1666400465
2025-07-28,0.7176686052,0.2862323762
2025-07-29,0.3818281399,0.395523952
2025-07-30,0.0618610438,0.4199914765
2025-07-31,0.2758564148,0.5358488195
2025-08-01,0.1696059028,0.6267319423
2025-08-02,-0.1077402623,0.5592076785
2025-08-03,-0.0975904165,0.5046343682
2025-08-04,0.0639165428,0.5368888524
2025-08-05,0.2065544308,0.6477856237
2025-08-06,-0.0607083156,0.6084596496
2025-08-07,-0.1194360772,0.5357876159
2025-08-08,-0.1241394445,0.4692752389
2025-08-09,-0.3235303509,0.3174504562
2025-08-10,0.0586378954,0.3360650829
2025-08-11,0.3745369313,0.4619338677
2025-08-12,-0.2738564054,0.3354303192
2025-08-13,-0.0266254165,0.3264993472
2025-08-14,0.5032641317,0.4908147577
2025-08-15,0.0660656177,0.5232407378
2025-08-16,-0.0891335312,0.4766024432
2025-08-17,-0.0880427664,0.4346410456
2025-08-18,0.1520484902,0.5007275604
2025-08-19,0.3495032045,0.6757334473
2025-08-20,-0.1281685189,0.5891256922
2025-08-21,0.0791478993,0.6357537532
2025-08-22,-0.4419870833,0.3547588061
2025-08-23,0.0252406134,0.363713136
2025-08-24,0.1980551116,0.4357483817
2025-08-25,0.5617826669,0.6805442697
2025-08-26,-0.1797925877,0.5581874544
2025-08-27,0.1486210126,0.6411458391
2025-08-28,-0.1552639355,0.5415990129
2025-08-29,0.2130378103,0.6569800807
2025-08-30,-0.010945053,0.6497893989
2025-08-31,-0.008043863,0.644562582
2025-09-01,0.1833894051,0.7627685304
2025-09-02,-0.2171970043,0.5970974906
2025-09-03,-0.0866854608,0.5453378195
2025-09-04,0.2481823794,0.6806810571
2025-09-05,-0.1416748752,0.5842456533
2025-09-06,0.0023529583,0.585620359
