date,daily_return,equity_twr
2025-10-03,-0.0826419812,0.9173580188
2025-10-04,0.0493799813,0.9626571406
2025-10-05,0.0418911865,1.0029839904
2025-10-06,-0.0216745573,0.9812447565
2025-10-07,0.1262329145,1.1051101419
2025-10-08,0.0326571572,1.1411998975
2025-10-09,0.0760971881,1.2280420008
2025-10-10,0.8681692213,2.2941902683
2025-10-11,0.0407688745,2.3877218235
2025-10-12,-0.0059737461,2.3734581795
2025-10-13,0.0,2.3734581795
2025-10-14,-0.0379171753,2.2834633497
2025-10-15,0.0,2.2834633497
2025-10-16,-0.0583838019,2.1501460778
2025-10-17,-0.0246529593,2.0971386141
2025-10-18,0.0,2.0971386141
2025-10-19,0.0,2.0971386141
2025-10-20,0.0,2.0971386141
2025-10-21,0.0,2.0971386141
2025-10-22,0.0,2.0971386141
2025-10-23,0.0,2.0971386141
2025-10-24,0.0070091672,2.1118378093
2025-10-25,-0.0031351493,2.1052168824
2025-10-26,-0.0832742641,1.9299064958
2025-10-27,0.0248696763,1.9779026456
2025-10-28,0.0191655718,2.0158102808
2025-10-29,-0.0404443446,1.9342821551
2025-10-30,0.2763020871,2.4687283516
2025-10-31,-0.0193554051,2.4209451143
2025-11-01,-0.1718806552,2.0048314819
2025-11-02,-0.0350827944,1.9344963912
2025-11-03,-0.0055792268,1.9237033971
2025-11-04,0.0059336766,1.9351180309
2025-11-05,0.0294605174,1.9921276093
2025-11-06,0.1232503676,2.2376580695
2025-11-07,-0.3794691293,1.3885359102
2025-11-08,0.516740084,2.1060480731
2025-11-09,-0.1575687509,1.7742007088
2025-11-10,0.0908113182,1.935318214
2025-11-11,0.0844146425,2.0986874091
2025-11-12,0.0415339777,2.1858542452
2025-11-13,0.1279077222,2.4654418827
2025-11-14,-0.0174141877,2.422508215
2025-11-15,0.0136482885,2.455571306
2025-11-16,0.0854793559,2.6654719596
2025-11-17,-0.1120583884,2.3667834675
2025-11-18,-0.0878508613,2.1588595014
2025-11-19,0.1313660248,2.4424602922
2025-11-20,0.104787917,2.6984006186
2025-11-21,0.0582803988,2.8556644827
2025-11-22,0.1042437858,3.1533497594
2025-11-28,-0.0309657846,3.05570381
2025-11-29,-0.0006856508,3.0536086642
2025-11-30,0.0010129379,3.0567017802
2025-12-01,-0.0675789855,2.8501329749
2025-12-02,-0.252982702,2.1290986338
2025-12-03,-0.1614518708,1.7853516763
2025-12-04,0.0178540597,1.8172274517
2025-12-05,0.1779948056,2.1406844987
2025-12-06,0.0003006385,2.1413280709
2025-12-07,-0.0388686719,2.0580974927
2025-12-08,-0.0691924785,1.9156926261
2025-12-09,-0.2525757216,1.4318351787
2025-12-10,0.0336174238,1.4799697887
2025-12-11,-0.0200140628,1.4503495804
2025-12-12,0.1196593617,1.6238974855
2025-12-13,0.0098141099,1.6398345939
2025-12-14,0.1218065914,1.8395772562
2025-12-15,0.1214725087,2.0630353205
2025-12-16,-0.0278118949,2.005658399
2025-12-17,0.1105321332,2.2273481003
2025-12-18,0.0592172665,2.3592455663
2025-12-19,-0.0809880488,2.1681748713
2025-12-20,-0.0522932477,2.0547939657
2025-12-21,0.0276996293,2.1117109968
2025-12-22,0.0610862156,2.24070743
2025-12-23,0.0212357126,2.288290449
2025-12-24,0.0094683036,2.3099566777
2025-12-25,-0.0321623918,2.235662946
2025-12-26,0.0279343026,2.2981146313
2025-12-27,-0.0136098004,2.2668377498
2025-12-28,0.0163516391,2.3039042626
2025-12-29,-0.0334555084,2.2268259742
2025-12-30,0.0237428577,2.2796971864
2025-12-31,0.050244805,2.394240127
2026-01-01,-0.0531212337,2.2670551377
2026-01-02,-0.1890004311,1.8385807394
2026-01-03,0.0107588981,1.8583618422
2026-01-04,-0.0918224137,1.6877225723
