date,daily_return,equity_twr
2025-07-11,-0.110169862,0.889830138
2025-07-12,-0.0592508488,0.837106947
2025-07-13,-0.0836152557,0.7671120356
2025-07-14,-0.0065315095,0.7621016361
2025-07-15,0.0820205912,0.8246096628
2025-07-16,-0.0438711873,0.7884330578
2025-07-17,0.0208374158,0.8048619653
2025-07-18,0.1754467921,0.9460724152
2025-07-19,0.0113818804,0.9568404983
2025-07-20,-0.0535019218,0.9056476928
2025-07-21,0.0258973297,0.9291015496
2025-07-22,-0.0467838048,0.8856346441
2025-07-23,0.1151975673,0.9876576006
2025-07-24,0.0509256011,1.0379546576
2025-07-25,0.0739010867,1.1146606348
2025-07-26,-0.0079376872,1.1058128073
2025-07-27,-0.0483295301,1.052369394
2025-07-28,0.1935707783,1.2560773566
2025-07-29,-0.0019768376,1.2535942957
2025-07-30,0.0706705785,1.3421865297
2025-07-31,0.0293043416,1.3815184223
2025-08-01,-0.00175349,1.3790959436
2025-08-02,-0.0055491836,1.371443087
2025-08-03,0.0883941325,1.4926706089
2025-08-04,0.0926365055,1.630946398
2025-08-05,-0.0835647916,1.4946567021
2025-08-06,0.0169314293,1.5199633764
2025-08-07,0.1033438705,1.6770422747
2025-08-08,0.1826273635,1.9833160839
2025-08-09,0.0673717894,2.1169356374
2025-08-10,-0.0610527935,1.987690803
2025-08-11,-0.0863011812,1.8161507389
2025-08-12,0.1335282944,2.0586582494
2025-08-13,-0.0825746221,1.8886653224
2025-08-14,0.2272820027,2.3179249594
2025-08-15,0.0642865619,2.4669363857
2025-08-16,0.001045015,2.4695143713
2025-08-17,-0.0606490483,2.3197406749
2025-08-18,0.1127354233,2.5812576218
2025-08-19,0.1502201793,2.9690146046
2025-08-20,-0.1183991639,2.6174857578
2025-08-21,0.0662634919,2.7909295041
2025-08-22,-0.3156056456,1.9100963961
2025-08-23,0.032746138,1.9726446763
2025-08-24,0.0168004082,2.0057859121
2025-08-25,0.2761177731,2.5596190515
2025-08-26,-0.109420238,2.2795449257
2025-08-27,0.0546918813,2.4042175262
2025-08-28,0.0200636614,2.4524549325
2025-08-29,0.1256599491,2.7606302945
2025-08-30,0.0027006655,2.7680858335
2025-08-31,-0.0582133371,2.6069463198
2025-09-01,0.1221482719,2.9253803077
2025-09-02,-0.033015517,2.8287973644
2025-09-03,-0.0718950466,2.6254208461
2025-09-04,0.0861790665,2.8516771637
2025-09-05,0.0053409324,2.8669077787
2025-09-06,0.0223367314,2.9309451277
2025-09-07,-0.0130438498,2.8927143197
2025-09-08,-0.010305623,2.8629030965
2025-09-09,-0.0091496331,2.8367085835
2025-09-10,-0.0373359906,2.7307972585
2025-09-11,-0.0784039718,2.5166919073
2025-09-12,-0.0963933178,2.2740996245
2025-09-13,0.0145313027,2.3071452545
2025-09-14,0.0005770702,2.3084766392
2025-09-15,0.0334582378,2.3857141996
2025-09-16,-0.0223742156,2.3323357157
2025-09-17,-0.056575779,2.2003820057
2025-09-18,-0.019075556,2.1584084955
2025-09-19,0.0807325352,2.3326622854
2025-09-20,0.0391205794,2.4239173855
2025-09-21,0.0587955662,2.5664329806
2025-09-22,0.0817275638,2.7761812958
2025-09-23,0.0122621763,2.8102233203
2025-09-24,4.13e-08,2.8102234364
2025-09-25,-0.0600963662,2.6413392196
2025-09-26,0.0873669216,2.8721048961
2025-09-27,0.0565513154,3.034526206
2025-09-28,-0.0006795447,3.0324641098
2025-09-29,0.026914619,3.1140817259
2025-09-30,0.0343527881,3.2210591156
2025-10-01,0.1691838191,3.7660101983
2025-10-02,0.0,3.7660101983
2025-10-03,0.0,3.7660101983
2025-10-04,0.0,3.7660101983
2025-10-05,0.0234925572,3.8544834083
2025-10-06,-0.0194695671,3.779438285
2025-10-07,0.0557837981,3.9902697072
2025-10-08,-0.0182510561,3.9174430709
2025-10-09,0.030385328,4.0364758635
2025-10-10,0.1371533664,4.5900921166
2025-10-11,0.0,4.5900921166
2025-10-12,0.0,4.5900921166
2025-10-13,0.0,4.5900921166
2025-10-14,0.0,4.5900921166
2025-10-15,0.0008591315,4.5940356093
2025-10-16,-0.0095119726,4.5503372685
2025-10-17,-0.010215893,4.5038515098
2025-10-18,0.0031364871,4.517977782
2025-10-19,0.0067032803,4.5482630535
2025-10-20,0.0111895661,4.5991561435
2025-10-21,0.004840593,4.6214187866
2025-10-22,-0.0271209694,4.4960814291
2025-10-23,0.0318678593,4.6393619195
2025-10-24,0.0271278449,4.7652178101
2025-10-25,0.0025035682,4.7771478578
2025-10-26,0.0812060286,5.1650810634
2025-10-27,-0.0268425063,5.0264373424
2025-10-28,-0.0330778919,4.8601733914
2025-10-29,0.0398512637,5.0538574428
2025-10-30,-0.085058543,4.6239836922
2025-10-31,0.031599922,4.7701012162
2025-11-01,0.0116494265,4.8256701597
2025-11-02,0.0044318599,4.8470568538
2025-11-03,-0.1804464438,3.9724226816
2025-11-04,-0.1080648898,3.5431432623
2025-11-05,0.0885422373,3.8568610938
2025-11-06,0.0287808357,3.9678647793
2025-11-07,0.2502070685,4.9606525939
2025-11-08,-0.0499838307,4.7127001745
2025-11-09,0.06102509,5.0002931268
2025-11-10,0.0353580106,5.1770935441
2025-11-11,-0.0538616726,4.8982466267
2025-11-12,-0.0223120144,4.7889568774
2025-11-13,-0.0298502945,4.6460051042
2025-11-14,-0.0175158601,4.5646263288
2025-11-15,-0.002168926,4.5547259921
2025-11-16,-0.0395141166,4.3747500182
2025-11-17,-0.045015798,4.177817155
2025-11-18,0.09623914,4.5798866851
2025-11-19,-0.0638597225,4.2874163923
2025-11-20,-0.066146193,4.0038201202
2025-11-22,-0.2248894535,3.1034032014
2025-11-28,0.0185446874,3.1609548437
2025-11-29,-0.0743971487,2.9257888161
2025-11-30,0.0007807051,2.9280729944
2025-12-01,-0.1677717296,2.4368251237
2025-12-02,0.1459732012,2.7925362878
2025-12-03,0.0780253245,3.0104248378
2025-12-04,-0.0425054232,2.8824654561
2025-12-05,-0.1242463065,2.5243297696
2025-12-06,0.0019416158,2.5292310481
2025-12-07,-0.0337568418,2.4438521958
2025-12-08,0.0718653785,2.6194805588
2025-12-09,0.0806888685,2.8308434811
2025-12-10,-0.0816173295,2.599797596
2025-12-11,-0.0449521096,2.4829312095
2025-12-12,-0.0722852525,2.3034519001
2025-12-13,0.0569160065,2.4345551834
2025-12-14,-0.0714086481,2.260706889
2025-12-15,-0.0507456252,2.1459859046
2025-12-16,0.0418192388,2.2357294016
2025-12-17,-0.1088531086,1.9923633062
2025-12-18,-0.0251505716,1.9422542302
2025-12-19,0.1991121356,2.3289806179
2025-12-20,-0.0144498761,2.2953271365
2025-12-21,-0.0646561253,2.1469201776
2025-12-22,0.057552793,2.2704814301
