date,daily_return,equity_twr
2025-11-20,0.0667307304,1.0667307304
2025-11-21,0.0005065613,1.0672710949
2025-11-22,5.17845e-05,1.067326363
2025-11-23,4.49597e-05,1.0673743497
2025-11-24,-0.0001314563,1.0672340366
2025-11-25,9.79953e-05,1.0673386205
2025-11-26,-1.96918e-05,1.0673176027
2025-11-27,-0.0001011018,1.067209695
2025-11-28,0.0001228066,1.0673407554
2025-11-29,6.2334e-05,1.067407287
2025-11-30,-0.0001570635,1.0672396363
2025-12-01,0.0004349287,1.0677038094
2025-12-02,-0.0003280615,1.0673535369
2025-12-03,-0.0001679394,1.0671742862
2025-12-04,0.0001495517,1.0673338839
2025-12-05,0.0002705702,1.0676226726
2025-12-06,-8.4417e-06,1.0676136601
2025-12-07,7.86841e-05,1.0676976643
2025-12-08,-0.000157543,1.067529456
2025-12-09,-0.0002538608,1.0672584521
2025-12-10,0.0001428056,1.0674108626
2025-12-11,0.0001400017,1.067560302
2025-12-12,7.20625e-05,1.067637233
2025-12-13,-3.75977e-05,1.0675970923
2025-12-14,0.0001965259,1.0678069028
2025-12-15,0.0002050682,1.068025876
2025-12-16,-3.94989e-05,1.0679836902
2025-12-17,0.0001716439,1.0681670031
2025-12-18,0.0001705465,1.0683491752
2025-12-19,-0.0001653137,1.0681725625
2025-12-20,2.08921e-05,1.0681948788
2025-12-21,0.0001077677,1.0683099957
2025-12-22,4.8986e-05,1.068362328
2025-12-23,-4.92608e-05,1.0683096996
2025-12-24,2.84865e-05,1.068340132
2025-12-25,-3.72821e-05,1.068300302
2025-12-26,1.00227e-05,1.0683110093
2025-12-27,-0.0001144367,1.0681887553
2025-12-28,3.88653e-05,1.0682302708
2025-12-29,7.78612e-05,1.0683134445
2025-12-30,-5.6819e-06,1.0683073744
2025-12-31,-1.49628e-05,1.0682913895
2026-01-01,-0.000217472,1.0680590661
2026-01-02,-0.0001478582,1.0679011448
2026-01-03,1.09704e-05,1.0679128601
2026-01-04,-0.0002481672,1.0676478391
