date,daily_return,equity_twr
2025-08-11,1.0,2.0
2025-08-12,1.0,4.0
2025-08-13,0.028934197,4.115736788
2025-08-14,-0.0401680814,3.9504155377
2025-08-15,-0.0160195654,3.8871315976
2025-08-16,0.0060815567,3.9107714088
2025-08-17,0.0104035828,3.951457443
2025-08-18,-0.0224527505,3.8627363549
2025-08-19,-0.0261154163,3.7618593869
2025-08-20,0.0224763631,3.8464123045
2025-08-21,-0.0201785506,3.7687972791
2025-08-22,0.0558902235,3.9794362014
2025-08-23,0.0044724916,3.9972341964
2025-08-24,-0.0105096743,3.9552245669
2025-08-25,-0.0442859445,3.7800637112
2025-08-26,0.0159760065,3.8404540336
2025-09-10,0.0781023563,4.1404025429
2025-09-11,0.0033239296,4.1541649495
2025-09-12,0.0024662485,4.1644101526
2025-09-13,-0.0006465282,4.161717744
2025-09-14,-6.63883e-05,4.1614414546
2025-09-15,-0.0017229474,4.1542715099
2025-09-16,0.0040397233,4.1710536173
2025-09-17,-0.0010837675,4.1665331649
2025-09-18,0.0025265861,4.1770602697
2025-09-19,-0.0046590844,4.1575989934
2025-09-20,0.0001699238,4.1583054684
2025-09-21,-0.000869221,4.154690982
2025-09-22,-0.0076777381,4.1227923527
2025-09-23,-0.0012722705,4.1175470456
2025-09-24,0.0023721512,4.1273144898
2025-10-10,-0.0006158954,4.1247724958
2025-10-11,-0.0063323295,4.0986530772
2025-10-12,0.0116030774,4.1462100661
2025-10-13,-0.0001793621,4.1454663932
2025-10-14,-0.0069613141,4.1166084995
2025-10-15,-0.0043547512,4.0986816937
2025-10-16,-0.0085033427,4.0638291987
2025-10-17,-0.0030374163,4.0514856576
2025-10-18,0.0004671008,4.0533781098
2025-10-19,0.0049784323,4.0735575783
2025-10-20,0.0040035188,4.0898661427
2025-10-21,-0.0019917731,4.0817200573
2025-10-22,-0.0053088344,4.0600508814
2025-10-23,0.0,4.0600508814
2025-10-24,0.0,4.0600508814
2025-10-25,0.0,4.0600508814
2025-10-26,0.0,4.0600508814
2025-10-27,0.0,4.0600508814
2025-10-28,0.0,4.0600508814
2025-10-29,0.0,4.0600508814
2025-10-30,0.0,4.0600508814
2025-10-31,0.0,4.0600508814
2025-11-01,0.0,4.0600508814
2025-11-02,0.0,4.0600508814
2025-11-03,0.0,4.0600508814
2025-11-04,0.0,4.0600508814
2025-11-05,0.0,4.0600508814
2025-11-22,0.0,4.0600508814
