date,daily_return,equity_twr
2025-08-09,0.143717454,1.143717454
2025-08-10,0.008182774,1.1530762354
2025-08-11,0.0294191411,1.1869987479
2025-08-12,-0.0116205514,1.173205168
2025-08-13,-0.0063776245,1.1657229059
2025-08-14,0.0324503034,1.2035509679
2025-08-15,0.0040882473,1.2084713819
2025-08-16,-0.0023987291,1.2055725864
2025-08-17,0.0,1.2055725864
2025-08-18,0.0,1.2055725864
2025-08-19,0.0,1.2055725864
2025-08-20,0.0,1.2055725864
2025-08-21,0.0,1.2055725864
2025-08-22,0.0,1.2055725864
2025-08-23,0.0,1.2055725864
2025-08-24,0.0,1.2055725864
2025-08-25,0.0,1.2055725864
2025-08-26,0.0,1.2055725864
2025-08-27,0.0,1.2055725864
2025-08-28,0.0,1.2055725864
2025-08-29,0.0,1.2055725864
2025-08-30,0.0,1.2055725864
2025-09-11,-0.0001162398,1.2054324509
2025-09-12,-0.0006146277,1.2046915587
2025-09-13,0.0,1.2046915587
2025-09-14,0.0,1.2046915587
2025-09-15,4.19269e-05,1.2047420677
2025-09-16,0.0,1.2047420677
2025-09-17,0.0,1.2047420677
2025-09-18,0.0,1.2047420677
2025-09-19,-1.37663e-05,1.2047254829
2025-09-20,0.0,1.2047254829
2025-09-21,0.0,1.2047254829
2025-09-22,-0.0095652052,1.1932020364
2025-09-23,-0.0097621128,1.1815538636
2025-09-24,0.0224336529,1.2080604328
2025-09-25,-0.074854376,1.1176318229
2025-09-26,0.0042680611,1.1224019439
2025-09-27,0.0010673692,1.1235999611
2025-09-28,0.0416480274,1.1703956831
2025-09-29,0.0424258893,1.2200507608
2025-09-30,-0.003312464,1.2160093866
2025-10-01,0.0682591936,1.2990132067
2025-10-02,0.0439281152,1.3560764085
2025-10-03,-0.0047389597,1.349650017
2025-10-04,0.0,1.349650017
2025-10-05,1.132e-06,1.3496515448
2025-10-06,0.0,1.3496515448
2025-10-07,0.0,1.3496515448
2025-10-08,0.0,1.3496515448
2025-10-09,0.0,1.3496515448
2025-10-10,0.0,1.3496515448
2025-10-11,0.0,1.3496515448
2025-10-12,0.0,1.3496515448
2025-10-13,0.0,1.3496515448
2025-10-14,0.0,1.3496515448
2025-10-15,0.0,1.3496515448
2025-10-16,0.0,1.3496515448
2025-10-17,0.0,1.3496515448
2025-10-18,0.0,1.3496515448
2025-10-19,0.0,1.3496515448
2025-11-22,0.0,1.3496515448
