date,daily_return,equity_twr
2025-07-11,-0.1376382048,0.8623617952
2025-07-12,-0.1109118305,0.7667156699
2025-07-13,-0.0789860416,0.7061558341
2025-07-14,0.0479846932,0.7400405052
2025-07-15,0.0144027943,0.7506991564
2025-07-16,-0.0134493664,0.7406027284
2025-07-17,0.0491117503,0.7769750246
2025-07-18,0.1255871491,0.8745531029
2025-07-19,-0.0047763867,0.8703758991
2025-07-20,-0.0738136909,0.8061302415
2025-07-21,0.0654812307,0.8589166418
2025-07-22,-0.0178541551,0.8435814109
2025-07-23,0.046924737,0.8831662467
2025-07-24,0.0653844505,0.9409115865
2025-07-25,-0.049787886,0.8940655877
2025-07-26,-0.0145001579,0.8811014955
2025-07-27,0.009973708,0.8898893445
2025-07-28,0.0059410641,0.8951762341
2025-07-29,0.0243332883,0.9169588155
2025-07-30,0.0463280525,0.9594397317
2025-07-31,0.0271117691,0.9854518401
2025-08-01,0.1686417814,1.1516401939
2025-08-02,0.0463950927,1.2050706475
2025-08-03,0.0,1.2050706475
2025-08-04,0.0,1.2050706475
2025-08-05,0.0,1.2050706475
2025-08-06,0.0,1.2050706475
2025-08-07,0.0,1.2050706475
2025-08-08,-0.0003044574,1.2047037548
2025-08-09,-0.0604318297,1.1319013027
2025-08-10,-0.0135831311,1.1165265389
2025-08-11,0.0435642144,1.1651671404
2025-08-12,-0.042197012,1.1160005686
2025-08-13,-0.0341675836,1.0778695259
2025-08-14,0.0394599002,1.1204021498
2025-08-15,-0.0614011292,1.0516081926
2025-08-16,0.0346442112,1.088040329
2025-08-17,-0.0592967154,1.0235231112
2025-08-18,0.0629648977,1.0879691392
2025-08-19,0.0520061694,1.1445502466
2025-08-20,0.0291646332,1.1779306347
2025-08-21,0.0,1.1779306347
2025-08-22,0.0,1.1779306347
2025-08-23,0.0,1.1779306347
2025-08-24,0.0,1.1779306347
2025-08-25,0.0,1.1779306347
2025-08-26,0.0,1.1779306347
2025-08-27,0.0,1.1779306347
2025-08-28,0.0,1.1779306347
2025-08-29,0.0,1.1779306347
2025-08-30,0.0,1.1779306347
2025-08-31,0.0,1.1779306347
2025-09-01,0.0,1.1779306347
2025-09-02,0.0,1.1779306347
2025-09-03,0.0,1.1779306347
2025-09-04,0.0532584195,1.2406653586
2025-09-05,0.0,1.2406653586
2025-09-06,0.0,1.2406653586
2025-09-07,0.0,1.2406653586
2025-09-08,0.0,1.2406653586
2025-09-09,0.0,1.2406653586
2025-09-10,0.0,1.2406653586
2025-09-11,0.0,1.2406653586
2025-09-12,0.0,1.2406653586
2025-09-13,0.0,1.2406653586
2025-09-14,0.0,1.2406653586
2025-09-15,0.0,1.2406653586
2025-09-16,0.0,1.2406653586
2025-09-17,0.0,1.2406653586
2025-09-18,0.0,1.2406653586
2025-09-19,0.0,1.2406653586
2025-09-20,0.0,1.2406653586
2025-09-21,0.0,1.2406653586
2025-09-22,0.0,1.2406653586
2025-09-23,0.0,1.2406653586
2025-09-24,0.0,1.2406653586
2025-11-05,0.0,1.2406653586
2025-11-06,0.1505099445,1.4273978328
2025-11-07,0.0,1.4273978328
2025-11-08,-0.0361736521,1.3757636402
2025-11-09,0.0,1.3757636402
2025-11-10,0.0,1.3757636402
2025-11-11,-0.0005288259,1.3750361008
2025-11-12,0.0,1.3750361008
2025-11-13,0.0,1.3750361008
2025-11-14,0.0,1.3750361008
2025-11-15,0.0,1.3750361008
2025-11-16,0.0,1.3750361008
2025-11-17,0.0,1.3750361008
2025-11-18,0.0,1.3750361008
2025-11-19,0.0,1.3750361008
2025-11-20,0.0,1.3750361008
2025-11-21,0.0,1.3750361008
2025-11-22,0.0,1.3750361008
2025-11-23,0.0,1.3750361008
2025-11-24,0.0,1.3750361008
2025-11-25,0.0,1.3750361008
2025-11-26,0.0,1.3750361008
2025-11-27,0.0,1.3750361008
2025-11-28,0.0,1.3750361008
2025-11-29,0.0,1.3750361008
2025-11-30,0.0,1.3750361008
2025-12-01,0.0,1.3750361008
2025-12-02,0.0,1.3750361008
2025-12-03,0.0,1.3750361008
2025-12-04,0.0,1.3750361008
2025-12-05,0.0,1.3750361008
2025-12-06,0.0,1.3750361008
2025-12-07,0.0,1.3750361008
2025-12-08,0.0,1.3750361008
2025-12-09,0.0,1.3750361008
2025-12-10,0.0,1.3750361008
2025-12-11,0.0,1.3750361008
2025-12-12,0.0,1.3750361008
2025-12-13,0.0,1.3750361008
2025-12-14,0.0,1.3750361008
2025-12-15,0.0,1.3750361008
2025-12-16,0.0,1.3750361008
2025-12-17,0.0,1.3750361008
2025-12-18,0.0,1.3750361008
2025-12-19,0.0,1.3750361008
2025-12-20,0.0,1.3750361008
2025-12-21,0.0,1.3750361008
2025-12-22,0.0,1.3750361008
2025-12-23,0.0,1.3750361008
2025-12-24,0.0,1.3750361008
2025-12-25,0.0,1.3750361008
2025-12-26,0.0,1.3750361008
2025-12-27,0.0,1.3750361008
2025-12-28,0.0,1.3750361008
2025-12-29,0.0,1.3750361008
2025-12-30,0.0,1.3750361008
2025-12-31,0.0,1.3750361008
2026-01-01,0.0,1.3750361008
2026-01-02,0.0,1.3750361008
2026-01-03,0.0,1.3750361008
2026-01-04,0.0,1.3750361008
