date,daily_return,equity_twr
2025-07-12,0.009801495,1.009801495
2025-07-13,-0.0916225835,0.9172808732
2025-07-14,-0.127866316,0.7999915472
2025-07-15,0.1874366644,0.9499392944
2025-07-16,-0.1127895734,0.8427960466
2025-07-17,-0.0834427485,0.772470828
2025-07-18,0.2727619775,0.9831714987
2025-07-19,-0.0136092726,0.9697912497
2025-07-20,0.03017537,0.9990550595
2025-07-21,-0.0022458352,0.9968113465
2025-07-22,-0.1604516598,0.8368713114
2025-07-23,0.1563566759,0.9677217279
2025-07-24,-0.0161754808,0.9520683636
2025-07-25,0.2401003224,1.1806602847
2025-07-28,-0.1145417505,1.0454253889
2025-07-29,0.0578606713,1.1059144037
2025-07-30,0.0267833327,1.1355344771
2025-07-31,0.0872789581,1.2346427432
2025-08-01,0.1469986231,1.4161335265
2025-08-02,0.0337370268,1.4639096612
2025-08-03,-0.0639936552,1.3702287311
2025-08-04,-0.0643575525,1.2820441636
2025-08-05,0.1010199166,1.4115561581
2025-08-06,-0.0751517409,1.3054752554
2025-08-07,-0.1126934429,1.1583567543
2025-08-08,-0.0046321776,1.1529910401
2025-08-09,-0.0156796552,1.1349125381
2025-08-10,-0.1428792098,0.9727571315
2025-08-11,0.0429581081,1.0145449375
2025-08-12,-0.1247715832,0.8879585594
2025-08-13,-0.2447661701,0.6706163436
2025-08-14,0.504518309,1.0089545673
2025-08-15,0.0412543039,1.0505782856
2025-08-16,-0.0006040806,1.0499436516
2025-08-17,-0.0360817815,1.0120598142
2025-08-18,0.0719836293,1.0849115527
2025-08-19,0.3275770739,1.4403037046
2025-08-20,-0.0783101807,1.3275132612
2025-08-21,0.118214027,1.4844439497
2025-08-22,-0.3700081176,0.9351876382
2025-08-23,0.1123550916,1.040260731
2025-08-24,0.1698731687,1.2169731176
2025-08-25,0.2680570892,1.5431913891
2025-08-26,-0.1151712664,1.3654600826
2025-08-27,0.0526662228,1.4373737075
2025-08-28,-0.0115172431,1.4208191251
2025-09-25,0.2723426636,1.8077687901
2025-09-26,-0.0018758655,1.804377659
2025-09-27,0.0220007048,1.8440752392
2025-09-28,-0.1165056158,1.6292301179
2025-09-29,-0.2695206225,1.1901190023
2025-09-30,0.0004989118,1.1907127667
2025-10-01,-0.2738372706,0.8646512326
2025-10-02,-0.1880364497,0.7020652846
2025-10-03,-0.1855301846,0.5718109828
2025-10-04,0.0177771205,0.5819761355
2025-10-05,-0.0579181723,0.5482691414
2025-10-06,-0.1896997031,0.4442626481
2025-10-07,0.2699179265,0.5641771009
2025-10-08,-0.1030242071,0.5060532024
2025-10-09,0.1791850864,0.5967303892
2025-10-10,1.0,1.1934607783
2025-10-11,0.0,1.1934607783
2025-10-12,0.0,1.1934607783
2025-10-13,0.0,1.1934607783
2025-10-14,0.0,1.1934607783
2025-10-15,0.0,1.1934607783
2025-10-16,0.0,1.1934607783
2025-10-17,0.0,1.1934607783
2025-10-18,0.0,1.1934607783
2025-10-29,0.0007330485,1.194335643
2025-10-30,0.1825057103,1.4123087178
2025-10-31,-0.1375323769,1.2180705429
2025-11-01,-0.0205729792,1.193011203
2025-11-02,0.002386947,1.1958588575
2025-11-03,0.2320976657,1.4734149068
2025-11-04,0.3791599157,2.0320747787
2025-11-05,-0.1881918817,1.6496548023
