date,daily_return,equity_twr
2025-07-11,0.0099336227,1.0099336227
2025-07-12,0.0366563223,1.0469540751
2025-07-13,0.0096182043,1.0570238933
2025-07-14,0.0026805688,1.0598573185
2025-07-15,0.0070453847,1.0673244211
2025-07-16,0.0202238607,1.0889098415
2025-07-17,0.0019058947,1.090985189
2025-07-18,-0.0751354524,1.0090135232
2025-07-19,0.0052605615,1.0143215009
2025-07-20,0.1353390806,1.1515988403
2025-07-21,-0.1021485729,1.0339646622
2025-07-22,0.0492500707,1.0848874949
2025-07-23,-0.0508883159,1.0296793974
2025-07-24,0.0041024178,1.0339035725
2025-07-25,0.0238163325,1.0585273637
2025-07-26,0.0051034028,1.0639294552
2025-07-27,-0.0092180441,1.0541221066
2025-07-28,0.0006143231,1.0547696781
2025-07-29,0.0107928977,1.0661536994
2025-07-30,-0.0018505176,1.0641807632
2025-07-31,-0.0144809279,1.0487704383
2025-08-01,-0.1046936183,0.9389708663
2025-08-02,-0.0015573887,0.9375085237
2025-08-03,0.0499032037,0.9842932026
2025-08-04,0.0103153886,0.9944465694
2025-08-05,-0.0047944645,0.9896787307
2025-08-06,0.0218519456,1.0113051364
2025-08-07,0.023470486,1.0350409595
2025-08-08,0.0058557245,1.0411018742
2025-08-09,0.0137278284,1.0553939421
2025-08-10,0.0103422044,1.0663090419
2025-08-11,-0.0396535753,1.0240260761
2025-08-12,0.0789673632,1.1048907151
2025-08-13,0.0549118942,1.1655623572
2025-08-14,0.0758340709,1.2539516956
2025-08-15,0.0449507802,1.3103178027
2025-08-16,-0.0040383744,1.3050262488
2025-08-17,0.0032561426,1.3092756004
2025-08-18,-0.0498924785,1.2439525956
2025-08-19,-0.0575565146,1.1723550199
2025-08-20,0.0390817177,1.2181726678
2025-08-21,-0.0872344353,1.111906063
2025-08-22,0.1884267808,1.3214189431
2025-08-23,0.0006408793,1.3222658131
2025-08-24,0.0467991927,1.3841467857
2025-08-25,-0.0955994429,1.2518231241
2025-08-26,0.2622444586,1.5801068015
2025-08-27,0.0039636362,1.58636977
2025-08-28,-0.0160510764,1.5609068277
2025-08-29,-0.0521561985,1.4794958613
2025-08-30,-0.0109459367,1.4633013933
2025-08-31,0.0657399778,1.5594987944
2025-09-01,-0.1174146408,1.3763908036
2025-09-02,0.1529979422,1.5869757642
2025-09-03,0.091086895,1.731528459
2025-09-04,-0.0456700647,1.6524494423
2025-09-05,0.126949795,1.8622275602
2025-09-06,-0.0648102123,1.7415361967
2025-09-07,0.0484678298,1.8259446767
2025-09-08,0.1850682401,2.1638690445
2025-09-09,0.1084622805,2.3985672158
2025-09-10,0.072522321,2.5725168773
2025-09-11,0.017920116,2.6186166782
2025-09-12,0.009828899,2.644354797
2025-09-13,-0.013316658,2.6091408286
2025-09-14,0.0015457432,2.6131738903
2025-09-15,0.0045077338,2.6249533825
2025-09-16,0.024000476,2.6879535132
2025-09-17,0.0331009279,2.7769272686
2025-09-18,0.002299084,2.7833116577
2025-09-19,0.0029291899,2.7914645061
2025-09-20,-0.0142464251,2.7516961161
2025-09-21,-0.0726596465,2.551758849
2025-09-22,-0.1082560564,2.2755154991
2025-09-23,-0.0448105228,2.17354846
2025-09-24,0.0094012483,2.1939825287
2025-09-25,-0.0240172787,2.1412890389
2025-09-26,0.0252202726,2.1952929322
2025-09-27,0.0246789796,2.2494705216
2025-09-28,0.0141615355,2.2813264783
2025-09-29,0.0128076937,2.3105450091
2025-09-30,0.0118404102,2.3379028097
2025-10-01,0.030035522,2.408122941
2025-10-02,0.0205543581,2.4576203623
2025-10-03,0.0078147893,2.4768261476
2025-10-04,0.0008778033,2.4790003138
2025-10-05,-0.0213659683,2.4260340717
2025-10-06,0.0261848236,2.4895593459
2025-10-07,-0.1102560508,2.2150703642
2025-10-08,0.0685273646,2.3668632986
2025-10-09,-0.0883376195,2.1577802291
2025-10-10,-0.018186286,2.1185382208
2025-10-11,-0.0610695126,1.9891601242
2025-10-12,0.2068883328,2.400694146
2025-10-13,0.1517815504,2.7650752255
2025-10-14,-0.1131515059,2.4522027998
2025-10-15,-0.0885718748,2.2350066004
2025-10-16,-0.0235390795,2.1823966024
2025-10-17,-0.0357847144,2.1043001633
2025-10-18,0.0224059236,2.1514489519
2025-10-19,0.1237968218,2.4177914945
2025-10-20,-0.0013719393,2.4144744313
2025-10-21,-0.0700308224,2.2453868012
2025-10-22,-0.0649390854,2.099573436
2025-10-23,0.2779179627,2.6830826078
2025-10-24,-0.0085644271,2.6601035424
2025-10-25,0.0854677272,2.8874565463
2025-10-26,0.0044956528,2.9004375484
2025-10-27,0.023660483,2.9690633017
2025-10-28,0.0139227574,3.0104008498
2025-10-29,0.0433554691,3.1409181908
2025-10-30,-0.0575861741,2.960044729
2025-10-31,0.0105610862,2.9913060166
2025-11-01,-0.0848995667,2.7373454319
2025-11-02,-0.0971384793,2.4714438593
2025-11-03,-0.1747824394,2.0394788728
