date,daily_return,equity_twr
2025-10-15,-0.0004622142,0.9995377858
2025-10-16,-0.0007128781,0.9988252372
2025-10-17,-0.0012047452,0.9976219073
2025-10-18,-0.0006983131,0.9969252548
2025-10-19,-0.0007078548,0.9962195765
2025-10-20,-0.0007792919,0.9954432307
2025-10-21,-0.0008701137,0.9945770819
2025-10-22,-0.0007967563,0.9937846463
2025-10-23,-0.0006061493,0.9931822645
2025-10-24,-0.0007648765,0.9924226027
2025-10-25,-0.0006925267,0.9917353235
2025-10-26,-0.0006742435,0.9910666524
2025-10-27,-0.0001492117,0.9909187737
2025-10-28,0.0,0.9909187737
2025-10-29,-0.0003780195,0.9905441871
2025-10-30,-0.0009054155,0.989647333
2025-10-31,-0.0002498518,0.9894000678
2025-11-01,-0.0006908272,0.9887165634
2025-11-02,-0.0006349847,0.9880887435
2025-11-03,-0.0010966175,0.9870051881
2025-11-04,-0.0001638681,0.9868434494
2025-11-05,-0.000269702,0.9865772958
2025-11-06,0.2072375575,1.1910331648
2025-11-07,0.0,1.1910331648
2025-11-08,0.0,1.1910331648
2025-11-09,0.0,1.1910331648
2025-11-10,-0.0006808448,1.1902222561
2025-11-11,-0.0005439612,1.1895748213
2025-11-12,-0.0004726673,1.1890125482
2025-11-13,-0.0013485015,1.187409163
2025-11-14,-0.0001552925,1.1872247673
2025-11-15,-0.0001946845,1.186993633
2025-11-16,-0.0007111641,1.1861494858
2025-11-17,-0.0003296261,1.1857584999
2025-11-18,-0.0009355128,1.1846492077
2025-11-19,-0.000461714,1.1841022386
2025-11-20,-0.0005385944,1.1834644877
2025-11-22,-0.0016125074,1.1815561425
2025-11-28,0.4699984371,1.7368856828
2025-11-29,0.0,1.7368856828
2025-11-30,0.1267157464,1.9569764485
2025-12-01,0.0,1.9569764485
2025-12-02,0.0,1.9569764485
2025-12-03,0.0,1.9569764485
2025-12-04,0.0,1.9569764485
2025-12-05,0.0,1.9569764485
2025-12-06,-0.0002692033,1.956449624
2025-12-07,-0.0002408613,1.955978391
2025-12-08,-0.0002176421,1.9555526877
2025-12-09,-0.0005193098,1.9545371501
2025-12-10,-0.0001108178,1.9543205526
2025-12-11,-0.0001628129,1.954002364
2025-12-12,-9.17024e-05,1.9538231773
2025-12-13,-3.6523e-05,1.9537518178
2025-12-14,-7.51773e-05,1.95360494
2025-12-15,-0.0001116806,1.9533867602
2025-12-16,-2.24586e-05,1.9533428899
2025-12-17,-1.66409e-05,1.9533103845
2025-12-18,-4.68553e-05,1.9532188616
2025-12-19,8.1212e-06,1.953234724
2025-12-20,-7.51139e-05,1.953088009
2025-12-21,-7.97643e-05,1.9529322223
2025-12-22,-1.6258e-05,1.9529004715
2025-12-23,-0.0001112304,1.9526832496
2025-12-24,-0.0001148364,1.9524590105
2025-12-25,-8.88198e-05,1.9522855935
2025-12-26,-4.91168e-05,1.9521897034
2025-12-27,-7.76918e-05,1.9520380343
2025-12-28,-8.9141e-05,1.9518640277
2025-12-29,-5.02512e-05,1.9517659442
2025-12-30,-7.72908e-05,1.9516150906
2025-12-31,-9.4712e-05,1.9514302492
2026-01-01,-7.85996e-05,1.9512768676
2026-01-02,-3.02861e-05,1.951217771
2026-01-03,-5.08543e-05,1.9511185432
2026-01-04,-8.95554e-05,1.95094381
