date,daily_return,equity_twr
2025-07-11,-0.0080485414,0.9919514586
2025-07-12,-0.0099776141,0.9820541497
2025-07-13,0.01151551,0.9933630041
2025-07-14,0.0516922884,1.044712211
2025-07-15,-0.0164987556,1.0274757596
2025-07-16,0.013828733,1.0416844475
2025-07-17,-0.0736843557,0.9649286002
2025-07-18,-0.0128333569,0.9525453271
2025-07-19,0.0114521608,0.9634540293
2025-07-20,0.2976070029,1.2501846954
2025-07-21,0.9088698205,2.3864398351
2025-07-22,-0.031717054,2.310748994
2025-07-23,-0.0464621553,2.2033866154
2025-07-24,-0.0213048316,2.1564438346
2025-07-25,0.0126284722,2.1836764256
2025-07-26,0.0244428696,2.2370517437
2025-07-27,-0.0064394099,2.2226464506
2025-07-28,-0.0384285931,2.1372332745
2025-07-29,-0.0216000205,2.091068992
2025-07-30,-0.0069414291,2.0765539848
2025-07-31,-0.0090383492,2.0577853648
2025-08-01,-0.0115586071,2.0340002322
2025-08-02,-0.0102036425,2.013246021
2025-08-03,0.0534077105,2.1207688817
2025-08-04,0.0223318918,2.1681296629
2025-08-05,-0.023403691,2.1173874262
2025-08-06,0.0748680158,2.2759120215
2025-08-07,-0.0065151739,2.2610840589
2025-08-08,0.0141310216,2.2930354866
2025-08-09,0.0022670453,2.2982339019
2025-08-10,-0.0175730366,2.2578469534
2025-08-11,-0.0256767186,2.1998728525
2025-08-12,0.0315736479,2.2693308634
2025-08-13,0.006120145,2.2832194974
2025-08-14,-0.0711815751,2.1206963372
2025-08-15,0.0132826536,2.1488648121
2025-08-16,0.0039215157,2.1572916192
2025-08-17,-0.0005499403,2.1561052376
2025-08-18,-0.0215429244,2.1096564254
2025-08-20,1.0,4.2193128509
2025-08-21,-0.0045345896,4.2001799987
2025-08-22,0.0160871259,4.2677488231
2025-08-23,-0.0037929124,4.2515616257
2025-08-24,-0.0133763463,4.1946912651
2025-08-25,-0.0197136737,4.1119984902
2025-08-26,0.108794948,4.5593631521
2025-08-27,-0.0746843467,4.2188500937
2025-08-28,0.0698708239,4.5136246257
2025-08-29,-0.0248649738,4.4013934676
2025-08-30,0.0309228171,4.5374969528
2025-08-31,-0.0078692703,4.5017901628
2025-09-01,-0.0449167344,4.2995844498
2025-09-02,0.017215459,4.3736037696
2025-09-03,0.0383889666,4.5415018986
2025-09-04,-0.0456501444,4.3341816811
2025-09-05,0.0054365472,4.3577446644
2025-09-06,-0.006172893,4.3308447729
2025-09-07,0.0124609545,4.3848112325
