date,daily_return,equity_twr
2025-08-05,0.0,1.0
2025-08-06,0.0,1.0
2025-08-07,0.0,1.0
2025-08-08,0.0039715143,1.0039715143
2025-08-09,1.0,2.0079430286
2025-08-10,-0.1885343917,1.6293767111
2025-08-11,0.0320520592,1.6816015899
2025-08-12,0.8768964232,3.1561920094
2025-08-13,0.2523671336,3.9527111399
2025-08-14,-0.1272151874,3.4498662515
2025-08-15,0.0,3.4498662515
2025-08-16,0.0,3.4498662515
2025-08-17,0.0,3.4498662515
2025-08-18,0.0,3.4498662515
2025-08-19,0.0,3.4498662515
2025-08-20,0.0,3.4498662515
2025-08-21,0.0,3.4498662515
2025-08-22,0.0,3.4498662515
2025-08-23,0.0,3.4498662515
2025-08-24,0.0,3.4498662515
2025-08-25,0.0,3.4498662515
2025-08-26,0.0,3.4498662515
2025-08-27,0.0,3.4498662515
2025-08-28,0.0,3.4498662515
2025-09-05,-0.0674592227,3.2171409558
2025-09-06,0.0,3.2171409558
2025-09-07,0.0,3.2171409558
2025-09-08,0.1727377304,3.7728625828
2025-09-09,-0.0511542306,3.5798647003
2025-09-10,0.1834994132,4.2367677721
2025-09-11,0.05893688,4.4864696459
2025-09-12,0.3338229753,5.9841562916
2025-09-13,-0.0309889285,5.7987137002
2025-09-14,0.0271958328,5.9564145484
2025-09-15,-0.111705499,5.291050289
2025-09-16,0.0623815107,5.6211139993
2025-09-17,-0.0072672376,5.5802640282
2025-09-18,0.0713197469,5.9782470464
2025-09-19,-0.0233175465,5.8388489929
2025-09-20,0.0161042625,5.9328793498
2025-09-21,-0.0670299934,5.5351984861
2025-09-22,-0.2908374577,3.9253554305
2025-09-23,0.0,3.9253554305
2025-09-24,0.0,3.9253554305
2025-09-25,0.0,3.9253554305
2025-09-26,0.0,3.9253554305
2025-09-27,0.0,3.9253554305
2025-09-28,-0.0747420478,3.6319663273
2025-09-29,0.0,3.6319663273
2025-09-30,0.0,3.6319663273
2025-10-01,0.0,3.6319663273
2025-10-02,0.0,3.6319663273
2025-10-03,0.0,3.6319663273
2025-10-04,0.0,3.6319663273
2025-10-05,0.0,3.6319663273
2025-10-06,0.0,3.6319663273
2025-10-07,0.0,3.6319663273
2025-10-08,0.0,3.6319663273
2025-10-09,0.0,3.6319663273
2025-10-10,0.0,3.6319663273
2025-10-11,-0.1003831323,3.267378171
2025-10-12,0.2182816153,3.9805867559
2025-10-13,-0.0053749733,3.9591912084
2025-10-14,-0.1274831677,3.4544609716
2025-10-15,-0.1118372143,3.0681236796
2025-10-16,-0.2139101873,2.4118207687
2025-10-17,-0.0834345497,2.2105915889
2025-10-18,0.0007368977,2.2122205687
2025-10-19,0.1730820984,2.5951163469
2025-10-20,0.1332216268,2.9408419684
2025-10-21,-0.0472448847,2.8019022287
2025-10-22,-0.2190440569,2.1881621975
2025-10-23,0.2493383592,2.7337549694
2025-10-24,0.0961952265,2.9967291479
2025-10-25,0.0265556357,3.0763091955
2025-10-26,0.1947735171,3.6754927571
2025-10-27,-0.012989189,3.627751087
2025-10-28,0.0,3.627751087
2025-10-29,0.0,3.627751087
2025-10-30,0.0,3.627751087
2025-10-31,0.0,3.627751087
2025-11-01,0.0,3.627751087
2025-11-02,0.0,3.627751087
2025-11-03,0.026989268,3.7256614334
2025-11-04,-0.1454869748,3.1836262223
2025-11-05,0.0681460186,3.4005776741
2025-11-06,-0.0691053039,3.1655797205
2025-11-07,0.0851377051,3.4350899132
2025-11-08,-0.0463410324,3.2759043002
2025-11-09,0.0626702782,3.4812061341
2025-11-10,0.0425019855,3.6291643067
2025-11-11,0.0,3.6291643067
2025-11-12,0.0,3.6291643067
2025-11-13,-0.0078894292,3.6005322718
2025-11-14,0.0,3.6005322718
2025-11-15,0.0,3.6005322718
2025-11-16,0.0,3.6005322718
2025-11-17,0.0,3.6005322718
2025-11-18,0.0,3.6005322718
2025-11-19,0.0,3.6005322718
2025-11-20,0.0234051072,3.6848031156
2025-11-21,-0.0227078908,3.6011290089
2025-11-22,0.0,3.6011290089
2025-11-28,-0.0081820332,3.5716644518
2025-11-29,0.0,3.5716644518
2025-11-30,0.0,3.5716644518
2025-12-01,0.0,3.5716644518
2025-12-02,0.0,3.5716644518
2025-12-03,0.0,3.5716644518
2025-12-04,0.0,3.5716644518
2025-12-05,0.0,3.5716644518
2025-12-06,0.0,3.5716644518
2025-12-07,0.0,3.5716644518
2025-12-08,0.0,3.5716644518
2025-12-09,0.0,3.5716644518
2025-12-10,0.0,3.5716644518
2025-12-11,0.0,3.5716644518
2025-12-12,0.0,3.5716644518
2025-12-13,0.0,3.5716644518
2025-12-14,0.0,3.5716644518
2025-12-15,0.0,3.5716644518
2025-12-16,0.0,3.5716644518
2025-12-17,0.0,3.5716644518
2025-12-18,0.0,3.5716644518
2025-12-19,0.0,3.5716644518
2025-12-20,0.0,3.5716644518
2025-12-21,0.0,3.5716644518
2025-12-22,0.0,3.5716644518
2025-12-23,0.0,3.5716644518
2025-12-24,0.0,3.5716644518
2025-12-25,0.0,3.5716644518
2025-12-26,0.0,3.5716644518
2025-12-27,0.0,3.5716644518
2025-12-28,0.0,3.5716644518
2025-12-29,0.0,3.5716644518
2025-12-30,0.0,3.5716644518
2025-12-31,0.0,3.5716644518
2026-01-01,0.0,3.5716644518
2026-01-02,0.0,3.5716644518
2026-01-03,0.0,3.5716644518
2026-01-04,0.0,3.5716644518
