date,daily_return,equity_twr
2025-07-11,-0.0003428292,0.9996571708
2025-07-12,0.0066622833,1.0063171701
2025-07-13,-0.0034861305,1.0028090171
2025-07-14,-0.0057511541,0.9970417079
2025-07-15,0.0080605958,1.0050784581
2025-07-16,-0.0235358302,0.9814231022
2025-07-17,-0.005484437,0.976040549
2025-07-18,0.011631616,0.9873934779
2025-07-19,0.0010118067,0.9883925292
2025-07-20,-0.0233281271,0.9653351827
2025-07-21,-0.0470499341,0.9199162259
2025-07-22,-0.0221936233,0.8994999517
2025-07-23,0.0488836746,0.9434708147
2025-07-24,0.0141538262,0.9568245366
2025-07-25,-0.0065000758,0.9506051046
2025-07-26,-0.0061115877,0.9447953981
2025-07-27,-0.0207395981,0.9252007213
2025-07-28,0.0288578118,0.9518999896
2025-07-29,0.0132674883,0.9645293116
2025-07-30,0.0143892098,0.9784081262
2025-07-31,0.013994269,0.9921002327
2025-08-01,0.0534888957,1.0451665786
2025-08-02,0.016755515,1.0626788829
2025-08-03,-0.0140195365,1.0477806175
2025-08-04,-0.0373033864,1.0086948522
2025-08-05,0.0319290109,1.0409014812
2025-08-06,-0.0264069259,1.0134144729
2025-08-07,-0.0350381057,0.9779063495
2025-08-08,-0.0186472417,0.9596710934
2025-08-09,-0.0195491841,0.9409103065
2025-08-25,0.0042113041,0.944872766
2025-08-26,-0.0594377804,0.888711626
2025-08-27,-0.0216730463,0.8694505378
2025-08-28,-0.0443110912,0.8309242357
2025-08-29,0.0734288992,0.8919380876
2025-08-30,0.0109571502,0.9017111872
2025-08-31,-0.0296873047,0.8749418125
2025-09-01,0.0609914034,0.9283057415
2025-09-02,-0.0615394439,0.8711783224
2025-09-03,-0.020080943,0.8536842402
2025-09-04,0.0395855199,0.8874777747
2025-09-05,0.0021700128,0.8894036128
2025-09-06,0.014345997,0.9021629943
2025-09-07,-0.0211644201,0.8830692377
2025-09-08,-0.0445257918,0.8437498807
2025-10-06,-0.1406133588,0.725107376
2025-10-07,0.0938750983,0.7931769022
2025-10-08,-0.0363573136,0.7643391208
2025-10-09,0.068265955,0.8165174608
2025-10-10,0.4377248864,1.1739274736
2025-10-11,0.0206312208,1.1981470306
2025-10-12,-0.0491638306,1.1392415329
2025-10-13,-0.0168073187,1.1200939374
2025-10-14,0.0190106014,1.1413875968
2025-10-15,0.0218699404,1.1663496755
2025-10-16,0.0166648062,1.1857866668
2025-10-17,0.0062626898,1.1932128808
