date,daily_return,equity_twr
2025-07-11,0.0118446053,1.0118446053
2025-07-12,-0.0173990632,0.9942394571
2025-07-13,-0.0100589127,0.9842384892
2025-07-14,-0.1680616455,0.8188257491
2025-07-15,0.0100698479,0.8270711999
2025-07-16,0.0088255251,0.8343705375
2025-07-17,-0.0053527431,0.8299043664
2025-07-18,0.0062452933,0.8350873625
2025-07-19,-0.0070441247,0.829204903
2025-07-20,0.0302311509,0.8542727216
2025-07-21,-0.0021057803,0.8524738109
2025-07-22,-0.0104474068,0.8435676702
2025-07-23,0.0267803749,0.8661587287
2025-07-24,-0.0009536332,0.865332731
2025-07-25,0.3347973746,1.1550438574
2025-07-26,-0.2335064073,0.885333716
2025-07-27,0.1222153818,0.9935351141
2025-07-28,0.0253880818,1.0187590649
2025-07-29,0.0104041865,1.0293584242
2025-07-30,0.0284856198,1.0586803369
2025-07-31,0.0309475398,1.0914438888
2025-08-01,0.0795740699,1.1782945211
2025-08-02,0.0020677973,1.1807309953
2025-08-03,-0.0070871259,1.1723630061
2025-08-04,-0.0332636052,1.1333659859
2025-08-05,0.0338164249,1.1716923716
2025-08-06,-0.0155928746,1.1534223194
2025-08-07,-0.0343199666,1.1138369039
2025-08-08,-0.0220795861,1.0892438461
2025-08-09,-0.034060967,1.0521431474
2025-08-10,0.0078733496,1.0604270382
2025-08-11,0.0620723587,1.1262502457
2025-08-12,-0.0587148301,1.0601226539
2025-08-13,0.2489146301,1.3240026922
2025-08-14,0.0498709353,1.3900319448
2025-08-15,0.0027374644,1.3938371077
2025-08-16,0.0060824375,1.4023150348
2025-08-17,-0.0210933352,1.3727355337
2025-08-18,0.0269228551,1.4096934936
2025-08-19,0.0236758326,1.4430691608
2025-08-20,-0.0169952483,1.4185438421
2025-08-21,0.0183753865,1.4446101334
2025-08-22,-0.0643508196,1.3516482873
2025-08-23,0.0035074231,1.3563890898
2025-08-24,-0.0004244021,1.3558134354
2025-08-25,0.0491534753,1.4224563776
2025-08-26,-0.0291097603,1.3810490134
2025-08-27,0.1760963195,1.6242466617
2025-08-28,-0.0008940086,1.6227945712
2025-08-29,0.0198966729,1.655082784
2025-08-30,0.005577945,1.6643147447
2025-08-31,-0.0092489138,1.6489216411
2025-09-01,0.0233243882,1.6873817296
2025-09-02,-0.0217913385,1.6506114232
2025-09-03,-0.0089090356,1.6359060672
2025-09-04,0.0187054328,1.6665063982
2025-09-05,0.0008547141,1.6679307847
2025-09-06,0.0103048864,1.685118622
2025-09-07,-0.0061710681,1.6747196402
2025-09-08,-0.0267372319,1.6299422728
2025-09-09,-0.0099856026,1.613666317
2025-09-10,-0.0203823618,1.5807759863
2025-09-11,-0.0124243993,1.5611357943
2025-09-12,-0.0238543063,1.5238959829
2025-09-13,0.0040976249,1.530140337
2025-09-14,0.0066265576,1.5402799001
2025-09-15,0.0200843564,1.5712154306
2025-09-16,-0.0079432563,1.5587348637
2025-09-17,-0.0282855042,1.5146452622
2025-09-18,-0.0130164638,1.4949299369
2025-09-19,0.0378639562,1.5515338986
2025-09-20,0.0134397506,1.5723861272
2025-09-21,0.0237519429,1.6097333527
2025-09-22,0.0546765953,1.6977480918
2025-09-23,0.0158119362,1.7245927763
2025-09-24,0.0019089691,1.7278849706
2025-09-25,0.0540953795,1.8213555639
2025-09-26,-0.0259422156,1.7741055651
2025-09-27,-0.0109520384,1.7546754929
2025-09-28,-0.020434052,1.7188203626
2025-09-29,-0.0066250346,1.7074331182
2025-09-30,-0.001633889,1.704643362
2025-10-01,-0.0311966253,1.6514642418
2025-10-02,-0.0618865814,1.5492607656
2025-10-03,-0.0137124456,1.5280166116
2025-10-04,0.0181466198,1.5557449481
2025-10-05,0.0066799133,1.5661371895
2025-10-06,-0.0120716799,1.5472312826
2025-10-07,0.0385594564,1.6068916798
2025-10-08,-0.0222454559,1.5711456418
2025-10-09,0.013315102,1.5920656063
2025-10-10,0.1905809964,1.8954830559
2025-10-11,0.0108076939,1.9159688565
2025-10-12,-0.0078292436,1.9009682696
2025-10-13,-0.0386068427,1.8275778867
2025-10-14,0.0512439093,1.9212301221
2025-10-15,0.0234383218,1.966260532
2025-10-16,0.0049469141,1.9759874539
2025-10-17,0.0022078055,1.9803500499
2025-10-18,-0.0062725868,1.9679281323
2025-10-19,-0.008874897,1.9504629728
2025-10-20,-0.004390828,1.9418988254
2025-10-21,0.0166892311,1.9743076237
2025-10-22,0.0046981611,1.983583239
2025-10-23,-0.0291764229,1.9257093755
2025-10-24,0.0038764497,1.9331742911
2025-10-25,-0.0237065131,1.8873454694
2025-10-26,-0.0309061567,1.8290148746
2025-10-27,-0.0172919067,1.79738772
2025-10-28,0.0211508995,1.835404087
2025-10-29,-0.0146816668,1.8084572958
2025-10-30,0.0186027581,1.8420995894
2025-10-31,0.0040431553,1.8495474841
2025-11-01,0.004562873,1.8579867344
2025-11-02,-0.0035588234,1.8513744877
2025-11-03,0.0420589598,1.9292413729
2025-11-04,0.0229893204,1.9735933209
2025-11-05,-0.0002639567,1.9730723777
2025-11-06,0.006009296,1.9849291537
2025-11-07,-0.0069887297,1.9710570204
2025-11-08,0.0108025179,1.9923493991
2025-11-09,-0.0176211612,1.9572418892
2025-11-10,-0.0015966211,1.9541169155
2025-11-11,0.0155068556,1.9844191243
2025-11-12,0.0019412058,1.9882712902
2025-11-13,0.0144094553,2.0169211965
2025-11-14,-0.0011954,2.0145101689
2025-11-15,-0.0023405493,2.0097951085
2025-11-16,0.0048819894,2.019606907
2025-11-17,0.0123241424,2.0444968301
2025-11-18,-0.010071364,2.0239059583
2025-11-19,0.0066046482,2.0372731451
2025-11-20,0.0050568177,2.047575264
2025-11-22,0.0258448578,2.1004945556
2025-11-28,-0.0355874277,2.0257433575
2025-11-29,-0.0066367102,2.0122990858
2025-11-30,0.0029235425,2.0181821277
2025-12-01,0.0152026116,2.0488637668
2025-12-02,-0.0188362821,2.0102707909
2025-12-03,-0.0193213751,1.9714295949
2025-12-04,0.0089374324,1.9890491136
2025-12-05,0.0190405281,2.0269216592
2025-12-06,0.0012211966,2.029396929
2025-12-07,0.0056443227,2.0408515001
2025-12-08,-0.0105717125,2.0192762048
2025-12-09,-0.0030008496,2.0132166606
2025-12-10,-0.0074259424,1.9982666297
2025-12-11,0.0098259729,2.0179015434
2025-12-12,0.0144193706,2.0469984136
2025-12-13,-0.0045699741,2.0376436839
2025-12-14,0.0071924464,2.0522993269
2025-12-15,0.0133343903,2.0796654871
2025-12-16,0.0023749287,2.0846045444
2025-12-17,0.0243140509,2.1352897253
2025-12-18,0.0084463732,2.1533251793
2025-12-19,-0.0217643237,2.106459513
2025-12-20,0.0028232243,2.1124065207
2025-12-21,-0.0039149459,2.1041365635
2025-12-22,0.0027026246,2.1098232547
2025-12-23,0.0019663439,2.1139718928
2025-12-24,0.0018618108,2.1179077085
2025-12-25,0.002932841,2.1241191951
2025-12-26,0.0021105423,2.1286022385
2025-12-27,-0.000338481,2.127881747
2025-12-28,0.0031690296,2.1346250673
2025-12-29,-0.0013916241,2.1316544716
2025-12-30,-0.0045796789,2.1218921786
2025-12-31,0.002092832,2.1263329424
2026-01-01,0.0036135185,2.1340164859
2026-01-02,-0.0101102581,2.1124410284
2026-01-03,0.0014548193,2.1155142484
2026-01-04,-0.001983482,2.111318164
