date,daily_return,equity_twr
2025-07-11,0.0073414042,1.0073414042
2025-07-12,-0.0043940219,1.002915124
2025-07-13,0.0020317358,1.0049527826
2025-07-14,-0.0016102165,1.003334591
2025-07-15,-0.0154850778,0.9877978768
2025-07-16,0.0172000097,1.0047880099
2025-07-17,0.0193174016,1.0241979034
2025-07-18,0.0093918935,1.033817061
2025-07-19,0.0032427166,1.0371694368
2025-07-20,0.0055880876,1.0429652304
2025-07-21,-0.0005678552,1.0423729772
2025-07-22,0.0070270653,1.0496978002
2025-07-23,-0.0123045984,1.0367816903
2025-07-24,-0.0025758083,1.0341111394
2025-07-25,0.0022622133,1.0364505194
2025-07-26,-0.0477361969,0.9869743133
2025-07-27,-0.0275005247,0.9598320018
2025-07-28,0.0659457421,1.0231288355
2025-07-29,-0.021877282,1.0007455574
2025-07-30,0.0245208409,1.02528468
2025-07-31,0.0294136926,1.0554420884
2025-08-01,-0.0060619262,1.0490440764
2025-08-02,0.0282946876,1.0787264508
2025-08-03,-0.0136103287,1.0640446292
2025-08-04,-0.0121809991,1.0510835026
2025-08-05,0.0054739156,1.056837045
2025-08-06,0.0096390607,1.0670239614
2025-08-07,-0.048418834,1.0153599053
2025-08-08,-0.0031473243,1.0121642384
2025-08-09,-0.0274436738,0.9843867332
2025-08-10,-0.0150556786,0.969566123
2025-08-11,-0.0536708712,0.9175286644
2025-08-12,0.0003372437,0.9178380952
2025-08-13,0.0027965837,0.9204049063
2025-08-14,0.0613999589,0.9769177297
2025-08-15,0.0188411104,0.9953239445
2025-08-16,-0.0060911574,0.9892612697
2025-08-17,-0.0242329277,0.9652885728
2025-08-18,0.0231619098,0.9876464997
2025-08-19,0.041098539,1.0282373279
2025-08-20,-0.0060302737,1.0220367754
2025-08-21,0.0366331444,1.0594771961
2025-08-22,-0.1496184317,0.9009598796
2025-08-23,0.0524762368,0.9482388636
2025-08-24,0.0767502093,1.0210163949
2025-08-25,0.0629692875,1.0853090698
2025-08-26,0.006134551,1.0919669536
2025-08-27,0.0254626548,1.1197713312
2025-08-28,-0.0068674764,1.112081328
2025-08-29,0.0551922707,1.1734596217
2025-08-30,-0.0005135558,1.1728569847
2025-08-31,-0.0170089435,1.1529079265
2025-09-01,0.0412115809,1.2004210848
2025-09-02,-0.0391448306,1.1534308048
2025-09-03,-0.0153885295,1.1356812009
2025-09-04,0.0598808293,1.203686733
2025-09-05,0.0037860815,1.208243989
2025-09-06,0.0035738365,1.2125620555
2025-09-07,-0.0001036118,1.2124364198
2025-09-08,-0.1676012911,1.0092305104
2025-09-09,-0.0968143365,0.9115225282
2025-09-10,0.00723614,0.9181184328
2025-09-11,0.0750453147,0.9870189196
2025-09-12,-0.0427509511,0.944822922
2025-09-13,0.0026610422,0.9473371357
2025-09-14,0.0720213965,1.0155656791
2025-09-15,0.0572561681,1.0737130784
2025-09-16,-0.0104616972,1.0624802173
2025-09-17,-0.0226582396,1.0384062859
2025-09-18,0.0098711071,1.0486565056
2025-09-19,0.0500060939,1.1010957213
2025-09-20,0.0048706385,1.1064587605
