date,daily_return,equity_twr
2025-07-11,0.0002684061,1.0002684061
2025-07-12,-0.0179986637,0.9822649114
2025-07-13,-0.0243592423,0.9583376825
2025-07-14,0.0046640742,0.9628074405
2025-07-15,0.0322991629,0.9939053149
2025-07-16,-0.0568030742,0.9374484375
2025-07-17,-0.0054546108,0.9323350212
2025-07-18,0.0635696825,0.9916032624
2025-07-19,-0.023410629,0.9683892064
2025-07-20,-0.0056525002,0.9629153862
2025-07-21,-0.0310492134,0.9330176209
2025-07-22,-0.0316752712,0.9034640347
2025-07-23,0.0457631142,0.9448093625
2025-07-24,0.0624745737,1.0038359246
2025-07-25,-0.0074519982,0.9963553411
2025-07-26,-0.0028929141,0.9934729707
2025-07-27,-0.0008072161,0.9926710233
2025-07-28,0.0589602848,1.0511991896
2025-07-29,0.0162484962,1.0682795956
2025-07-30,0.0241360036,1.0940635958
2025-07-31,0.0124094393,1.1076403116
2025-08-01,0.055294098,1.1688862835
2025-08-02,0.0086722796,1.1790231922
2025-08-03,-0.014581009,1.1618318444
2025-08-04,-0.0282359615,1.1290264052
2025-08-05,0.0325109593,1.1657321367
2025-08-06,-0.0049142185,1.1600034742
2025-08-07,-0.0378288233,1.1161219078
2025-08-08,-0.0156931906,1.098606394
2025-08-09,-0.0413248825,1.0532066138
2025-08-10,0.0027329839,1.0560850105
2025-08-11,0.0703935688,1.1304266034
2025-08-12,-0.0441803938,1.0804839109
2025-08-13,-0.0398449451,1.0374320888
2025-08-14,0.0441314739,1.0832154959
2025-08-15,-0.0160104699,1.0658727068
2025-08-16,0.0105937794,1.0771643272
2025-08-17,-0.0054209446,1.071325079
2025-08-18,0.0292531183,1.1026646783
2025-08-19,0.0356995082,1.142029265
2025-08-20,-0.0193450546,1.1199366465
2025-08-21,0.0236712866,1.1464469879
2025-08-22,-0.0536965923,1.0848866914
2025-08-23,0.0115774344,1.0974468959
2025-08-24,-0.0043233694,1.0927022275
2025-08-25,0.0590413776,1.1572168724
2025-08-26,-0.0545555389,1.0940842823
2025-08-27,0.0098417473,1.1048519833
2025-08-28,0.0066628314,1.1122134258
2025-08-29,0.0346458599,1.1507470163
2025-08-30,0.0019511062,1.1529922459
2025-08-31,-0.012673903,1.1383793341
2025-09-01,0.0429237787,1.1872428767
2025-09-02,-0.0372434137,1.143025899
2025-09-03,-0.0118973292,1.1294269436
2025-09-04,0.0164816721,1.1480417882
2025-09-05,-0.0136980805,1.1323158194
2025-09-06,0.0106117902,1.1443317173
2025-09-07,-0.0114736686,1.1312020344
2025-09-08,-0.0520480196,1.0723252087
2025-09-09,-0.0238604191,1.0467390798
2025-09-10,-0.0305107054,1.0148023321
2025-09-11,-0.0165196581,0.9980381446
2025-09-12,0.0010447288,0.9990808238
2025-09-13,0.0041979059,1.003274871
2025-09-14,0.0236301782,1.026982435
2025-09-15,0.0212402871,1.0487958368
2025-09-16,-0.014994784,1.0330693698
2025-09-17,-0.0366581331,0.9951989753
2025-09-18,-0.0261383017,0.9691861642
2025-09-19,0.0535535167,1.0210894917
2025-09-20,0.0365867071,1.0584477938
2025-09-21,0.0422636517,1.1031816627
2025-09-22,0.0615744231,1.1711094372
2025-09-23,0.02382407,1.1990100304
2025-09-24,-0.0118762868,1.1847702434
2025-09-25,0.0513449405,1.2456022011
2025-09-26,-0.0296141662,1.2087147305
2025-09-27,-0.0190949383,1.1856343972
2025-09-28,-0.0093098979,1.1745962621
2025-09-29,0.0026415774,1.177699049
2025-09-30,0.0112669463,1.1909681209
2025-10-01,-0.0157464881,1.1722145556
2025-10-02,-0.032908026,1.1336392885
2025-10-03,0.0008453542,1.1345976153
2025-10-04,0.0185644678,1.1556608162
2025-10-05,-0.003550617,1.1515575072
2025-10-06,-0.0226904321,1.1254281698
2025-10-07,0.0518199383,1.1837477881
2025-10-08,-0.0132908648,1.1680147563
2025-10-09,0.0293619235,1.2023099162
2025-10-10,0.1453714446,1.3770914456
2025-10-11,0.0110120245,1.3922560103
2025-10-12,-0.048987377,1.3240530403
2025-10-13,-0.0032308126,1.319775273
2025-10-14,0.0187177025,1.344478434
2025-10-15,0.0140493444,1.3633674745
2025-10-16,0.0101574494,1.3772158107
2025-10-17,0.0036282972,1.3822127589
2025-10-18,0.0004598679,1.3828483942
2025-10-19,-0.0083156201,1.3713491523
2025-10-20,0.0045217293,1.3775500219
2025-10-21,-0.001786068,1.3750896239
2025-10-22,0.0273328728,1.4126747737
2025-10-23,-0.0240287332,1.3787299885
2025-10-24,-0.0124097244,1.3616203293
2025-10-25,-0.0103757204,1.3474925375
2025-10-26,-0.0231576848,1.31628773
2025-10-27,0.0050471456,1.3229312258
2025-10-28,0.0230550297,1.3534314445
2025-10-29,-0.0235806403,1.3215166645
2025-10-30,0.0521732407,1.3904644715
2025-10-31,0.007448495,1.4008213392
2025-11-01,-0.0087384153,1.3885803805
2025-11-02,0.0062132889,1.3972080316
2025-11-03,0.0451474352,1.4602883907
2025-11-04,0.0089588023,1.4733708257
2025-11-05,-0.0173079817,1.4478697504
2025-11-06,0.0169408045,1.4723978288
2025-11-07,-0.0430888509,1.4089538983
2025-11-08,0.015715506,1.4310963217
2025-11-09,-0.0232141133,1.3978746895
2025-11-10,-0.0087665564,1.3856201422
2025-11-11,0.0883703256,1.5080678454
2025-11-12,0.0246823215,1.5452904608
2025-11-13,0.0219828162,1.5792602969
2025-11-14,0.0151459777,1.6031797382
2025-11-15,0.0096274953,1.6186143436
2025-11-16,0.012111101,1.6382175454
2025-11-17,-0.0053534428,1.6294474414
2025-11-18,-0.0279544081,1.5838972027
2025-11-19,0.0025327197,1.5879087703
2025-11-20,-0.0086572592,1.5741618325
2025-11-21,0.0739967692,1.6906447223
2025-11-28,-0.0928851638,1.5336089104
2025-11-29,0.0238823884,1.570235154
2025-11-30,-0.0090140387,1.5560809936
2025-12-01,0.0076853603,1.5680400367
2025-12-02,-0.0311718448,1.519161336
2025-12-03,-0.0009735337,1.5176823813
2025-12-04,-0.0422778354,1.4535180553
2025-12-05,0.0196406884,1.4820661506
2025-12-06,-0.0040537608,1.4760582089
2025-12-07,0.0101095797,1.490980537
2025-12-08,-0.0107753357,1.4749147212
2025-12-09,0.0165876333,1.4993800657
2025-12-10,0.0069245224,1.5097625566
2025-12-11,-0.0067951576,1.4995034821
2025-12-12,-0.0075829668,1.488132797
2025-12-13,0.0147063707,1.5100178295
2025-12-14,0.0074143154,1.521213578
2025-12-15,0.0224945463,1.5554325872
2025-12-16,-0.0167985943,1.5293035062
2025-12-17,0.0499287712,1.6056597511
2025-12-18,0.0651307264,1.710237537
2025-12-19,-0.0405251876,1.64092984
2025-12-20,-0.0105074973,1.6236877741
2025-12-21,0.0008319773,1.6250386455
2025-12-22,0.0029282767,1.6297972083
2025-12-23,0.0118818135,1.6491621548
2025-12-24,-0.0145966714,1.6250898767
2025-12-25,-0.0038740769,1.6187941536
2025-12-26,-0.0050582244,1.6106059295
2025-12-27,-0.020793439,1.5771158933
2025-12-28,0.0113226715,1.5949730585
2025-12-29,0.021148997,1.6287051389
2025-12-30,0.0008018833,1.6300111704
2025-12-31,0.0221747854,1.6661563183
2026-01-01,-0.0166257351,1.6384552447
2026-01-02,-0.0544412139,1.5492557523
2026-01-03,-0.0147426629,1.526415597
2026-01-04,-0.0307815098,1.4794302203
