date,daily_return,equity_twr
2025-08-08,-0.0001166998,0.9998833002
2025-08-09,0.0,0.9998833002
2025-08-10,0.0,0.9998833002
2025-08-11,0.0,0.9998833002
2025-08-12,-8.0262e-06,0.9998752749
2025-08-13,-0.0002317755,0.9996435283
2025-08-14,0.0543465515,1.0539707068
2025-08-15,-0.0405797669,1.0112008212
2025-08-16,0.011369997,1.0226981715
2025-08-17,-0.0190829686,1.0031820544
2025-08-18,0.0446172543,1.0479412833
2025-08-19,-0.0090414553,1.038466369
2025-08-20,0.0419385749,1.0820181686
2025-08-21,-0.0332554542,1.046035163
2025-08-22,0.2120155546,1.2678108882
2025-08-23,-0.0095516435,1.2557012105
2025-08-24,-0.0008056215,1.2546895906
2025-08-25,0.012537344,1.2704200657
2025-08-26,-0.0165094076,1.249446183
2025-08-27,0.0123369046,1.2648604813
2025-08-28,-0.0018386609,1.2625348318
2025-08-29,0.0154509663,1.282042215
2025-08-30,0.0017963445,1.2843452044
2025-08-31,-0.0113376726,1.269783719
2025-09-01,0.0087988583,1.280956366
2025-09-02,0.0017128027,1.2831503915
2025-09-03,0.0199109782,1.308699171
2025-09-04,-0.0186970592,1.2842303451
2025-09-05,-0.0040995098,1.2789656303
2025-09-06,-0.0044870933,1.2732267921
2025-09-07,0.0016527348,1.2753310984
2025-09-08,0.00914946,1.2869996892
2025-09-09,-0.0039973461,1.2818551061
2025-09-10,0.0089328798,1.2933057636
2025-09-11,0.0168286782,1.3150703901
2025-09-12,0.0479317635,1.3781040331
2025-09-13,-0.0076949551,1.3674995844
2025-09-14,-0.0103251002,1.3533800142
2025-09-15,-0.0215873598,1.3241641129
2025-09-16,-0.0082690737,1.3132145022
2025-09-17,0.0032201333,1.317443228
2025-09-18,0.0081350356,1.3281606755
2025-09-19,-0.0111357996,1.3133705444
2025-09-20,0.0,1.3133705444
2025-09-21,0.0,1.3133705444
2025-09-22,0.0,1.3133705444
2025-09-23,0.0,1.3133705444
2025-09-24,0.0,1.3133705444
2025-09-25,0.0,1.3133705444
2025-09-26,0.0,1.3133705444
2025-09-27,0.0,1.3133705444
2025-09-28,0.0,1.3133705444
2025-09-29,0.0,1.3133705444
2025-09-30,0.0,1.3133705444
2025-10-01,0.0,1.3133705444
2025-10-02,0.0,1.3133705444
2025-10-03,0.0,1.3133705444
2025-11-20,0.0,1.3133705444
2025-11-21,0.0,1.3133705444
