date,daily_return,equity_twr
2025-09-26,0.0,1.0
2025-09-27,0.0,1.0
2025-09-28,0.0,1.0
2025-09-29,0.0,1.0
2025-09-30,0.0,1.0
2025-10-01,0.0,1.0
2025-10-02,0.0,1.0
2025-10-03,0.0,1.0
2025-10-04,0.0,1.0
2025-10-05,0.0,1.0
2025-10-06,0.0,1.0
2025-10-07,0.0,1.0
2025-10-08,0.0,1.0
2025-10-09,0.0,1.0
2025-10-10,0.3428374062,1.3428374062
2025-10-11,-0.0393677291,1.289972947
2025-10-12,0.0638813228,1.3723781252
2025-10-13,0.0,1.3723781252
2025-10-14,0.0,1.3723781252
2025-10-15,-0.0022977374,1.3692247607
2025-10-16,-0.0332987027,1.3236313524
2025-10-17,-0.0102908716,1.3100100321
2025-10-18,0.0,1.3100100321
2025-10-19,0.0,1.3100100321
2025-10-20,0.0,1.3100100321
2025-10-21,0.0,1.3100100321
2025-10-22,0.0,1.3100100321
2025-10-23,0.0,1.3100100321
2025-10-24,0.0,1.3100100321
2025-10-25,0.0,1.3100100321
2025-10-26,0.0,1.3100100321
2025-10-27,0.0,1.3100100321
2025-10-28,0.0,1.3100100321
2025-10-29,0.0,1.3100100321
2025-10-30,0.0,1.3100100321
2025-10-31,0.0,1.3100100321
2025-11-03,-0.0762667209,1.2100998626
2025-11-04,-0.0130780785,1.1942740816
2025-11-05,0.0,1.1942740816
2025-11-06,0.0,1.1942740816
2025-11-07,0.0,1.1942740816
2025-11-08,0.0,1.1942740816
2025-11-09,0.0,1.1942740816
2025-11-10,0.0,1.1942740816
2025-11-11,0.0,1.1942740816
2025-11-12,0.0,1.1942740816
2025-11-13,0.0,1.1942740816
2025-11-14,0.0,1.1942740816
2025-11-15,0.0,1.1942740816
2025-11-16,0.0,1.1942740816
2025-11-17,0.0277801713,1.2274512202
2025-11-18,-0.0337653136,1.1860059448
2025-11-19,0.0440265394,1.2382216823
2025-11-20,0.0,1.2382216823
2025-11-22,0.0587558935,1.3109745036
2025-11-28,0.0,1.3109745036
2025-11-29,0.0,1.3109745036
2025-11-30,0.0,1.3109745036
2025-12-01,0.0,1.3109745036
2025-12-02,0.0,1.3109745036
2025-12-03,0.0,1.3109745036
2025-12-04,0.0,1.3109745036
2025-12-05,0.0,1.3109745036
2025-12-06,0.0,1.3109745036
2025-12-07,0.0,1.3109745036
2025-12-08,0.0,1.3109745036
2025-12-09,0.0,1.3109745036
2025-12-10,0.0,1.3109745036
2025-12-11,0.0,1.3109745036
2025-12-12,0.0,1.3109745036
2025-12-13,0.0,1.3109745036
2025-12-14,0.0,1.3109745036
2025-12-15,0.0,1.3109745036
2025-12-16,0.0,1.3109745036
2025-12-17,-0.0540970791,1.2400546122
2025-12-18,-0.0719943407,1.1507776979
2025-12-19,0.0,1.1507776979
2025-12-20,0.0,1.1507776979
2025-12-21,0.0,1.1507776979
2025-12-22,0.0,1.1507776979
2025-12-23,0.0,1.1507776979
2025-12-24,0.0,1.1507776979
2025-12-25,0.0,1.1507776979
2025-12-26,0.0,1.1507776979
2025-12-27,0.0,1.1507776979
2025-12-28,0.0,1.1507776979
2025-12-29,0.0,1.1507776979
2025-12-30,0.0,1.1507776979
2025-12-31,0.0,1.1507776979
2026-01-01,0.0,1.1507776979
2026-01-02,0.0,1.1507776979
2026-01-03,0.0,1.1507776979
2026-01-04,0.0,1.1507776979
