date,daily_return,equity_twr
2025-07-11,0.0113991349,1.0113991349
2025-07-12,1.41968e-05,1.0114134935
2025-07-13,1.56548e-05,1.011429327
2025-07-14,0.0108522683,1.0224056294
2025-07-15,0.0192720807,1.0421095132
2025-07-16,0.0597629625,1.104389065
2025-07-17,-0.0660662711,1.0314261976
2025-07-18,0.016697052,1.0486479745
2025-07-19,0.0016593025,1.0503879987
2025-07-20,0.0003932316,1.0508010444
2025-07-21,-0.0318204667,1.0173640648
2025-07-22,0.0220272852,1.0397738332
2025-07-23,0.0019855414,1.0418383472
2025-07-24,0.0316416033,1.0748037829
2025-07-25,-0.0819969583,0.9866731419
2025-07-26,-0.0063172529,0.9804400781
2025-07-27,0.0121212112,0.9923241994
2025-07-28,0.0109070063,1.0031474857
2025-07-29,-0.0494207538,0.9535711808
2025-07-30,-0.0073112157,0.9465994162
2025-07-31,-0.0765095687,0.8741755031
2025-08-01,0.2890646694,1.1268687559
2025-08-02,0.0069368685,1.1346856963
2025-08-03,-0.0484855342,1.0796698542
2025-08-04,-0.0015357831,1.0780117155
2025-08-05,-0.0343716076,1.0409587198
2025-08-06,0.0090254925,1.0503538849
2025-08-07,0.1212272148,1.1776853609
2025-08-08,0.0432371469,1.2286051159
2025-08-09,0.0960519429,1.3466150243
2025-08-10,-0.010015037,1.333128625
2025-08-11,-0.0473612999,1.2699899204
2025-08-12,0.0340505857,1.313233821
2025-08-13,0.0272851837,1.3490656471
2025-08-14,-0.0749222674,1.2479905899
2025-08-15,-0.0178185892,1.2257531583
2025-08-16,-0.0092094914,1.2144645951
2025-08-17,-0.0431383753,1.1620745656
2025-08-18,-0.0257400021,1.1321627639
2025-08-19,0.0978349168,1.2429278137
2025-08-20,-0.0183633761,1.2201034628
2025-08-21,-0.0093596175,1.208683761
2025-08-22,-0.0114984852,1.1947857287
2025-08-23,-0.0345436145,1.1535135111
2025-08-24,0.0248667223,1.1821976112
2025-08-25,0.1334071579,1.3399112346
2025-08-26,-0.099060756,1.2071786147
2025-08-27,-0.0124905079,1.1921003407
2025-08-28,0.0033646066,1.1961112894
2025-08-29,-0.0670473094,1.1159152457
2025-08-30,0.009509119,1.1265266166
2025-08-31,-0.0339631449,1.0882662299
2025-09-01,0.0508838914,1.1436414505
2025-09-02,-0.1041776618,1.0244995583
2025-09-03,0.0439658832,1.0695425862
2025-09-04,-0.0970266286,0.9657684749
2025-09-05,-0.1786676706,0.7932168711
2025-09-06,0.0311291325,0.8179090242
2025-09-07,-0.0365970251,0.7879759871
2025-09-08,0.000682032,0.788513412
2025-09-09,-0.0793084162,0.7259776621
2025-09-10,-0.0173151876,0.7134072227
2025-09-11,0.0728482825,0.7653777136
2025-09-12,0.1764478177,0.9004269409
2025-09-13,-0.0328225697,0.8708726149
2025-09-14,-0.0075612621,0.8642877188
2025-09-15,-0.0006792455,0.8637006552
2025-09-16,-0.0208042685,0.8457319949
2025-09-17,-0.0728026427,0.7841604706
2025-09-18,-0.033641965,0.7577797715
2025-09-19,-0.0201068059,0.7425432408
2025-09-20,-0.0035710278,0.7398915982
2025-09-21,0.0145500102,0.7506570285
2025-09-22,0.1067444358,0.8307854895
2025-09-23,0.0203579231,0.8476985566
2025-09-24,-0.0073151871,0.841497483
2025-09-25,0.0922695846,0.9191421062
2025-09-26,-0.0240316048,0.8970536464
2025-09-27,-0.0100288406,0.8880572384
2025-09-28,0.0048693642,0.8923815125
2025-09-29,0.0447641297,0.9323281943
2025-09-30,-0.0664739325,0.8703526728
2025-10-01,0.1063056155,0.9628760494
2025-10-02,0.1482216182,1.1055950956
2025-10-03,0.0822699387,1.1965523363
2025-10-04,-0.0280674358,1.1629681804
2025-10-05,0.0041352805,1.1677773801
2025-10-06,0.0287612356,1.2013641004
2025-10-07,-0.0248839834,1.1714693761
2025-10-08,-0.0266334941,1.1402690534
2025-10-09,-0.011594095,1.1270486656
2025-10-10,0.2881894229,1.4518521702
2025-10-11,0.0327962491,1.4994674756
2025-10-12,-0.0573233806,1.4135129308
