date,daily_return,equity_twr
2025-12-04,0.0,1.0
2025-12-05,0.0929878816,1.0929878816
2025-12-06,0.0,1.0929878816
2025-12-07,0.03663527,1.1330297877
2025-12-08,0.0,1.1330297877
2025-12-09,0.0,1.1330297877
2025-12-10,0.0,1.1330297877
2025-12-11,-9.67527e-05,1.1329201641
2025-12-12,0.0002317038,1.133182666
2025-12-13,0.0,1.133182666
2025-12-14,0.0,1.133182666
2025-12-15,0.0025359789,1.1360563933
2025-12-16,0.0,1.1360563933
2025-12-17,0.0001624466,1.1362409418
2025-12-18,0.0049392108,1.1418530753
2025-12-19,0.0,1.1418530753
2025-12-20,0.0,1.1418530753
2025-12-21,0.0,1.1418530753
2025-12-22,-0.0011474931,1.1405428068
2025-12-23,0.0024902895,1.1433830886
2025-12-24,0.0035560027,1.1474489619
2025-12-25,-0.0015179319,1.1457072125
2025-12-26,0.0,1.1457072125
2025-12-27,0.0,1.1457072125
2025-12-28,0.0,1.1457072125
2025-12-29,-8.48693e-05,1.1456099772
2025-12-30,0.0066604272,1.153240229
2025-12-31,0.005324961,1.1593811883
2026-01-01,0.0005423225,1.1600099468
2026-01-02,0.0,1.1600099468
2026-01-03,0.0012743736,1.1614882328
2026-01-04,-0.0023290551,1.1587830627
