date,daily_return,equity_twr
2025-07-11,0.0409846841,1.0409846841
2025-07-12,0.0030929612,1.0442044093
2025-07-13,-0.0174812476,1.0259504135
2025-07-14,-0.0170480642,1.008459945
2025-07-15,0.0345628436,1.0433151884
2025-07-16,-0.0928178379,0.9464769283
2025-07-17,-0.056478607,0.8930212299
2025-07-29,0.2292739677,1.0977677505
2025-07-30,0.0242150762,1.1243502802
2025-07-31,0.0258175166,1.1533782122
2025-08-01,0.0252232262,1.1824701318
2025-08-02,0.012670998,1.1974532084
2025-08-03,-0.0109765359,1.1843093203
2025-08-04,-0.0311087761,1.1474669068
2025-08-05,0.0406568603,1.1941193085
2025-08-06,-0.017913738,1.1727281681
2025-08-07,-0.0279459832,1.1399551264
2025-08-08,-0.0157325617,1.1220207121
2025-08-09,-0.0238185374,1.0952958198
2025-08-10,0.0135287922,1.1101138493
2025-08-11,0.0682513744,1.1858806453
2025-08-12,-0.0486154503,1.1282285237
2025-08-13,-0.0387953042,1.0844585549
2025-08-14,0.0001487753,1.0846198956
2025-08-18,0.0741764754,1.1650731766
2025-08-19,0.0309949064,1.2011845106
2025-08-20,-0.0267923788,1.1690019202
2025-08-21,0.0202523189,1.1926769199
2025-08-22,-0.0542574395,1.1279653241
2025-08-23,0.0097846718,1.1390020946
2025-08-24,0.0096241371,1.1499640069
2025-08-25,0.0727824752,1.2336612337
2025-08-26,-0.0292508965,1.1975755366
2025-08-27,-0.0041596125,1.1925940865
2025-08-28,0.0022863111,1.1953207276
2025-08-29,0.0396635612,1.2427314044
2025-08-30,-0.0092311558,1.2312595572
2025-08-31,-0.0122204115,1.2162130587
2025-09-01,0.0204022165,1.2410265009
2025-09-02,-0.0389753327,1.1926570801
2025-09-03,-0.003988188,1.1879005394
2025-09-04,0.0120911519,1.2022636253
2025-09-05,-0.0042891771,1.1971069037
2025-09-06,0.0222791131,1.2237773838
2025-09-07,-0.0152864514,1.2050701703
2025-09-08,-0.0352450184,1.16259745
2025-09-09,0.0017018362,1.1645760004
2025-09-10,-0.0152886959,1.1467711521
2025-09-11,-0.0030258302,1.1433012173
2025-09-12,-0.0312486677,1.1075745775
2025-09-13,-0.0130013327,1.0931746319
2025-09-14,0.0162631789,1.1109531265
2025-09-15,0.0282003271,1.1422823681
2025-09-16,-0.0193116138,1.1202230521
2025-09-17,-0.0141748115,1.1043441015
2025-09-18,-0.0110817658,1.0921060188
2025-09-19,0.043890114,1.1400386765
2025-09-20,0.0151461643,1.1573058896
2025-09-21,0.0204045778,1.1809202277
2025-09-22,0.0575135602,1.2488391543
2025-09-23,0.0092906666,1.2604417025
2025-09-24,0.0045713308,1.2662035985
2025-09-25,0.03467809,1.3101131208
2025-09-26,-0.012207452,1.2941199778
2025-09-27,-0.0026357629,1.2907089843
2025-09-28,-0.0082851387,1.2800152814
2025-09-29,-0.0078133018,1.2700141357
2025-09-30,0.0079822387,1.2801516917
2025-10-01,-0.0185445183,1.2564118952
2025-10-02,-0.0309425266,1.2175353367
2025-10-03,0.0011827386,1.2189753627
2025-10-04,0.0182045763,1.2411662927
2025-10-05,-0.0030740034,1.2373509433
2025-10-06,-0.0284460766,1.2021531636
2025-10-07,0.0433041316,1.2542113624
2025-10-08,-0.013667587,1.2370693195
2025-10-09,0.0247783744,1.2677218863
2025-10-10,0.16783534,1.4804904201
2025-10-11,0.0119742217,1.4982181406
2025-10-12,-0.0165250985,1.4734599382
2025-10-13,-0.0067911129,1.4634535054
2025-10-14,0.0041351638,1.4695051254
2025-10-15,0.007009738,1.4798059713
2025-10-16,0.0062385723,1.4890378479
2025-10-17,-0.0001868438,1.4887596304
2025-10-18,-0.0015408453,1.4864656821
2025-10-19,-0.0006791817,1.4854561018
2025-10-20,5.40506e-05,1.4855363916
2025-10-21,-0.0006959847,1.484502481
2025-10-22,0.0087489589,1.4974903322
2025-10-23,-0.007886338,1.4856806173
2025-10-24,-0.0032147939,1.4809044603
2025-10-25,0.0008897073,1.4822220318
2025-11-01,-0.0023621472,1.4787208052
2025-11-02,0.001472509,1.4808982349
2025-11-03,0.0160903833,1.5047264551
2025-11-04,-0.0179887729,1.4776582726
2025-11-05,-0.0410019418,1.4170714141
2025-11-06,0.0292924999,1.4585809784
2025-11-07,-0.0271942591,1.4189159493
2025-11-08,0.0138473115,1.4385641205
2025-11-09,-0.0373948487,1.3847692329
2025-11-10,-0.0137877261,1.365676414
2025-11-11,0.0465001989,1.4291806388
2025-11-12,0.0085330945,1.4413759723
2025-11-13,0.0387195583,1.4971854133
2025-11-14,0.0242801775,1.5335373409
2025-11-15,-0.0029197725,1.5290597607
2025-11-16,0.021766207,1.562341592
2025-11-17,0.0121439938,1.5813146586
2025-11-18,-0.0161351874,1.5557998502
2025-11-19,0.031500874,1.6048089053
2025-11-20,0.011240758,1.6228481738
2025-11-21,0.011537616,1.6415719729
2025-11-22,-0.0014242836,1.6392339088
2025-11-23,0.0013171088,1.6413929582
2025-11-24,0.0089068311,1.6560125681
2025-11-25,0.0027566595,1.6605776309
2025-11-26,0.0072472977,1.6726123313
2025-11-27,-0.0030104309,1.6675770475
2025-11-28,0.0005063816,1.6684214778
2025-11-29,-0.0025558182,1.6641572958
2025-11-30,0.0002636662,1.6645960779
2025-12-01,-0.002949386,1.6596865415
