date,daily_return,equity_twr
2025-07-11,0.008577367,1.008577367
2025-07-12,1.0,2.017154734
2025-07-13,-0.0299927731,1.9566546698
2025-07-14,-0.0048072267,1.9472485872
2025-07-15,-0.0106654364,1.9264803312
2025-07-16,-0.0358433985,1.857428729
2025-07-17,-0.0104793208,1.8379641375
2025-07-18,0.0282863086,1.8899533583
2025-07-19,-9.37249e-05,1.8897762226
2025-07-20,-0.0343133098,1.8249317456
2025-07-21,-0.0087656638,1.8089350075
2025-07-22,0.0146426051,1.8354225284
2025-07-23,0.0866968333,1.9945478494
2025-07-24,0.0132169306,2.0209096499
2025-07-25,-0.0093114909,2.0020919681
2025-07-26,-0.0104269434,1.9812162685
2025-07-27,-0.0222576763,1.9371189981
2025-07-28,0.0730250873,2.078577282
2025-07-29,-0.0033948292,2.0715208672
2025-07-30,0.0286026733,2.1307719018
2025-07-31,0.0221661546,2.1780029212
2025-08-01,0.0055860081,2.1901692631
2025-08-02,0.0255532679,2.2461352451
2025-08-03,-0.0157692436,2.2107153912
2025-08-04,-0.0172569756,2.1725651297
2025-08-05,0.0214786742,2.2192289483
2025-08-06,-0.0096409931,2.1978333773
2025-08-07,-0.010796101,2.1741053462
2025-08-08,-0.0115480297,2.1489987131
2025-08-09,-0.0126069536,2.121906386
2025-08-10,-0.0001740007,2.1215371728
2025-08-11,0.0373876652,2.2008564943
2025-08-12,-0.0434695678,2.1051862137
2025-08-13,-0.0158497613,2.0718195147
2025-08-14,0.044702209,2.1644344237
2025-08-15,0.0086083258,2.1830665804
2025-08-16,-0.0050466556,2.1720493952
2025-08-17,-0.0164406435,2.1363395054
2025-08-18,0.0202791831,2.1796627254
2025-08-19,0.0366427733,2.2595316126
2025-08-20,-0.0172213191,2.2206194976
2025-08-21,0.0188249616,2.2624225744
2025-08-22,-0.047725282,2.154447819
2025-08-23,0.0348205335,2.2294668415
2025-08-24,0.0171783989,2.2677655122
2025-08-25,0.0505063699,2.382302116
2025-08-26,-0.0248609875,2.3230757329
2025-08-27,0.0075173877,2.3405391939
2025-08-28,-0.0118380401,2.312831797
2025-08-29,0.0225479874,2.3649814992
2025-08-30,0.0023974254,2.370651366
2025-08-31,0.027194373,2.4351197435
2025-09-01,-0.0640190232,2.2792257561
2025-09-02,0.0047819192,2.2901248295
2025-09-03,-0.0254621767,2.2318132664
2025-09-04,-0.0447300649,2.1319841142
2025-09-05,-0.0127901475,2.1047157229
2025-09-06,0.0570920947,2.2248783523
2025-09-07,0.0280442882,2.287273482
