date,daily_return,equity_twr
2025-07-11,-0.0016886268,0.9983113732
2025-07-12,0.0073291701,1.0056281671
2025-07-13,-0.0249800805,0.9805074945
2025-07-14,-0.0579208539,0.9237156632
2025-07-15,0.0150897178,0.9376542718
2025-07-16,0.0037450053,0.9411657921
2025-07-17,0.0350401956,0.9741444255
2025-07-18,0.0678163275,1.0402073229
2025-07-19,0.0060423114,1.0464925795
2025-07-20,0.0096864241,1.0566293504
2025-07-21,-0.0053024963,1.0510265772
2025-07-22,-0.057657445,0.9904270701
2025-07-23,0.0404193482,1.0304594867
2025-07-24,0.0056104269,1.0362408044
2025-07-25,0.0299020503,1.067226529
2025-07-26,-0.0137821045,1.0525179015
2025-07-27,-0.0423469246,1.0079470053
2025-07-28,0.0432629756,1.0515537919
2025-07-29,0.0127358534,1.0649462269
2025-07-30,0.009933528,1.0755249
2025-07-31,0.0316897523,1.1096080177
2025-08-01,0.0741590313,1.1918954734
2025-08-02,-0.0006249325,1.1911506192
2025-08-07,-0.0908822048,1.0828962247
2025-08-08,0.0101252939,1.0938608672
2025-08-09,0.0067486517,1.1012429532
2025-08-10,-0.0549860276,1.0406899778
2025-08-11,0.0079196335,1.048931861
2025-08-12,-0.0294698365,1.0180200106
2025-08-13,-0.0796973183,0.9368865458
2025-08-14,0.1382624859,1.0664228086
2025-08-15,0.0217244835,1.0895902933
2025-08-16,0.0029447918,1.0927989099
2025-08-17,-0.13355599,0.9468490696
2025-08-18,0.028604281,0.9739330064
2025-08-19,0.095796602,1.067232479
2025-08-20,-0.0256753547,1.0398309066
2025-08-21,0.0253480895,1.0661886335
2025-08-28,0.0295796699,1.0977261413
2025-08-29,0.1045123503,1.2124520803
2025-08-30,-0.0035965611,1.2080914223
2025-08-31,-0.0110862011,1.1946982779
2025-09-01,0.0234919763,1.2227641015
2025-09-02,-0.0686770634,1.1387882538
2025-09-03,-0.0167821703,1.1196769154
2025-09-04,0.0277562447,1.1507549418
2025-09-05,0.0005411349,1.1513776555
2025-09-06,0.0188008347,1.1730245164
2025-09-07,-0.024685722,1.1440675593
2025-09-08,-0.0313793311,1.1081674846
2025-09-09,0.0169898504,1.1269950844
2025-09-10,-0.05407855,1.0660488243
