date,daily_return,equity_twr
2025-07-11,0.0058931833,1.0058931833
2025-07-12,0.0231932846,1.0292231502
2025-07-13,0.0034435271,1.032767308
2025-07-14,-0.020844317,1.0112399788
2025-07-15,-0.0054886628,1.0056896236
2025-07-16,0.0450518186,1.0509977701
2025-07-17,-0.0126532044,1.0376992805
2025-07-18,-0.0140256383,1.0231448857
2025-07-19,0.0086150768,1.0319593575
2025-07-20,0.0408531178,1.0741181146
2025-07-21,0.017098193,1.0924835935
2025-07-22,0.00570369,1.0987147812
2025-07-23,-0.0571121811,1.0359647837
2025-07-24,0.008410126,1.044677378
2025-07-25,0.0245980557,1.0703744104
2025-07-26,0.014008173,1.0853684003
2025-07-27,0.0274622497,1.1151750583
2025-07-28,-0.0344248644,1.0767853081
2025-07-29,-0.0216686305,1.0534528452
2025-07-30,-0.0078660481,1.0451663344
2025-07-31,-0.0279204594,1.0159848102
2025-08-01,-0.0701110164,0.9447530825
2025-08-02,-0.0193407809,0.9264808201
2025-08-03,0.0163761213,0.9416529824
2025-08-04,0.0492201003,0.9880012367
2025-08-05,-0.0432047442,0.945314896
2025-08-06,0.0343930808,0.9778271876
2025-08-07,0.0466001023,1.0233940346
2025-08-08,0.0433418661,1.0677498418
2025-08-09,0.0768262653,1.1497810744
2025-08-10,-0.020345393,1.1263883266
2025-08-11,-0.0311262345,1.0913280994
2025-08-12,0.1388518391,1.242861013
2025-08-13,0.0523708009,1.3079506397
2025-08-14,-0.0706066272,1.2156006565
2025-08-15,0.0105904479,1.2284744119
2025-08-16,-0.0083524544,1.2182136354
2025-08-17,0.0144452684,1.2358110583
2025-08-18,-0.0431543392,1.1824804487
2025-08-19,-0.0552429551,1.1171567344
2025-08-20,0.0277439198,1.1481510412
2025-08-21,-0.0333399895,1.1098716976
2025-08-22,0.0962727118,1.2167220556
2025-08-23,-0.0117110306,1.2024729864
2025-08-24,0.0125363434,1.2175476007
2025-08-25,-0.1280374884,1.0616558639
2025-08-26,0.1558575337,1.2271229285
2025-08-27,-0.0365126877,1.1823173722
2025-08-28,0.0030098345,1.1858759519
2025-08-29,-0.0322300218,1.1476551441
2025-08-30,-0.0074074679,1.1391539254
2025-08-31,0.015758344,1.1571051049
2025-09-01,-0.0307345806,1.1215419647
2025-09-02,0.0324019074,1.1578820636
2025-09-03,0.0091682545,1.1684978211
2025-09-04,-0.0165099358,1.1492059971
2025-09-05,0.0131486804,1.1643165394
2025-09-06,-0.0182123524,1.1431115963
2025-09-07,0.0189124329,1.1647306177
2025-09-08,0.052224537,1.2255581349
2025-09-09,0.0297802784,1.2620555974
2025-09-10,0.0387758491,1.3109928748
2025-09-11,0.0110771187,1.3255148985
2025-09-12,0.033514067,1.3699382936
2025-09-13,-0.0039740194,1.3644941322
2025-09-14,-0.0045611388,1.3582704851
2025-09-15,-0.0146382005,1.3383878494
2025-09-16,0.0065194079,1.3471133457
2025-09-17,0.017177558,1.3702534633
2025-09-18,0.0095345309,1.3833181873
2025-09-19,-0.003202335,1.3788883391
2025-09-20,0.1013306224,1.5186119527
2025-09-21,-0.0145545244,1.496509278
2025-09-22,-0.0209772446,1.4651166368
2025-09-23,0.0204425302,1.4950673279
2025-09-24,0.0174862701,1.521210479
2025-09-25,-0.0108925519,1.5046406149
2025-09-26,0.0018336456,1.5073995926
2025-09-27,0.0126002884,1.5263932622
2025-09-28,-0.001708212,1.5237858589
2025-09-29,-0.0065044254,1.5138745074
2025-09-30,-0.0080715767,1.5016551532
2025-10-01,-0.0015855172,1.4992742532
2025-10-02,0.006040397,1.5083304649
2025-10-03,0.0006710106,1.5093425706
2025-10-04,-0.0083578748,1.4967276744
2025-10-05,0.0023966134,1.500314752
2025-10-06,0.0226046631,1.5342288615
2025-10-07,-0.0357729479,1.4793449723
2025-10-08,-0.0046347079,1.4724886405
2025-10-09,-0.0066690871,1.4626684855
2025-10-10,-0.0024550595,1.4590775474
2025-10-11,0.0,1.4590775474
2025-10-12,0.0,1.4590775474
2025-10-13,-2.92015e-05,1.4590349401
2025-10-14,0.0,1.4590349401
2025-10-15,0.0,1.4590349401
2025-10-16,0.0,1.4590349401
2025-10-17,0.0,1.4590349401
2025-10-18,0.0,1.4590349401
2025-10-19,0.0,1.4590349401
2025-10-20,0.0017413512,1.4615756323
2025-10-21,-0.0031302421,1.4570005468
2025-10-22,-0.0103741776,1.4418853643
2025-10-23,0.0013180353,1.4437858201
2025-10-24,0.0019777915,1.4466413275
2025-10-25,0.0007320802,1.4477003849
2025-10-26,0.0054927279,1.4556522092
2025-10-27,-0.0009637351,1.4542493461
2025-10-28,-0.0115233903,1.4374914633
2025-10-29,-0.0001443127,1.437284015
2025-10-30,-0.0288644163,1.3957976509
2025-10-31,0.0041982565,1.4016575674
2025-11-01,0.0020578373,1.4045419507
2025-11-02,-0.0014546347,1.4024988552
2025-11-03,-0.0086997181,1.3902975105
2025-11-04,-0.0080607375,1.3790906872
2025-11-05,0.0123081045,1.3960646795
2025-11-06,-0.0150773425,1.3750157342
2025-11-07,0.0163869227,1.3975480108
2025-11-08,-0.0095984541,1.3841337103
2025-11-09,0.0061688669,1.392672247
2025-11-10,4.13008e-05,1.3927297654
2025-11-11,-0.0123531397,1.3755251801
2025-11-12,-0.0013341124,1.3736900749
2025-11-13,-0.0004266782,1.3731039513
2025-11-14,-1.82884e-05,1.3730788394
2025-11-15,0.0006559545,1.3739795166
2025-11-16,-0.0010522649,1.3725337262
2025-11-17,0.0009570708,1.3738473382
2025-11-18,0.0010568787,1.3752993282
2025-11-19,-0.0014053075,1.3733666097
2025-11-20,-0.0007142224,1.3723857205
2025-11-21,-0.0108843061,1.3574482542
2025-11-22,-0.010643214,1.343000642
2025-11-23,0.009128001,1.3552595532
2025-11-24,0.0106088161,1.3696372525
2025-11-25,-0.0004859337,1.3689716996
2025-11-26,0.0189901902,1.3949687326
2025-11-27,-0.0074457767,1.3845821069
2025-11-28,0.0057330672,1.3925200092
2025-11-29,-0.0105352182,1.377849507
2025-11-30,-0.0032432425,1.3733808069
2025-12-01,-0.0381917295,1.3209290187
2025-12-02,0.0413360964,1.3755310679
2025-12-03,0.0262498711,1.4116385811
2025-12-04,-0.0137304844,1.3922560996
2025-12-05,-0.0301846667,1.3502313133
2025-12-06,0.0029304752,1.3541881327
2025-12-07,-0.0034986932,1.3494502439
2025-12-08,0.012349054,1.3661146778
2025-12-09,0.0284204627,1.404940289
