date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-14,0.0,1.0
2025-07-15,-0.0117047968,0.9882952032
2025-07-16,0.1835577342,1.1697044314
2025-07-17,-0.0024140807,1.1668806705
2025-07-18,0.0076169755,1.175768772
2025-07-19,-0.0072303429,1.1672675606
2025-07-20,-0.0398288461,1.1207766406
2025-07-21,-0.0034178505,1.1169459936
2025-07-22,0.0072271185,1.1250182946
2025-07-23,0.0294940949,1.158199691
2025-07-24,0.0311360978,1.1942615098
2025-07-25,0.0,1.1942615098
2025-07-26,0.0,1.1942615098
2025-07-27,0.0,1.1942615098
2025-07-28,0.0,1.1942615098
2025-07-29,0.0023584747,1.1970781454
2025-07-30,-0.0007452228,1.1961860555
2025-07-31,-0.0460764902,1.1410700004
2025-08-01,-0.0847371175,1.0443790177
2025-08-02,-0.0613401577,0.9803166441
2025-08-03,0.0452141963,1.0246408732
2025-08-04,0.1343527193,1.1623041609
2025-08-05,-0.0829006651,1.0659483729
2025-08-06,0.0532412801,1.1227008288
2025-08-07,0.0943361965,1.2286121548
2025-08-08,0.0313105199,1.2670806401
2025-08-09,-0.00354502,1.2625888139
2025-08-10,-0.0148595758,1.2438272797
2025-08-11,-0.0269765729,1.2102730824
2025-08-12,0.0228248947,1.2378974381
2025-08-13,-0.0131146213,1.221662882
2025-08-14,0.0645244181,1.3004899685
2025-08-15,3.04903e-05,1.3005296209
2025-08-16,0.0002938229,1.3009117462
2025-08-17,0.0001584532,1.3011178799
2025-08-18,-0.0006895489,1.3002206955
2025-08-19,-0.0157460902,1.2797473031
2025-08-20,0.0221090097,1.3080412487
2025-08-21,-0.032739607,1.2652164922
2025-08-22,0.0813665412,1.3681627821
2025-08-23,0.0108664997,1.3830299225
2025-08-24,-0.014598112,1.3628402968
2025-08-25,-0.0987009868,1.2283266147
2025-08-26,0.0484788438,1.2878744688
2025-08-27,-0.0365072056,1.2408577708
2025-08-28,0.0132848856,1.2573424243
2025-08-29,-0.0436118024,1.2025074549
2025-08-30,0.0009726673,1.2036770946
2025-08-31,0.0260610686,1.2350462059
2025-09-01,-0.0432191729,1.1816685304
2025-09-02,0.0290876587,1.2160405013
2025-09-03,0.0327330731,1.255845244
2025-09-04,-0.0432178466,1.2015703169
2025-09-05,0.0029698606,1.2051388132
2025-09-06,-0.0068916764,1.1968333865
2025-09-07,0.0041361896,1.2017837163
2025-09-08,0.0191618625,1.2248121306
2025-09-09,0.0018176974,1.2270384684
2025-09-10,0.0149256038,1.2453527585
2025-09-11,0.0230223032,1.2740236473
2025-09-12,0.0575251713,1.3473120758
2025-09-13,-0.002208511,1.3443365223
2025-09-14,-0.0253374441,1.3102744708
2025-09-15,-0.0307872811,1.2699346823
2025-09-16,-0.0147717492,1.2511755257
2025-09-17,0.0261547353,1.2838996904
2025-09-18,-0.0004289631,1.2833489448
2025-09-19,-0.0226677581,1.2542583014
2025-09-20,0.0027161677,1.2576650773
2025-09-21,-0.0098338075,1.245297441
2025-09-22,-0.0676387331,1.1610670997
2025-09-23,-0.0092577321,1.1503182516
2025-09-24,0.0092045731,1.16090644
2025-09-25,-0.0938528133,1.0519521046
2025-09-26,0.0263309718,1.0796510258
2025-09-27,0.0004857737,1.0801754919
2025-09-28,0.035450739,1.1184685114
2025-09-29,0.0437842258,1.1674397892
2025-09-30,-0.0085651121,1.1574405365
2025-10-01,-0.0140347506,1.1411961473
2025-10-02,0.0082575872,1.150619674
2025-10-03,-0.017240036,1.1307829494
2025-10-04,-0.0196049211,1.1086140389
2025-10-05,-0.0065023447,1.1014054483
2025-10-06,0.02677241,1.1308927265
2025-10-07,-0.0209131875,1.1072421549
2025-10-08,-0.0035237554,1.1033405043
2025-10-09,-0.0163052101,1.0853503056
2025-10-10,-0.0361241403,1.0461429589
2025-10-11,-0.0130114219,1.0325311515
2025-10-12,0.1188373163,1.1552343825
2025-10-13,0.0303068783,1.1902459304
2025-10-14,-0.0032921694,1.1863274391
2025-10-15,-0.0381117526,1.1411144213
2025-10-16,-0.0602321343,1.0723826642
2025-10-17,-0.0231172593,1.0475921161
2025-10-18,0.0050504334,1.0528829103
2025-10-19,0.0569657176,1.1128611408
2025-10-20,0.0191394812,1.1341607257
2025-10-21,0.0347843401,1.1736117581
2025-10-22,-0.0416277881,1.1247568965
2025-10-23,-0.036734274,1.0834397685
2025-10-24,-0.0086993513,1.0740145454
2025-10-25,-0.0069873236,1.0665100582
2025-10-26,-0.0400866873,1.023757203
2025-10-27,0.0087795611,1.0327453419
2025-10-28,0.0082568501,1.0412725654
2025-10-29,0.0254942574,1.0678190362
2025-10-30,0.0544458383,1.1259573388
2025-10-31,-0.0240126381,1.0989201327
2025-11-01,-0.0071677204,1.0910433804
2025-11-02,0.000883092,1.0920068721
2025-11-03,0.0291292442,1.1238162069
2025-11-04,0.0630926933,1.1947207982
2025-11-05,0.0049025881,1.2005780222
2025-11-06,-0.0162780347,1.1810349715
2025-11-07,0.0365515964,1.2242036851
2025-11-08,-0.0367759665,1.1791824114
2025-11-09,0.0548256075,1.2438318034
2025-11-10,-0.0118925727,1.2290394433
2025-11-11,-0.0266533018,1.1962814841
2025-11-12,0.0171574877,1.2168066689
2025-11-13,-0.0845401115,1.1139376975
2025-11-14,-0.0319222677,1.0783782801
2025-11-15,0.01515566,1.0947218146
2025-11-16,-0.0228773962,1.06967743
2025-11-17,-0.065562868,0.9995463098
2025-11-18,0.1224592288,1.1219499801
2025-11-19,-0.0875492903,1.0237240556
2025-11-20,-0.1009384207,0.9203909662
2025-11-21,-0.1144571521,0.8150456373
2025-11-22,0.0306542005,0.8400302097
2025-11-23,0.0532279579,0.8847433024
2025-11-24,0.0714878091,0.9479916627
2025-11-25,-0.014148333,0.9345791609
2025-11-26,0.0673347068,0.9975087747
2025-11-27,-0.0055218022,0.9920007286
2025-11-28,-0.0099823236,0.9820982563
2025-11-29,-0.02632931,0.9562402869
2025-11-30,-0.0060196816,0.9504840248
2025-12-01,-0.1444425157,0.8131937211
2025-12-02,0.174280673,0.9549176701
2025-12-03,0.0906468046,1.0414779056
2025-12-04,-0.0419730699,0.9977638806
2025-12-05,-0.0922186493,0.9057514433
2025-12-06,0.0048391922,0.9101345486
2025-12-07,-0.0032225382,0.9072016052
2025-12-08,0.046828854,0.9496848167
2025-12-09,0.0883405119,1.0335804596
2025-12-10,-0.008233601,1.0250703705
2025-12-11,-0.0350686841,0.9891225015
2025-12-12,-0.0675000655,0.9223566679
2025-12-13,-0.0051773407,0.9175813131
2025-12-14,-0.0480554126,0.8734865645
2025-12-15,-0.0889853618,0.7957590466
2025-12-16,0.0395567428,0.8272366825
2025-12-17,-0.0803738401,0.7607484937
2025-12-18,-0.0324748885,0.7360432711
2025-12-19,0.1172697005,0.8223588451
2025-12-20,0.004300132,0.8258950967
2025-12-21,-0.0070626716,0.8200620709
2025-12-22,0.0061456915,0.8251019194
2025-12-23,-0.0198144289,0.808752996
2025-12-24,-0.011069818,0.7998002476
2025-12-25,0.0041071372,0.8030851369
2025-12-26,-0.0123080752,0.7932007047
2025-12-27,0.0195431769,0.8087023663
2025-12-28,-0.0086939441,0.8016715532
2025-12-29,-0.0096086488,0.7939685728
2025-12-30,0.0128097378,0.804139102
2025-12-31,-0.001094584,0.8032589042
2026-01-01,0.0229220795,0.8216712687
2026-01-02,0.084871057,0.8914073778
2026-01-03,0.0030847312,0.8941571299
2026-01-04,0.0324706039,0.9231909519
