date,daily_return,equity_twr
2025-07-11,0.0111065078,1.0111065078
2025-07-12,0.0084415538,1.0196418178
2025-07-13,-0.0084525262,1.0110232686
2025-07-14,0.0121353415,1.0232923812
2025-07-15,0.0424526744,1.0667338795
2025-07-16,-0.0707247717,0.9912893694
2025-07-17,0.0038198761,0.995075972
2025-07-18,-0.0106169051,0.9845113448
2025-07-19,0.0062508009,0.9906653292
2025-07-20,-0.0145040168,0.9762967026
2025-07-21,-0.0112536087,0.9653098416
2025-07-22,0.0115959792,0.9765035544
2025-07-23,0.0683228901,1.0432210995
2025-07-24,0.0038585137,1.0472463824
2025-07-25,-0.0014031767,1.0457769106
2025-07-26,-0.0109240076,1.0343528357
2025-07-27,-0.0143660084,1.0194933142
2025-07-28,0.0242595136,1.0442257261
2025-07-29,0.0054801432,1.0499482326
2025-07-30,0.0040463835,1.0541967258
2025-07-31,0.003320111,1.057696776
2025-08-01,0.013723727,1.0722123178
2025-08-02,-0.0014957893,1.0706085141
2025-08-03,0.0064257724,1.0774880007
2025-08-04,0.0075980076,1.0856747627
2025-08-05,0.004409051,1.0904615581
2025-08-06,0.0043624113,1.0952185999
2025-08-07,-0.0114954915,1.0826285238
2025-08-08,-0.0080892114,1.0738709128
2025-08-09,-0.0159079455,1.0567878329
2025-08-10,-0.0096069894,1.0466352834
2025-08-11,-0.0050056831,1.0413961588
2025-08-12,-0.0441921186,0.9953746563
2025-08-13,-0.0252495391,0.970241905
2025-08-14,0.1074229233,1.0744681267
2025-08-15,-0.0032641204,1.0709609334
2025-08-16,0.0004175933,1.0714081595
2025-08-17,-0.0003093063,1.0710767662
2025-08-18,0.0263980586,1.0993511134
2025-08-19,-0.0073314581,1.0912912668
2025-08-20,0.0080661626,1.1000937996
2025-08-21,0.0109887568,1.1121824628
2025-08-22,-0.0899043197,1.0121924551
2025-08-23,0.0136918473,1.0260512397
2025-08-24,0.0777847082,1.1058623359
2025-08-25,0.0214687256,1.129603791
2025-08-26,-0.0027613047,1.1264846107
2025-08-27,0.0136479324,1.1418587965
2025-08-28,0.0027879182,1.1450422055
2025-08-29,0.0101621428,1.1566782879
2025-08-30,0.0013178109,1.1582025711
2025-08-31,0.0007695976,1.159093921
2025-09-01,-0.0006361484,1.1583565653
2025-09-02,0.009992082,1.1699309591
2025-09-03,0.0019549367,1.1722181
