date,daily_return,equity_twr
2025-11-23,0.0132121007,1.0132121007
2025-11-24,0.0156103046,1.0290286502
2025-11-25,0.0051692825,1.03434799
2025-11-26,0.0127463025,1.0475321024
2025-11-27,-0.0016791381,1.0457731513
2025-11-28,-0.0001826092,1.0455821835
2025-11-29,-0.0072938782,1.0379558344
2025-11-30,0.0034380574,1.0415243862
2025-12-01,0.0132548904,1.0553296777
2025-12-02,-0.0032826044,1.0518654479
2025-12-03,0.0749134762,1.1306643451
2025-12-04,0.0130811752,1.1454547635
2025-12-05,0.0138704985,1.1613427921
2025-12-06,0.0,1.1613427921
2025-12-07,0.0,1.1613427921
2025-12-08,0.0022158227,1.1639161218
2025-12-09,-0.0221414577,1.1381453222
2025-12-10,0.0,1.1381453222
2025-12-11,0.0,1.1381453222
2025-12-12,0.0006431771,1.1388773512
2025-12-13,0.0168979504,1.1581220442
2025-12-14,-0.0007794567,1.1572193382
2025-12-15,0.0,1.1572193382
2025-12-16,0.0,1.1572193382
2025-12-17,-0.0161136206,1.1385723449
2025-12-18,0.0,1.1385723449
2025-12-19,0.0,1.1385723449
2025-12-20,-0.000917407,1.1375278106
2025-12-21,0.0058994197,1.1442385646
2025-12-22,0.0030922852,1.1477768766
2025-12-23,0.0102585976,1.1595514577
2025-12-24,-0.0162841265,1.1406691751
2025-12-25,0.0044516564,1.1457470423
2025-12-26,-0.0045364178,1.140549455
2025-12-27,-0.0137485556,1.1248685474
2025-12-28,0.0,1.1248685474
2025-12-29,0.0,1.1248685474
2025-12-30,0.0,1.1248685474
2025-12-31,0.0,1.1248685474
2026-01-01,0.0,1.1248685474
2026-01-02,0.0,1.1248685474
2026-01-03,0.0,1.1248685474
2026-01-04,0.0,1.1248685474
