date,daily_return,equity_twr
2025-07-11,-0.005130735,0.994869265
2025-07-12,0.0200101578,1.014776756
2025-07-13,-0.0139615545,1.000608895
2025-07-14,0.006248239,1.0068609385
2025-07-15,7.93271e-05,1.0069408099
2025-07-16,-0.0083219828,0.9985610658
2025-07-17,0.0086432124,1.0071918412
2025-07-18,0.0757718155,1.0835085955
2025-07-19,-0.0097090457,1.0729887611
2025-07-20,0.0250050669,1.0998189168
2025-07-21,-0.0002803995,1.0995105281
2025-07-22,0.0436242294,1.1474758276
2025-07-23,0.054628212,1.2101603804
2025-07-24,0.0627509958,1.2860991494
2025-07-25,-0.0350518806,1.2410189555
2025-07-26,-0.0108119397,1.2276011334
2025-07-27,0.006091562,1.2350791418
2025-07-28,0.0403781247,1.2849493215
2025-07-29,0.0635455632,1.3666021498
2025-07-30,-0.0019284521,1.363966723
2025-07-31,-0.0049993741,1.3571477431
2025-08-01,-0.0034800402,1.3524248144
2025-08-02,-0.0181788013,1.3278393524
2025-08-03,-0.0037344651,1.3228805827
2025-08-04,0.0634927321,1.4068738851
2025-08-05,0.0157449209,1.4290250031
2025-08-06,0.0097870722,1.443010974
2025-08-07,-0.0045001682,1.4365171819
2025-08-08,0.0260491765,1.4739372715
2025-08-09,-0.0254636336,1.4364054729
2025-08-10,-0.0157347548,1.413803985
2025-08-11,-0.0338353405,1.3659674458
2025-08-12,0.0464097574,1.4293616635
2025-08-13,0.0135225019,1.4486902094
2025-08-14,0.114944095,1.6152085944
2025-08-15,-0.0172825377,1.587293691
2025-08-16,0.0033628353,1.5926314982
2025-08-17,0.0074418024,1.6044835471
2025-08-18,-0.0171907086,1.576901338
2025-08-19,-0.0273963163,1.5337000502
2025-08-20,0.0204324826,1.5650373498
2025-08-21,-0.0100651851,1.5492849592
2025-08-22,-0.0416698226,1.4847265298
2025-08-23,0.0095797098,1.4989497791
2025-08-24,0.0044535172,1.5056253777
2025-08-25,-0.0239418143,1.4695779745
2025-08-26,0.0168498109,1.4943400855
2025-08-27,-0.0006467244,1.4933736593
2025-08-28,0.0089688367,1.5067674837
2025-08-29,0.0071813842,1.5175881599
2025-08-30,0.0075052533,1.5289780435
2025-08-31,0.0215186296,1.5618795557
2025-09-01,-0.0155429018,1.5376034151
2025-09-02,-0.0136043925,1.5166852547
2025-09-03,0.0111727003,1.5336307246
2025-09-04,0.0010207333,1.5351961525
2025-09-05,0.0112659996,1.5524916717
2025-09-06,0.0142735557,1.5746512481
2025-09-07,-0.0135502289,1.5533143632
2025-09-08,-0.0402797249,1.490747288
2025-09-09,0.0082845045,1.5030973906
2025-09-10,-0.0306725611,1.4569935441
2025-09-11,-0.006063754,1.4481586936
2025-09-12,4.69132e-05,1.4482266314
2025-09-13,-0.0173150458,1.4231505209
2025-09-14,-0.0041188946,1.417288714
2025-09-15,0.0045634624,1.4237564577
2025-09-16,0.0210359619,1.4537065443
2025-09-17,0.0067314769,1.4634921363
2025-09-18,-0.0139293777,1.4431066016
2025-09-19,0.0212332074,1.4737483834
2025-09-20,0.0079239543,1.4854262982
2025-09-21,-0.0044039881,1.4788844985
2025-09-22,-0.0170685438,1.4536420936
2025-09-23,-0.0166150043,1.429489824
2025-09-24,-0.0172281403,1.4048623728
2025-09-25,-0.0498782088,1.334790354
2025-09-26,0.0023119509,1.3378763237
2025-09-27,-0.0098813014,1.3246563646
2025-09-28,-0.0042087391,1.3190812315
2025-09-29,-0.0998477444,1.1873739459
2025-09-30,0.037073139,1.2313936252
2025-10-01,-0.0078047721,1.2217828786
2025-10-02,-0.0137079842,1.2050346982
2025-10-03,0.0033294752,1.2090468314
2025-10-04,0.0099145581,1.2210339964
2025-10-05,-0.0137232474,1.2042774448
2025-10-06,-0.038916713,1.1574109251
2025-10-07,0.0332689582,1.1959167808
2025-10-08,-0.0006366148,1.1951554425
2025-10-09,0.0011005356,1.1964707536
2025-10-10,1.0,2.3929415072
2025-10-11,0.03567101,2.4783001476
2025-10-12,0.0110893853,2.5057829728
2025-10-13,0.0255666025,2.56984733
2025-10-14,-0.0092810546,2.5459964366
2025-10-15,-0.002575877,2.539438263
2025-10-16,-0.024394075,2.4774910155
2025-10-17,-0.0437536619,2.3690917113
2025-10-18,0.0076373049,2.387185187
2025-10-19,0.0092634583,2.4092987774
2025-10-20,-0.012690715,2.3787230533
2025-10-21,0.0032750984,2.3865136054
2025-10-22,-0.031478815,2.3113889851
2025-10-23,-0.0284967957,2.2455218054
