date,daily_return,equity_twr
2025-07-11,-0.0096050593,0.9903949407
2025-07-12,-0.0017298606,0.9886816955
2025-07-13,-0.0116634484,0.9771502576
2025-07-14,0.0411226349,1.0173332509
2025-07-15,0.0308885998,1.0487572505
2025-07-16,-0.0599316434,0.985903505
2025-07-17,0.0103729137,0.9961301969
2025-07-18,0.0993466807,1.0950924255
2025-07-19,-0.0180308555,1.0753469723
2025-07-20,-0.0259554996,1.0474358043
2025-07-21,-0.0657159793,0.9786025347
2025-07-22,-0.020283612,0.9587529406
2025-07-23,0.1123497386,1.0664685829
2025-07-24,0.01938888,1.0871462142
2025-07-25,-0.0602605618,1.0216341726
2025-07-26,-0.0434743217,0.9772193199
2025-07-27,-0.0312318782,0.9466989251
2025-07-28,0.1038437737,1.0450077141
2025-07-29,0.021360359,1.067329454
2025-07-30,0.0427435059,1.1129508568
2025-07-31,0.0210376078,1.1363646805
2025-08-01,-0.0056017737,1.1299990227
2025-08-02,0.0184778203,1.1508789416
2025-08-03,-0.0430413725,1.1013435323
2025-08-04,0.0209164797,1.124379762
2025-08-05,0.0636644255,1.1959627536
2025-08-06,-0.0100938683,1.183890863
2025-08-07,-0.0593565911,1.1136191372
2025-08-08,0.065803327,1.1868989814
2025-08-09,-0.037584804,1.1422896158
2025-08-10,0.0093146502,1.152929644
2025-08-11,0.0839128187,1.2496752202
2025-08-12,-0.0768885732,1.1535894756
2025-08-13,-0.0109943786,1.1409064761
2025-08-14,0.077200592,1.2289851315
2025-08-15,0.0582911666,1.3006241086
2025-08-16,0.0075074786,1.3103885162
2025-08-17,-0.0125740851,1.2939115795
2025-08-18,0.0437519018,1.3505226719
2025-08-19,0.0433936953,1.4091268412
2025-08-20,0.0013131459,1.4109772303
2025-08-21,0.0408087043,1.4685573829
2025-08-22,-0.1530562502,1.2437854967
2025-08-23,0.0301205216,1.2812489646
2025-08-24,-0.0179717506,1.2582226777
2025-08-25,0.087725538,1.3686009391
2025-08-26,-0.0883802138,1.2476436955
2025-08-27,0.0338612211,1.2898904345
2025-08-28,-0.0274182898,1.2545238447
2025-08-29,0.0941762338,1.3726701756
2025-08-30,-0.0328766333,1.3275414016
2025-08-31,-0.0136288287,1.3094485673
2025-09-01,0.0647112894,1.3941846725
2025-09-02,-0.0457597911,1.3303870731
2025-09-03,-0.0182297918,1.3061343937
2025-09-04,0.0061141351,1.3141202759
2025-09-05,-0.0159143317,1.2932069299
2025-09-06,0.0160066338,1.3139068197
2025-09-07,-0.0203726137,1.2871391036
2025-09-08,-0.0961295981,1.1634069389
2025-09-09,0.1789781689,1.3716313825
2025-09-10,-0.0572270346,1.2931369859
2025-09-11,-0.0262332761,1.2592137663
2025-09-12,0.0398544168,1.3093989966
2025-09-13,0.0361478279,1.3567309262
2025-09-14,0.0177144008,1.3807646016
2025-09-15,0.031877428,1.4247798258
2025-09-16,-0.0130602498,1.4061718453
2025-09-17,-0.0258716369,1.3697918779
2025-09-18,0.0103406779,1.3839564545
2025-09-19,0.0537329201,1.4583204761
2025-09-20,-0.0193212472,1.4301439057
2025-09-21,0.0786837709,1.5426730211
2025-09-22,0.0078094072,1.5547203829
2025-09-23,-0.0521592791,1.4736272885
2025-09-24,-0.1021158996,1.3231465123
2025-09-25,0.1515269485,1.5236388657
2025-09-26,-0.0351702352,1.4700521285
2025-09-27,-0.0206021716,1.4397658623
2025-09-28,0.0075780912,1.4506765393
2025-09-29,-0.0413392881,1.3907066039
2025-09-30,0.0514580614,1.4622696697
2025-10-01,-0.0405996451,1.40290204
2025-10-02,-0.0442460698,1.3408291385
