date,daily_return,equity_twr
2025-07-11,0.1282731229,1.1282731229
2025-07-12,0.1026177265,1.2440539456
2025-07-13,-0.0793245638,1.1453699091
2025-07-14,-0.0516263915,1.0862385937
2025-07-15,-0.0752391362,1.0045109402
2025-07-16,-0.0903796389,0.9137236042
2025-07-17,0.0666648409,0.9746368429
2025-07-18,-0.2549480638,0.7261550669
2025-07-19,-0.0155471566,0.7148654203
2025-07-20,0.0417496751,0.7447108194
2025-07-21,0.0211977061,0.7604969805
2025-07-22,-0.3430660446,0.4995962894
2025-07-23,0.0358072736,0.5174854705
2025-07-24,-0.0373293051,0.4981680975
2025-07-25,-0.0660095288,0.4652842561
2025-07-26,0.0,0.4652842561
2025-07-27,0.0,0.4652842561
2025-07-28,0.0,0.4652842561
2025-07-29,0.0,0.4652842561
2025-07-30,0.0,0.4652842561
2025-07-31,0.0,0.4652842561
2025-08-01,0.0,0.4652842561
2025-08-02,-0.0089041652,0.4611412882
2025-08-03,0.0053391235,0.4636033785
2025-08-04,0.012623615,0.469455729
2025-08-05,-0.0136376301,0.4630534655
2025-08-06,-0.0300215007,0.4491519055
2025-08-07,0.1049956479,0.4963109009
2025-08-08,0.1026666589,0.5472654828
2025-08-09,-0.0305938501,0.5305225247
2025-08-10,0.0727917646,0.5691401954
2025-08-11,0.0676979694,0.6076698309
2025-08-12,0.0161767966,0.6174999822
2025-08-13,-0.0389239835,0.5934644231
2025-08-14,0.168562087,0.6935000248
2025-08-15,0.1135621323,0.7722553664
2025-08-16,0.0456544998,0.8075122988
2025-08-17,0.0098568288,0.8154718093
2025-08-18,0.1001179381,0.8971151654
2025-08-19,0.105331825,0.991609943
2025-08-20,-0.0096771917,0.9820139435
2025-08-21,0.057770662,1.0387455391
2025-08-22,-0.0935568387,0.9415637903
2025-08-23,0.0430985051,0.9821437821
2025-08-24,0.1446213264,1.1241827186
2025-08-25,0.0535867769,1.1844240471
2025-08-26,-0.0608377359,1.1123663698
2025-08-27,0.0688138046,1.1889125318
2025-08-28,0.0350330092,1.2305637154
2025-08-29,0.0445136944,1.2853406526
2025-08-30,0.0103947089,1.2987013945
2025-08-31,0.0043748378,1.3043830025
2025-09-01,-0.0221027761,1.275552517
2025-09-02,0.0225078919,1.3042625152
2025-09-03,-0.0651783069,1.2192528927
2025-09-04,0.0472215329,1.2768278833
2025-09-05,-0.1138443738,1.1314682125
2025-09-06,-0.0295808116,1.0979984644
2025-09-07,0.0142254883,1.1136180287
2025-09-08,-0.060745302,1.0459709653
2025-09-09,-0.0201193589,1.0249267
2025-09-10,-0.005702056,1.0190825106
2025-09-11,0.0732449967,1.0937252057
2025-09-12,-0.0212256022,1.0705102296
2025-09-13,-0.0128409273,1.0567638855
2025-09-14,0.0487054032,1.1082339967
2025-09-15,0.0035346705,1.1121512387
2025-09-16,-0.0430565225,1.0642658739
2025-09-17,-0.1195172456,0.937067748
2025-09-18,-0.0202780201,0.9180658694
2025-09-19,-0.0375102795,0.883628962
2025-09-20,0.0229150813,0.9038773915
2025-09-21,-0.001071691,0.9029087143
2025-09-22,-0.129831851,0.7856824046
2025-09-23,-0.1398617601,0.6757954806
2025-09-24,-0.1248941205,0.5913925984
2025-09-25,-0.160366219,0.4965532035
2025-09-26,-0.0435692763,0.4749187398
2025-09-27,-0.0220619318,0.4644411149
2025-09-28,-0.0086062353,0.4604440254
2025-09-29,-0.0013113696,0.4598402131
2025-09-30,-0.0210339316,0.4501679655
2025-10-01,-0.057064045,0.4244795605
2025-10-02,-0.0159393888,0.4177136157
2025-10-03,-0.1244940797,0.3657107435
