date,daily_return,equity_twr
2025-08-12,0.0439072343,1.0439072343
2025-08-13,-0.0520663432,0.989554802
2025-08-14,0.331745745,1.317835397
2025-08-15,0.0690206804,1.4087932927
2025-08-16,-0.0180821456,1.3833192873
2025-08-17,-0.0507239869,1.3131518179
2025-08-18,0.0532560656,1.3830851172
2025-08-19,0.110926845,1.5365063857
2025-08-20,-0.0895658645,1.3988878629
2025-08-21,0.0659849379,1.4911933917
2025-08-22,-0.2079324122,1.1811259527
2025-08-23,0.0647955366,1.2576576426
2025-08-24,0.1214630182,1.4104165357
2025-08-25,0.3552175828,1.9114212883
2025-08-26,-0.1114815472,1.6983330857
2025-08-27,0.0731039403,1.8224879262
2025-08-28,-0.1065489602,1.6283037327
2025-08-29,0.2301240759,2.0030156245
2025-08-30,-0.0210632075,1.9608256907
2025-08-31,-0.0372403692,1.8878038181
2025-09-01,0.1894696357,2.2454853198
2025-09-02,-0.1807069306,1.8397105599
2025-09-03,-0.0913524463,1.6716484998
2025-09-04,0.1796868204,1.9720217035
2025-09-05,-0.0514274603,1.8706056357
2025-09-06,0.0424219037,1.9499602878
2025-09-07,-0.044447913,1.8632886226
2025-09-08,-0.0904564844,1.6947420844
2025-09-09,-0.0468090879,1.6154127532
2025-09-10,-0.0090843852,1.6007377215
2025-09-11,-0.0807245297,1.4715189217
2025-09-12,-0.1367873339,1.2702337716
2025-09-13,0.0290851643,1.3071787296
2025-09-14,0.1147892472,1.4572287919
2025-09-15,0.2346183668,1.7991214311
2025-09-16,-0.0391988452,1.7285979487
2025-09-17,-0.1001682457,1.5554473246
2025-09-18,-0.1038272169,1.3939495579
2025-09-19,0.2384344306,1.726315127
2025-09-20,0.007866301,1.7398948414
2025-09-21,0.0496208068,1.8262298272
2025-09-22,0.3621298713,2.4875621994
2025-09-23,0.012956959,2.5197934409
2025-09-24,-0.0294779838,2.4455150106
2025-09-25,0.3155008619,3.2170771043
2025-09-26,-0.0762084694,2.9719085822
2025-09-27,0.0165455415,3.021080419
2025-09-28,-0.1362667256,2.6094076825
2025-09-29,-0.0221418846,2.5516304788
2025-09-30,0.1146507849,2.8441769159
