date,daily_return,equity_twr
2025-09-13,-0.0017836819,0.9982163181
2025-09-14,0.0181428489,1.0163268059
2025-09-15,0.0209587323,1.0376277274
2025-09-16,0.0201807863,1.0585678708
2025-09-17,-0.0434459114,1.0125774249
2025-09-18,0.0003762871,1.0129584447
2025-09-19,0.013414901,1.026547182
2025-09-20,-0.0074730063,1.0188757884
2025-09-21,0.0054258735,1.0244040795
2025-09-22,-0.0028287015,1.0215063462
2025-09-23,0.0040445279,1.0256378571
2025-09-24,-0.0022568287,1.0233231681
2025-09-25,0.0072571434,1.0307495711
2025-09-26,-0.0057536872,1.0248189605
2025-09-27,-0.0011168828,1.0236743578
2025-09-28,0.0046300025,1.0284139727
2025-09-29,0.00641261,1.0350087904
2025-09-30,0.0024068762,1.0374999284
2025-10-01,-0.0016195551,1.0358196401
2025-10-02,0.0010348047,1.0368915112
2025-10-03,-0.0066314109,1.0300154575
2025-10-04,0.0228892153,1.0535917031
2025-10-05,-0.0020582139,1.051423186
2025-10-06,-0.0575618321,0.9909013411
2025-10-07,0.0344474775,1.0250353927
2025-10-08,0.0094873985,1.034760312
2025-10-09,0.0329633765,1.0688695057
2025-10-10,0.0396890009,1.1112918685
2025-10-11,-0.0015824022,1.1095333578
2025-10-12,0.0037180099,1.1136586138
2025-10-13,-0.0002583114,1.1133709431
2025-10-14,-0.0070126982,1.1055632087
2025-10-15,0.0211944373,1.1289949988
2025-10-16,0.0028741417,1.1322398904
2025-10-17,-0.0113809351,1.1193539417
2025-10-18,0.0110595846,1.1317335313
2025-10-19,-0.0057651935,1.1252088685
2025-10-20,-0.0094113895,1.1146190896
2025-10-21,-0.0045607359,1.1095356063
2025-10-22,-0.0023734634,1.1069021641
2025-10-23,0.0015459871,1.1086134206
2025-10-24,-0.0015084952,1.1069410826
2025-10-25,0.0009746003,1.1080199077
2025-10-26,-0.0016909725,1.1061462765
2025-10-27,-0.0020630906,1.1038641965
2025-10-28,5.50578e-05,1.1039249728
2025-10-29,-0.0028376513,1.1007924187
2025-10-30,0.0018022412,1.1027763121
2025-10-31,0.0059548884,1.109343222
2025-11-01,-0.0067858343,1.1018154027
2025-11-02,-0.0084516062,1.0925032928
2025-11-03,0.0323904131,1.1278899258
2025-11-04,0.0063533988,1.1350558603
2025-11-05,-0.0245981244,1.1071356151
2025-11-06,0.0019406154,1.1092841395
2025-11-07,-0.0088040128,1.0995179877
2025-11-08,0.0145192374,1.1154821504
2025-11-09,-0.0180750123,1.0953197968
2025-11-10,-0.0052740201,1.0895430582
2025-11-11,0.0123592829,1.1030090291
2025-11-12,-0.0015834259,1.101262496
2025-11-13,8.74173e-05,1.1013587654
2025-11-14,9.9097e-06,1.1013696795
2025-11-15,-0.005091699,1.0957618367
2025-11-16,0.0088442679,1.1054530479
2025-11-17,-0.0033146926,1.1017888109
2025-11-18,-0.0059605431,1.0952215512
2025-11-19,0.0081361557,1.1041324442
2025-11-20,0.0010737306,1.105317985
2025-11-21,0.005796167,1.1117245926
2025-11-22,-0.0003746485,1.1113080867
2025-11-23,-0.0005780548,1.1106656897
2025-11-24,-0.0015062202,1.1089927826
2025-11-25,-0.0085495824,1.0995113574
2025-11-26,-0.0014990995,1.0978630805
2025-11-27,0.0041116657,1.1023771265
2025-11-28,0.0018105167,1.1043729987
2025-11-29,0.0024683608,1.1070989897
2025-11-30,0.0024991087,1.1098657504
2025-12-01,0.009560127,1.120476208
2025-12-02,-0.0099778676,1.1092962447
2025-12-03,-0.0053376563,1.1033752026
2025-12-04,0.0058289655,1.1098067386
2025-12-05,0.0122705038,1.1234246264
2025-12-06,-0.0010078495,1.1222923835
2025-12-07,0.0023864637,1.1249706935
2025-12-08,-0.0062265754,1.1179659786
2025-12-09,-0.0106131339,1.106100856
2025-12-10,0.0030095775,1.1094297523
2025-12-11,0.0037173796,1.1135539238
2025-12-12,0.0052790006,1.1194323756
2025-12-13,-0.0016813714,1.117550194
2025-12-14,0.0047852857,1.122897991
2025-12-15,0.0087550859,1.1327290594
2025-12-16,-0.0031678145,1.1291407838
2025-12-17,0.0136567408,1.1445611669
2025-12-18,0.001529079,1.1463112913
2025-12-19,0.0,1.1463112913
2025-12-20,0.0,1.1463112913
2025-12-21,0.0,1.1463112913
2025-12-22,0.0,1.1463112913
2025-12-23,0.0,1.1463112913
2025-12-24,0.0,1.1463112913
2025-12-25,0.0,1.1463112913
2025-12-26,0.0,1.1463112913
2025-12-27,0.0,1.1463112913
2025-12-28,0.0,1.1463112913
2025-12-29,0.0,1.1463112913
2025-12-30,0.0,1.1463112913
2025-12-31,0.0,1.1463112913
2026-01-01,0.0,1.1463112913
2026-01-02,0.0,1.1463112913
2026-01-03,0.0,1.1463112913
2026-01-04,0.0,1.1463112913
