date,daily_return,equity_twr
2025-07-11,-0.0089485887,0.9910514113
2025-07-12,-0.0186326296,0.9725855174
2025-07-13,0.011440937,0.9837128071
2025-07-14,0.0207458678,1.0041207829
2025-07-15,0.0213503562,1.0255591193
2025-07-16,0.103667039,1.1318757965
2025-07-17,0.0042416846,1.1366768567
2025-07-18,0.0086882387,1.1465525765
2025-07-19,-0.0030667075,1.1430364351
2025-07-20,0.0106823371,1.1552467356
2025-07-21,-0.0077518248,1.1462914653
2025-07-22,0.0260190673,1.1761169001
2025-07-23,-0.0364959269,1.1331934237
2025-07-24,0.0197904394,1.1556198195
2025-07-25,0.0058877922,1.1624238689
2025-07-26,0.0049145237,1.1681366285
2025-07-27,0.0268063104,1.1994500616
2025-07-28,-0.0255473236,1.1688073227
2025-07-29,-0.0111815623,1.1557382308
2025-07-30,-0.0059520563,1.1488592118
2025-07-31,-0.0144120131,1.1323018378
2025-08-01,-0.0062504617,1.1252244285
2025-08-02,0.0017900746,1.1272386642
2025-08-03,0.0206345568,1.1504987344
2025-08-04,0.0,1.1504987344
2025-08-05,0.0,1.1504987344
2025-08-06,0.0,1.1504987344
2025-08-07,0.0,1.1504987344
2025-08-08,0.0,1.1504987344
2025-08-09,0.0,1.1504987344
2025-08-10,0.0,1.1504987344
2025-08-11,0.0186714324,1.1719801938
2025-08-12,0.0048075778,1.1776145797
2025-08-13,-0.004236796,1.172625267
2025-08-14,0.0163888319,1.1918432254
2025-08-15,-0.0290092717,1.1572687214
2025-08-16,-0.0031734881,1.1535961429
2025-08-17,0.0318251229,1.1903094819
2025-08-18,-0.0310391186,1.1533633247
2025-08-19,-0.0436161597,1.1030580458
2025-08-20,0.0391902785,1.1462871978
2025-08-21,-0.0195271722,1.1239034503
2025-08-22,0.1015111096,1.2379921366
2025-08-23,-0.0040201574,1.2330152134
2025-08-24,-0.0036032848,1.2285723084
2025-08-25,-0.0380024736,1.1818835217
2025-08-26,0.0960946179,1.2954561671
2025-08-27,-0.0129675199,1.2786573135
2025-08-28,-0.0065732943,1.2702523226
2025-08-29,-0.0289194692,1.2335172997
2025-08-30,-0.0012541242,1.2319703158
2025-08-31,0.0209044535,1.257723982
2025-09-01,-0.0415690575,1.2054415815
2025-09-02,0.0159161521,1.224627573
2025-09-03,0.0326372575,1.2645960585
2025-09-04,-0.0328386683,1.223068408
2025-09-05,-0.0058423862,1.21592277
2025-09-06,-0.0120423466,1.2012802066
2025-09-07,0.0161345434,1.2206623142
2025-09-08,0.0114001195,1.2345780104
2025-09-09,-0.0073212078,1.2255394083
2025-09-10,0.0349889777,1.2684197793
2025-09-11,0.0223059241,1.2967130546
2025-09-12,0.0164960782,1.3181037346
2025-09-13,-0.0024219831,1.3149113096
2025-09-14,-0.0005443724,1.3141955082
2025-09-15,-0.0008108061,1.3131299504
2025-09-16,0.0095766216,1.3257052991
2025-09-17,-0.0040514595,1.3203342578
2025-09-18,0.0105426815,1.3342541213
2025-09-19,-0.0146417046,1.3147183666
2025-09-20,0.0006679905,1.315596586
2025-09-21,-0.0027270538,1.3120088833
2025-09-22,-0.0247310021,1.2795615889
2025-09-23,-0.0044744313,1.2738362785
2025-09-24,0.00628221,1.2818387855
2025-09-25,-0.007979973,1.2716097466
2025-09-26,0.0039326928,1.2766105971
2025-09-27,-5.52395e-05,1.2765400777
2025-09-28,0.0098270569,1.2890847097
2025-09-29,0.0082390511,1.2997055445
2025-09-30,0.0147867689,1.31892399
2025-10-01,0.0785954864,1.4225854625
2025-10-02,0.0150690785,1.4440225146
2025-10-03,0.0255738685,1.4809517564
2025-10-04,-0.0141872996,1.4599410502
2025-10-05,-0.0019858431,1.4570418363
2025-10-06,0.0154840844,1.4796027951
2025-10-07,-0.0312999137,1.4332913553
2025-10-08,0.003753466,1.4386711657
2025-10-09,-0.0473923479,1.3704891613
2025-10-10,-0.0039980781,1.3650098386
2025-10-11,-0.0357601688,1.3161968563
2025-10-12,0.0934452149,1.4391891544
2025-10-13,0.0115726215,1.4558443458
2025-10-14,-0.1007713644,1.3091369247
2025-10-15,-0.0154699614,1.288884627
2025-10-16,-0.0283292605,1.2523714786
