date,daily_return,equity_twr
2025-07-11,0.0021968566,1.0021968566
2025-07-12,0.0086480029,1.0108638579
2025-07-13,0.0043184925,1.0152292659
2025-07-14,0.005260759,1.0205701424
2025-07-15,0.0156490526,1.0365410982
2025-07-16,0.0130530361,1.0500711066
2025-07-17,0.0032765542,1.0535117215
2025-07-18,0.0020148299,1.0556343684
2025-07-19,0.0019463638,1.057689017
2025-07-20,0.0127406944,1.0711647095
2025-07-21,0.0052165625,1.0767525071
2025-07-22,0.0016376899,1.0785158939
2025-07-23,-0.0262466498,1.0502084649
2025-07-24,0.0166787016,1.0677245785
2025-07-25,0.0078404566,1.0760960267
2025-07-26,0.0013612939,1.0775609097
2025-07-27,0.0018959681,1.0796039308
2025-07-28,-0.0051163275,1.0740803235
2025-07-29,0.0163454883,1.0916366909
2025-07-30,0.0262349867,1.1202757649
2025-07-31,-0.0227535987,1.0947854597
2025-08-01,0.0198531883,1.1165204416
2025-08-02,0.0082822599,1.1257677541
2025-08-03,0.0076599918,1.1343911259
2025-08-04,0.0008228652,1.1353245768
2025-08-05,-0.0076119825,1.126682506
2025-08-06,0.0116072631,1.1397602063
2025-08-07,0.0073632499,1.1481525455
2025-08-08,0.0064672719,1.1555779602
2025-08-09,0.007248453,1.1639541128
2025-08-10,0.0052410339,1.1700544357
2025-08-11,-0.0194055765,1.1473488549
2025-08-12,0.0282321693,1.179741002
2025-08-13,0.008437005,1.1896944827
2025-08-14,0.0222244786,1.2161348223
2025-08-15,0.0009809736,1.2173278184
2025-08-16,0.0053581259,1.2238504141
2025-08-17,0.0037715783,1.2284662618
2025-08-18,-0.0047335903,1.2226512058
2025-08-19,-0.0065659166,1.21462338
2025-08-20,0.0128086306,1.2301810422
2025-08-21,-0.0075543314,1.2208878469
2025-08-22,0.0117798914,1.2352697731
2025-08-23,0.0009716513,1.2364700246
2025-08-24,-0.00096223,1.2352802561
2025-08-25,-0.0452271871,1.1794120048
2025-08-26,0.040616863,1.2273160206
2025-08-27,-0.0014228201,1.2255697707
2025-08-28,-0.0035946599,1.2211642642
2025-08-29,0.0001318938,1.2213253282
2025-08-30,0.0003014657,1.2216935159
2025-08-31,0.0019946428,1.2241303581
2025-09-01,-0.0127074926,1.2085747306
2025-09-02,0.0178782164,1.2301818912
2025-09-03,0.0044659134,1.235675777
2025-09-04,-0.0031742671,1.231753412
2025-09-05,0.0031750552,1.2356642971
2025-09-06,-0.0030511852,1.2318940565
2025-09-07,0.0029450176,1.2355220062
2025-09-08,0.0047863173,1.2414356065
2025-09-09,0.0017052877,1.2435526114
2025-09-10,0.0035142767,1.2479227993
2025-09-11,0.0021646168,1.250624074
2025-09-12,-0.0028364185,1.2470767807
2025-09-13,0.0005537937,1.247767404
2025-09-14,-0.0011951622,1.2462761196
2025-09-15,-0.005520805,1.2393956721
2025-09-16,0.005066168,1.2456746588
2025-09-17,0.007171942,1.2546085652
2025-09-18,0.0001896539,1.2548465066
2025-09-19,-0.0035159286,1.2504345559
2025-09-20,-0.0052250343,1.2439009925
2025-09-21,-0.0141334751,1.2263203488
2025-09-22,-0.1077714461,1.0941580314
2025-09-23,-0.0324817337,1.0586178816
2025-09-24,0.0198310914,1.0796114296
2025-09-25,-0.0013508691,1.0781530158
2025-09-26,0.0126587047,1.0918010365
2025-09-27,0.0010427679,1.0929395316
2025-09-28,0.0050030228,1.098407533
2025-09-29,-0.0005704557,1.0977809401
2025-09-30,-0.0016194562,1.096003132
2025-10-01,0.0068485959,1.1035092145
2025-10-02,0.0073804589,1.1116536189
2025-10-03,0.0006979651,1.1124295144
2025-10-04,-0.0038979479,1.1080933221
2025-10-05,-0.0003591592,1.1076953402
2025-10-06,0.0018760593,1.1097734423
2025-10-07,-0.016058205,1.0919524729
2025-10-08,0.0174482066,1.1110050852
2025-10-09,0.0006182061,1.1116919153
2025-10-10,-0.01909737,1.0904615235
2025-10-11,0.1207572475,1.2221426556
2025-10-12,0.0106991796,1.2352185794
2025-10-13,0.0102960305,1.2479364275
2025-10-14,0.0055976348,1.2549219199
2025-10-15,-0.0044274651,1.2493657969
2025-10-16,0.0224100961,1.2773642045
2025-10-17,0.0303096921,1.3160807202
2025-10-18,0.0035382572,1.3207373523
2025-10-19,0.0054578667,1.3279457607
2025-10-20,-0.0019430747,1.3253654629
2025-10-21,0.0071290838,1.3348141043
2025-10-22,0.0043769198,1.3406564786
2025-10-23,0.0109135214,1.3552877618
2025-10-24,0.0009652486,1.3565959514
2025-10-25,0.0046228309,1.3628672651
2025-10-26,0.005687818,1.3706190061
2025-10-27,0.0038451487,1.3758892399
2025-10-28,-0.0006495128,1.3749955823
2025-10-29,0.0026076204,1.3785810488
2025-10-30,0.0035375111,1.3834577946
2025-10-31,0.0047002155,1.3899603443
2025-11-01,-0.0012706656,1.3881941695
2025-11-02,0.006892758,1.397762656
2025-11-03,0.0106753954,1.412684325
2025-11-04,0.009013707,1.4254178476
2025-11-05,0.0042737621,1.4315097444
2025-11-06,0.0002387668,1.4318515414
2025-11-07,0.0107918625,1.4473038864
2025-11-08,0.004236038,1.4534347206
2025-11-09,0.0120339426,1.4709252706
2025-11-10,-0.0014911447,1.4687319082
2025-11-11,-0.021321764,1.4374159531
2025-11-12,0.0068845261,1.4473118807
2025-11-13,-0.0002515451,1.4469478165
2025-11-14,0.0029311858,1.4511890894
2025-11-15,0.005387447,1.4590072937
2025-11-16,-0.0122318074,1.4411609975
2025-11-17,-0.0028450464,1.4370608276
2025-11-18,0.0229584176,1.4700534702
2025-11-19,-0.0016933595,1.4675641412
2025-11-20,-0.0066490961,1.4578061662
2025-11-22,-0.0237562865,1.4231741052
2025-11-28,0.029408251,1.4650271665
2025-11-29,-0.0005453842,1.4642281638
2025-11-30,0.0025653629,1.4679844405
2025-12-01,-0.0303525642,1.4234273485
2025-12-02,0.0077668882,1.4344829496
2025-12-03,0.0034393279,1.4394166068
2025-12-04,0.0001079267,1.4395719583
2025-12-05,-0.0274139383,1.4001076214
2025-12-06,0.0031441499,1.4045097697
2025-12-07,-0.0227476812,1.3725604292
2025-12-08,0.0071646525,1.3823943477
2025-12-09,0.0050433891,1.3893663003
2025-12-10,0.0006292336,1.3902405362
2025-12-11,0.0085831633,1.4021731978
2025-12-12,-0.0001688709,1.4019364115
2025-12-13,0.0011974975,1.4036152269
2025-12-14,-0.0027081696,1.3998139988
2025-12-15,0.0007307807,1.4008369559
2025-12-16,0.0040394168,1.4064955202
2025-12-17,-0.0316345607,1.3620016523
2025-12-18,-0.0326486786,1.3175340981
2025-12-19,0.013326691,1.3350924679
2025-12-20,0.0037773425,1.3401355694
2025-12-21,-0.0022533609,1.3371157603
2025-12-22,0.0004829514,1.3377615222
2025-12-23,0.0035639659,1.3425292587
2025-12-24,-0.0028114288,1.3387548333
2025-12-25,0.0070737401,1.348224837
2025-12-26,0.0017636808,1.3506026753
2025-12-27,0.0015314852,1.3526711033
2025-12-28,-0.0013127615,1.3508953687
2025-12-29,0.0010182467,1.3522709135
2025-12-30,-0.0013325567,1.3504689358
2025-12-31,-0.0023177838,1.3473388408
2026-01-01,-0.0006296182,1.3464905317
2026-01-02,0.0090343933,1.3586552568
2026-01-03,-0.001281579,1.3569140327
2026-01-04,0.0020115203,1.3596434929
