date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-14,0.0,1.0
2025-07-15,0.0,1.0
2025-07-16,0.0,1.0
2025-07-17,0.0,1.0
2025-07-18,0.0,1.0
2025-07-19,0.0,1.0
2025-07-20,0.0,1.0
2025-07-21,0.0,1.0
2025-07-22,0.0,1.0
2025-07-23,0.0,1.0
2025-07-24,1.0,2.0
2025-07-25,0.0,2.0
2025-07-26,0.0,2.0
2025-07-27,0.0,2.0
2025-07-28,0.0,2.0
2025-07-29,0.0,2.0
2025-07-30,0.0,2.0
2025-07-31,0.0,2.0
2025-08-01,0.0,2.0
2025-08-02,0.0,2.0
2025-08-03,0.0,2.0
2025-08-04,0.0,2.0
2025-08-05,0.0,2.0
2025-08-06,0.0,2.0
2025-08-07,0.0,2.0
2025-08-08,0.0,2.0
2025-08-09,0.0,2.0
2025-08-10,0.0,2.0
2025-08-11,0.0,2.0
2025-08-12,0.0,2.0
2025-08-13,0.0,2.0
2025-08-14,0.0,2.0
2025-08-15,0.0,2.0
2025-08-16,0.0,2.0
2025-08-17,0.0,2.0
2025-08-18,0.0,2.0
2025-08-19,0.0,2.0
2025-08-20,0.0,2.0
2025-08-21,0.0,2.0
2025-08-22,0.0,2.0
2025-08-23,0.0,2.0
2025-08-24,0.0,2.0
2025-08-25,0.0,2.0
2025-08-26,0.0,2.0
2025-08-27,0.0,2.0
2025-08-28,0.0,2.0
2025-08-29,0.0,2.0
2025-08-30,0.0,2.0
2025-08-31,0.0,2.0
2025-09-01,0.051728018,2.103456036
2025-09-02,-0.0706067174,1.9549379101
2025-09-03,0.0,1.9549379101
2025-09-04,0.0,1.9549379101
2025-09-05,0.0,1.9549379101
2025-09-06,0.0,1.9549379101
2025-09-07,0.0,1.9549379101
2025-09-08,0.0,1.9549379101
2025-09-09,0.0,1.9549379101
2025-09-10,0.0,1.9549379101
2025-09-11,0.0,1.9549379101
2025-09-12,0.0,1.9549379101
2025-09-13,0.0,1.9549379101
2025-09-14,0.0,1.9549379101
2025-09-15,0.0,1.9549379101
2025-09-16,0.0,1.9549379101
2025-09-17,0.0,1.9549379101
2025-09-18,0.0,1.9549379101
2025-09-19,0.0,1.9549379101
2025-09-20,0.0,1.9549379101
2025-09-21,0.0,1.9549379101
2025-09-22,0.0,1.9549379101
2025-09-23,0.0,1.9549379101
2025-09-24,0.0,1.9549379101
2025-09-25,0.0,1.9549379101
2025-09-26,0.0,1.9549379101
2025-09-27,0.0,1.9549379101
2025-09-28,0.0,1.9549379101
2025-10-29,-0.1258140076,1.708979337
2025-10-30,0.0,1.708979337
2025-10-31,0.0,1.708979337
2025-11-01,0.0,1.708979337
2025-11-02,0.0,1.708979337
2025-11-03,1.0,3.417958674
2025-11-04,0.1363436424,3.8839756092
2025-11-05,-0.0766522866,3.5862599977
2025-11-06,0.0,3.5862599977
2025-11-07,0.0,3.5862599977
2025-11-08,0.0,3.5862599977
2025-11-09,0.0,3.5862599977
2025-11-10,0.0,3.5862599977
2025-11-11,0.0,3.5862599977
2025-11-12,0.0,3.5862599977
2025-11-13,0.0,3.5862599977
2025-11-14,0.0,3.5862599977
2025-11-15,0.0,3.5862599977
2025-11-16,0.0014796442,3.5915663865
2025-11-17,-0.0174054769,3.5290534607
2025-11-18,0.0952670267,3.865255891
2025-11-19,-0.1387716381,3.3288679993
2025-11-20,-0.1578499459,2.8034063657
2025-11-21,-0.2527088492,2.0949607692
2025-11-22,-0.062235063,1.9645807537
2025-11-23,0.2869900554,2.5283958931
2025-11-24,0.1543120734,2.9185579057
2025-11-25,-0.0828861272,2.6766499439
2025-11-26,0.3113560461,3.5100410873
2025-11-27,0.0610167041,3.7242122257
2025-11-28,-0.0133406372,3.6745288615
2025-11-29,-0.0349549087,3.5460860406
2025-11-30,0.0415663984,3.6934840658
2025-12-01,-0.345848289,2.4160989212
2025-12-02,0.4791947059,3.5738807331
2025-12-03,0.1699700239,4.1813333267
2025-12-04,-0.0535232079,3.9575349538
2025-12-05,-0.2038608225,3.150748623
2025-12-06,-0.0189984393,3.0908893166
2025-12-07,0.0807973817,3.3406250805
2025-12-08,0.0509258557,3.5107492713
2025-12-09,0.1663906983,4.0949052941
2025-12-10,-0.0473903426,3.9008463293
2025-12-11,0.0462416933,4.0812280689
2025-12-12,-0.1628856033,3.4164547727
2025-12-13,-0.0249078386,3.3313582686
2025-12-14,-0.1608807832,2.7954067412
2025-12-15,-0.2107910672,2.206159971
2025-12-16,0.227638855,2.7083677007
2025-12-17,-0.1667437824,2.2567642262
2025-12-18,-0.0666308388,2.1063941328
2025-12-19,0.3305132211,2.8025852426
2025-12-20,0.0147330674,2.8438759198
2025-12-21,0.0135521395,2.882416523
2025-12-22,-0.0417165874,2.7621719422
2025-12-23,-0.033598518,2.6693670585
2025-12-24,-0.0038852108,2.6589960048
2025-12-25,0.0220421265,2.7176059311
2025-12-26,-0.057752945,2.5606561852
2025-12-27,0.056182604,2.7045205176
2025-12-28,-0.0048147383,2.6914989591
2025-12-29,-0.0667107382,2.5119470767
2025-12-30,0.1027591515,2.7700726269
2025-12-31,-0.0542616696,2.6197638612
2026-01-01,0.0642678282,2.788130395
2026-01-02,0.164651981,3.2472015878
2026-01-03,0.0338859124,3.3572359764
2026-01-04,0.0475398082,3.5168383308
