date,daily_return,equity_twr
2025-09-02,0.060927657,1.060927657
2025-09-03,-0.0042302144,1.0564397055
2025-09-04,-0.0495372436,1.0041065945
2025-09-05,0.1334392208,1.1380937961
2025-09-06,-0.0993195828,1.0250587951
2025-09-07,0.0371015894,1.0630901056
2025-09-08,0.3036831168,1.3859326223
2025-09-09,0.0462937112,1.4500925869
2025-09-10,0.0324779833,1.4971886697
2025-09-11,0.0363975087,1.5516826073
2025-09-12,-0.0479733142,1.47724325
2025-09-13,0.1165574019,1.6494268852
2025-09-14,0.0302074196,1.6992518153
2025-09-15,0.1413312315,1.9394091669
2025-09-16,0.004383553,1.9479106698
2025-09-17,0.0965306003,2.1359436561
2025-09-18,0.0338731303,2.2082947539
2025-09-19,0.0845900229,2.3950944577
2025-09-20,-0.0286756444,2.3264135807
2025-09-21,0.2591599015,2.9293266951
2025-09-22,0.3989315855,4.0979276381
2025-09-23,-0.2772794324,2.9616565886
2025-09-24,-0.2683391215,2.1669282614
2025-09-25,0.8011978215,3.9030664638
2025-09-26,-0.5921522411,1.5918569101
2025-09-27,-0.0309179811,1.5426399082
2025-09-28,0.1936322369,1.8413447244
2025-09-29,0.1677543091,2.1502382365
2025-09-30,0.5249073793,3.278914154
2025-10-01,-0.1125369772,2.9099150666
2025-10-02,-0.2793559657,2.0970129331
2025-10-03,-0.0040389309,2.0885432428
2025-10-04,-0.0115132018,2.0644974229
2025-10-05,-0.0074516448,2.0491135214
2025-10-06,-0.2640120229,1.5081229155
2025-10-07,0.1264017433,1.6987522811
2025-10-08,0.0887435904,1.8495056578
2025-10-09,0.1193611709,2.0702648187
2025-10-10,0.3592329674,2.8139721928
2025-10-11,0.0693228268,3.0090446997
2025-10-12,0.4657013402,4.4103608491
2025-10-13,-0.1217015396,3.8736131435
2025-10-14,-0.0110161921,3.830940677
2025-10-15,-0.0221925875,3.7459221909
2025-10-16,-0.0040507233,3.7307484966
2025-10-17,-0.0551675782,3.5249321371
2025-10-18,-0.0123607436,3.4813613548
2025-10-19,-0.0341169257,3.3625880081
2025-10-20,0.032697849,3.472537403
2025-10-21,0.0648434333,3.6977086505
2025-10-22,0.0234175733,3.7843000139
2025-10-23,-0.0699427918,3.5196155059
2025-10-24,0.0085792784,3.5498112672
2025-10-25,-0.0225966388,3.4695974642
2025-10-26,-0.051961666,3.2893113996
2025-10-27,-0.0366948086,3.1686107473
2025-10-28,0.0887477652,3.44981787
2025-10-29,-0.0554428461,3.2585501487
2025-10-30,0.1111062796,3.6205955326
2025-10-31,-0.056095043,3.4174980706
2025-11-01,-0.0074444789,3.3920565783
2025-11-02,0.0019145959,3.3985509959
2025-11-03,-0.0201286662,3.3301426973
2025-11-04,0.0890368028,3.626647956
2025-11-05,0.0541264811,3.822945648
2025-11-06,-0.0501503451,3.6312236045
2025-11-07,0.3469283112,4.8909978772
2025-11-08,-0.1228439925,4.2901681706
2025-11-09,0.0135483045,4.3482926753
2025-11-10,-0.0722966288,4.0339257739
2025-11-11,-0.0846540731,3.6924375265
2025-11-12,0.0347753251,3.8208432419
2025-11-13,0.0043521403,3.8374720878
2025-11-14,0.0342242511,3.9688066961
2025-11-15,-0.0282079213,3.8568549092
2025-11-16,0.032905774,3.9837677052
2025-11-17,-0.0151633023,3.9233606312
2025-11-18,-0.0085155067,3.8899512274
2025-11-19,0.0354145373,4.0277120503
2025-11-20,0.0688735174,4.3051147462
2025-11-22,0.0785259249,4.6431778635
2025-11-28,-0.0515581762,4.4037840811
2025-11-29,-0.020684429,4.3126943219
2025-11-30,0.007599104,4.3454669346
2025-12-01,0.1250980674,4.8890764501
2025-12-02,0.0493656183,5.1304287319
2025-12-03,-0.020136114,5.0271218341
2025-12-04,0.0166580102,5.1108636809
2025-12-05,-0.005736428,5.0815455794
2025-12-06,-0.0185797794,4.9871315835
2025-12-07,-9.19052e-05,4.9866732402
2025-12-08,0.0058715321,5.0159526522
2025-12-09,0.0075254541,5.0536999736
2025-12-10,-0.0143996036,4.9809286973
2025-12-11,-0.0037536143,4.9622322121
2025-12-12,0.0054329801,4.989191921
2025-12-13,0.0038151596,5.0082264844
2025-12-14,0.0017218813,5.016850056
2025-12-15,0.0073600983,5.0537745655
2025-12-16,-0.0144851224,4.9805700224
2025-12-17,0.0091871869,5.02632745
2025-12-18,0.0211120635,5.1324435943
2025-12-19,-0.006895439,5.0970531426
2025-12-20,-0.0029234192,5.0821523196
2025-12-21,-0.008413988,5.0393911509
2025-12-22,0.0013985057,5.0464387682
2025-12-23,0.0017063736,5.0550498781
2025-12-24,-0.0028755478,5.0405138405
2025-12-25,0.0024090577,5.0526567292
2025-12-26,-0.0065903756,5.0193578236
2025-12-27,-0.0020856214,5.0088893435
2025-12-28,-0.0043181373,4.9872602716
2025-12-29,0.0003406363,4.9889591135
2025-12-30,0.00173902,4.9976350131
2025-12-31,-0.0002870788,4.9962002981
2026-01-01,0.0,4.9962002981
2026-01-02,0.0,4.9962002981
2026-01-03,0.0,4.9962002981
2026-01-04,0.0,4.9962002981
