date,daily_return,equity_twr
2025-11-13,0.2561208566,1.2561208566
2025-11-14,0.1146574634,1.4001444877
2025-11-15,-0.0931319103,1.2697463569
2025-11-16,0.2310679119,1.5631439962
2025-11-17,0.1614730167,1.8155495728
2025-11-18,-0.4006480795,1.0881531232
2025-11-19,0.4026151732,1.5262600814
2025-11-20,0.0607520537,1.6189835159
2025-11-21,0.4861701738,2.4060850131
2025-11-28,-0.4639355582,1.2898166195
2025-11-29,0.1313186832,1.4591936395
2025-11-30,-0.0481473566,1.388937323
2025-12-01,0.5259539223,2.1194543559
2025-12-02,-0.4628771664,1.1384073293
2025-12-03,-0.2272774805,0.8796729797
2025-12-04,0.1256090381,0.9901678566
2025-12-05,0.3617240283,1.3483353623
2025-12-06,0.0141523834,1.3674175213
2025-12-07,0.0416654225,1.4243915501
2025-12-08,-0.2082779134,1.1277222502
2025-12-09,-0.2492944073,0.8465874002
2025-12-10,0.2001194377,1.0160059947
2025-12-11,0.1272397765,1.1452823704
2025-12-12,0.1967585518,1.370626471
2025-12-13,-0.0790342679,1.2623000113
2025-12-14,0.2134794316,1.5317751002
2025-12-15,0.2508792557,1.9160656973
2025-12-16,-0.138757896,1.6501964525
2025-12-17,0.2408881502,2.0477092234
2025-12-18,0.1907268365,2.4382623257
2025-12-19,-0.4771907441,1.2747461122
2025-12-20,0.0113107462,1.2891644419
2025-12-21,0.0606916873,1.3674060071
2025-12-22,-0.063427629,1.2806746862
2025-12-23,0.1318387172,1.449517194
2025-12-24,0.0404172291,1.5081026625
2025-12-25,0.0727222856,1.617775335
2025-12-26,0.251475346,2.0246059472
2025-12-27,-0.1230367964,1.7755049174
2025-12-28,0.0478172075,1.8604046045
2025-12-29,0.0299837715,1.9161865511
2025-12-30,0.0033796702,1.9226626296
2025-12-31,0.2409417569,2.3859123416
2026-01-01,-0.4765556312,1.2488923796
2026-01-02,-0.8656265106,0.1678180269
2026-01-03,-0.0331751976,0.1622506307
2026-01-04,-0.3998718516,0.0973711706
