date,daily_return,equity_twr
2025-08-11,0.1282664508,1.1282664508
2025-08-12,-0.1093878401,1.0048478207
2025-08-13,-0.1244595744,0.8797848886
2025-08-14,0.1445264444,1.0069370704
2025-08-15,-0.1720322026,0.8337114683
2025-08-16,0.0916811674,0.910147109
2025-08-17,0.0010911738,0.9111402376
2025-08-18,0.1828617603,1.0777529454
2025-08-19,0.1010332387,1.186641816
2025-08-20,-0.0443423832,1.1340232898
2025-08-21,0.1179928392,1.2678299175
2025-08-22,-0.1808363558,1.0385601755
2025-08-23,0.0128144914,1.0518687959
2025-08-24,-0.0764701381,0.9714322438
2025-08-25,0.1483128446,1.1155081232
2025-08-26,-0.264786155,0.8201370164
2025-08-27,0.1016452756,0.9035000695
2025-08-28,0.3989794447,1.2639780255
2025-08-29,0.0542126081,1.3325015708
2025-08-30,-0.0056947501,1.3249133074
2025-08-31,-0.0392187176,1.2729519065
2025-09-01,-0.0038926072,1.2679968048
2025-09-02,0.2582008035,1.5953945986
2025-09-03,0.0606810879,1.6922048785
2025-09-04,0.1353971178,1.9213245417
2025-09-05,0.0668932728,2.0498482285
2025-09-06,-0.0200840235,2.0086790285
2025-09-07,0.08288252,2.1751634082
2025-09-08,-0.0771363374,2.0073792697
2025-09-09,-0.0430284255,1.9210049003
2025-09-10,0.2698889827,2.4394629586
2025-09-11,0.0371568274,2.5301056627
2025-09-12,0.1010965862,2.7858907079
2025-09-13,0.2937489754,3.604243249
2025-09-14,0.1270097823,4.0620173994
2025-09-15,0.1029829502,4.4803359349
2025-09-16,-0.8125210712,0.8399685817
2025-09-20,-0.2223560321,0.6531965008
2025-09-21,0.0448052604,0.6824631401
2025-09-22,0.0657397879,0.7273281222
2025-09-23,0.0351534179,0.7528961916
2025-09-24,0.903707364,1.4332940244
2025-09-25,0.2282084998,1.7603839034
2025-09-26,-0.0513878944,1.6699214813
2025-09-27,-0.0077688498,1.6569481121
2025-09-28,0.0260155585,1.7000545427
2025-09-29,0.0,1.7000545427
2025-09-30,0.0,1.7000545427
2025-10-01,0.0,1.7000545427
2025-10-02,0.0,1.7000545427
2025-10-03,0.0,1.7000545427
2025-10-04,0.0,1.7000545427
2025-10-05,0.0,1.7000545427
2025-10-06,0.0017777023,1.7030767335
2025-10-07,0.0085251476,1.7175957141
2025-10-08,0.0,1.7175957141
2025-10-09,-0.0540204899,1.6248103521
2025-10-10,-4.484e-07,1.6248096236
2025-10-11,0.0,1.6248096236
2025-10-12,0.0,1.6248096236
2025-10-13,0.0,1.6248096236
2025-10-14,0.0,1.6248096236
2025-10-15,0.0,1.6248096236
2025-10-16,0.0,1.6248096236
2025-10-17,0.0,1.6248096236
2025-10-18,0.0,1.6248096236
2025-10-19,0.0,1.6248096236
2025-10-20,0.0,1.6248096236
2025-10-21,0.0,1.6248096236
2025-10-22,0.0,1.6248096236
2025-10-23,0.0,1.6248096236
2025-10-24,0.0,1.6248096236
2025-11-22,0.0,1.6248096236
2025-12-03,0.0191149184,1.655867727
2025-12-04,0.0148729698,1.6804953976
2025-12-05,-9.6538e-06,1.6804791745
2025-12-06,0.0,1.6804791745
2025-12-07,0.0,1.6804791745
2025-12-08,0.0,1.6804791745
2025-12-09,0.0,1.6804791745
2025-12-10,0.0,1.6804791745
2025-12-11,0.0,1.6804791745
2025-12-12,0.0,1.6804791745
2025-12-13,0.0,1.6804791745
2025-12-14,0.0,1.6804791745
2025-12-15,0.0,1.6804791745
2025-12-16,0.0,1.6804791745
2025-12-17,0.0,1.6804791745
2025-12-18,0.0,1.6804791745
2025-12-19,0.0,1.6804791745
2025-12-20,0.0,1.6804791745
2025-12-21,0.0,1.6804791745
2025-12-22,0.0,1.6804791745
2025-12-23,0.0,1.6804791745
2025-12-24,0.0,1.6804791745
2025-12-25,0.0,1.6804791745
2025-12-26,0.0,1.6804791745
2025-12-27,0.0,1.6804791745
2025-12-28,0.0,1.6804791745
2025-12-29,0.0,1.6804791745
2025-12-30,0.0,1.6804791745
2025-12-31,0.0,1.6804791745
2026-01-01,0.0,1.6804791745
2026-01-02,0.0,1.6804791745
2026-01-03,0.0,1.6804791745
2026-01-04,0.0,1.6804791745
