date,daily_return,equity_twr
2025-07-11,0.0660433266,1.0660433266
2025-07-12,0.0141649093,1.0811437336
2025-07-13,0.0119944288,1.0941114352
2025-07-14,-0.0163556892,1.0762164886
2025-07-15,-0.0125280816,1.0627335606
2025-07-16,-0.1044237902,0.9517588942
2025-07-17,-0.0234546332,0.9294357385
2025-07-18,0.0191144587,0.9472013995
2025-07-19,0.0186186657,0.9648370257
2025-07-20,-0.0611143428,0.905871645
2025-07-21,-0.0458543754,0.8643334665
2025-07-22,-0.0103115287,0.8554208672
2025-07-23,0.0861919282,0.9291512411
2025-07-24,-0.0199499336,0.9106147356
2025-07-25,-0.0016716395,0.909092516
2025-07-26,-0.0131709983,0.89711886
2025-07-27,-0.0307544147,0.8695284946
2025-07-28,0.0072155891,0.8758026549
2025-07-29,0.0096207453,0.8842285292
2025-07-30,0.0042920025,0.8880236402
2025-07-31,0.0172077002,0.9033044848
2025-08-01,0.0793793253,0.9750081853
2025-08-02,0.0252725095,0.999649089
2025-08-03,-0.0137811116,0.9858728133
2025-08-04,-0.065076591,0.9217155715
2025-08-05,0.0447921238,0.9630011694
2025-08-06,-0.0377321039,0.9266651093
2025-08-07,-0.0435450087,0.886313469
2025-08-08,-0.0421184278,0.8489833392
2025-08-09,-0.06497565,0.7938200949
2025-08-10,0.0096051862,0.8014448847
2025-08-11,0.0376596755,0.831627039
2025-08-12,-0.1670970089,0.6926646482
2025-08-13,-0.0901599329,0.63021405
2025-08-14,0.153499841,0.7269518065
2025-08-15,0.0311541706,0.7495993871
2025-08-16,-0.005875784,0.745194903
2025-08-17,-0.0390965907,0.7160603229
2025-08-18,0.0713528383,0.7671532593
2025-08-19,0.0996308144,0.8435853633
2025-08-20,-0.0913165206,0.7665520831
2025-08-21,0.0536946833,0.8077118545
2025-08-22,-0.244293855,0.6103928118
2025-08-23,0.0194025922,0.6222360146
2025-08-24,-0.0376401029,0.598814987
2025-09-03,0.1335781841,0.6788036056
2025-09-04,0.0733908004,0.7286215455
2025-09-05,0.0099095824,0.7358418807
2025-09-06,0.0193743064,0.7500983068
2025-09-07,-0.018990115,0.7358538537
2025-09-08,-0.0496816242,0.6992954391
2025-09-09,-0.0023920523,0.6976226878
2025-09-10,-0.0468243081,0.6649569881
2025-09-11,-0.040667898,0.6379145852
2025-09-12,-0.1530167936,0.5403029408
2025-09-13,0.0037431811,0.5423253925
2025-09-14,0.0092849919,0.5473608794
2025-09-15,0.085447567,0.5941315348
2025-09-16,-0.014995779,0.5852220696
2025-09-17,-0.0326665252,0.5661048981
2025-09-18,-0.0409968163,0.5428963996
2025-09-19,0.0979483806,0.5960722228
2025-09-20,-0.0103526383,0.5899013027
2025-09-21,0.0281546901,0.606509791
2025-09-22,0.1878655798,0.7204521046
2025-09-23,0.0219727878,0.7362824458
2025-09-24,0.0293483486,0.7578911197
2025-09-25,0.1330849442,0.858755017
2025-09-26,-0.0527301408,0.8134727441
2025-09-27,-0.0027512176,0.8112347035
2025-09-28,-0.0413277466,0.7777082013
2025-09-29,-0.0530747222,0.7364315546
2025-09-30,0.030986081,0.7592506824
2025-10-01,-0.0852062606,0.6945577709
2025-10-02,-0.1132816984,0.6158770869
2025-10-03,-0.0160918922,0.6059664592
2025-10-04,0.0449665057,0.6332146535
2025-10-05,-0.0096919951,0.6270775402
2025-10-06,-0.1013099993,0.563548315
2025-10-07,0.0206507646,0.5751860186
2025-11-06,0.9580302252,1.1262316095
2025-11-07,-0.0518793979,1.0678033917
2025-11-08,0.0315194032,1.1014599174
2025-11-09,-0.0546599376,1.041254187
2025-11-10,-0.0097681431,1.0310830671
