date,daily_return,equity_twr
2025-07-19,0.0,1.0
2025-07-20,0.0,1.0
2025-07-21,0.0,1.0
2025-07-22,0.0,1.0
2025-07-23,0.0,1.0
2025-07-24,0.0,1.0
2025-07-25,0.0,1.0
2025-07-26,0.0,1.0
2025-07-27,0.0,1.0
2025-07-28,0.0,1.0
2025-07-29,0.0,1.0
2025-07-30,0.0,1.0
2025-07-31,0.0,1.0
2025-08-01,0.0,1.0
2025-08-03,-0.001798906,0.998201094
2025-08-04,0.036300602,1.0344363946
2025-08-05,-0.0207450303,1.0129769803
2025-08-06,0.0140288692,1.0271879018
2025-08-07,0.0315823692,1.0596289294
2025-08-08,0.0095987043,1.0697999942
2025-08-09,0.0,1.0697999942
2025-08-10,0.0,1.0697999942
2025-08-11,0.0,1.0697999942
2025-08-12,0.0,1.0697999942
2025-08-13,0.0,1.0697999942
2025-08-14,0.0,1.0697999942
2025-08-15,0.0052970411,1.0754667687
2025-08-16,-0.0023294608,1.072961511
2025-08-17,0.0223008596,1.096889475
2025-08-18,-0.032864204,1.0608410756
2025-08-19,-0.0519579848,1.0057219111
2025-08-20,0.0495337398,1.0555390785
2025-08-21,-0.0246455247,1.0295247641
2025-08-22,0.1302536623,1.163624135
2025-08-23,-0.0062780838,1.1563188052
2025-08-24,0.0,1.1563188052
2025-08-25,0.0,1.1563188052
2025-08-26,0.0136599264,1.172114035
2025-08-27,0.001611134,1.1740024678
2025-08-28,0.0147779423,1.1913518085
2025-08-29,-0.0192644952,1.1684010173
2025-08-30,-0.001609125,1.166520914
2025-08-31,0.0143111979,1.1832152257
2025-09-01,-0.024974168,1.1536654098
2025-09-02,0.0064159171,1.1610672315
2025-09-03,0.0195751772,1.1837953283
2025-09-04,-0.0155939301,1.1653353067
2025-09-05,0.0195764287,1.1881484102
2025-09-06,-0.0090804696,1.1773594647
2025-09-07,0.0078804907,1.186637635
2025-09-08,0.0036014231,1.1909112192
2025-09-09,2.79011e-05,1.1909444469
2025-09-10,0.0206206334,1.2155024758
2025-09-11,0.0,1.2155024758
2025-09-12,0.0,1.2155024758
2025-09-13,0.0,1.2155024758
2025-09-14,0.0,1.2155024758
2025-09-15,0.0,1.2155024758
2025-09-16,0.0,1.2155024758
2025-09-17,0.0205179789,1.2404421299
2025-09-18,-0.0024536524,1.2373985161
2025-09-19,0.0023629366,1.2403224103
2025-09-20,0.002447536,1.2433581441
2025-09-21,-0.0054054305,1.2366372581
2025-09-22,-0.0511497944,1.1733835166
2025-09-23,-0.0003888437,1.1729272538
2025-09-24,-0.0072040943,1.1644773752
2025-09-25,-0.0709537793,1.0818533046
2025-09-26,0.0387078389,1.123729508
2025-09-27,-0.0029673487,1.1203950107
2025-09-28,0.028120945,1.1519015772
2025-09-29,0.0255342013,1.1813144639
2025-09-30,-0.0199638547,1.1577308736
2025-10-01,0.0463001096,1.2113339399
2025-10-02,0.0394409472,1.2591100979
2025-10-03,-0.0059709865,1.2515919685
2025-10-04,0.0031357747,1.2555166789
2025-10-05,0.0132958377,1.2722098249
2025-10-06,0.0071657413,1.2813261514
2025-10-07,0.0019288482,1.283797635
2025-10-08,0.0053407517,1.2906540794
2025-10-09,-0.028029365,1.2544778652
2025-10-10,-0.1255160627,1.0970207428
2025-10-11,-0.0405809315,1.0525026192
2025-10-12,0.1487458514,1.2090580174
2025-10-13,0.0385775736,1.255700542
2025-10-14,-0.0511811068,1.1914323985
2025-10-15,-0.0445704295,1.1383297447
2025-10-16,-0.0332640729,1.1004642611
2025-10-17,0.0074296025,1.1086402732
2025-10-18,0.0121353963,1.1220940622
2025-10-19,0.0503415415,1.178582007
2025-10-20,-0.0127787363,1.1635212183
2025-10-21,-0.0247539603,1.1347194603
2025-10-22,-0.0754171745,1.0491421248
2025-10-23,0.0440649532,1.0953725234
2025-10-24,0.0436327075,1.1431665923
2025-10-25,0.004462354,1.1482678063
2025-10-26,0.0743144392,1.2336006844
2025-10-27,0.0165764842,1.2540494466
2025-10-28,-0.0397784728,1.2041652748
2025-10-29,-0.009806927,1.1923561139
2025-10-30,-0.0472537807,1.1360127796
2025-10-31,0.0278450437,1.1676451051
2025-11-01,0.0022481323,1.1702701257
2025-11-02,-0.0063038387,1.1628929316
2025-11-03,-0.0872065092,1.0614810985
2025-11-04,-0.1254158128,0.9283545838
2025-11-05,0.0696712754,0.9930342316
2025-11-06,-0.0461893296,0.9471666462
2025-11-07,0.0607406826,1.0046981948
2025-11-08,-0.0180505599,0.9865628299
2025-11-09,0.0699348902,1.0555579931
2025-11-10,-0.0044040442,1.050909269
2025-11-11,-0.0545654911,0.9935658886
2025-11-12,-0.0040816522,0.9895104982
2025-11-13,-0.0756918837,0.9146125847
2025-11-14,-0.0304222162,0.8867880429
2025-11-15,0.0038231078,0.8901783292
2025-11-16,-0.0330352473,0.8607710679
