date,daily_return,equity_twr
2025-08-02,-0.0241503381,0.9758496619
2025-08-03,0.021907273,0.9972278669
2025-08-04,0.0219955239,1.0191624162
2025-08-05,-0.0289213188,0.9896868951
2025-08-06,0.0138480279,1.0033921068
2025-08-07,0.0298545832,1.03334796
2025-08-08,0.0154032073,1.0492648328
2025-08-09,0.0,1.0492648328
2025-08-10,0.0,1.0492648328
2025-08-11,0.0,1.0492648328
2025-08-12,0.0,1.0492648328
2025-08-13,0.0,1.0492648328
2025-08-14,0.0,1.0492648328
2025-08-15,0.0228082455,1.0731967227
2025-08-16,0.0495891776,1.1264156656
2025-08-17,-0.0616456674,1.0569770201
2025-08-18,-6.41486e-05,1.0569092165
2025-08-19,-0.0395508346,1.0151075749
2025-08-20,0.0664932525,1.0826053792
2025-08-21,-0.1087411975,0.9648815738
2025-08-22,0.1783052553,1.1369250292
2025-08-23,0.0260943326,1.166592329
2025-08-24,0.0873253089,1.2684653645
2025-08-25,-0.0057106616,1.2612215881
2025-08-26,-0.0164446636,1.2404812233
2025-08-27,-0.0039502439,1.23558102
2025-08-28,-0.0423654307,1.1832350979
2025-08-29,0.0903804915,1.2901764676
2025-08-30,-0.0012571369,1.2885545391
2025-08-31,-0.0012432393,1.2869525575
2025-09-01,0.0826015393,1.3932568198
2025-09-02,-9.571e-07,1.3932554863
2025-09-03,6.9e-09,1.3932554959
2025-09-04,8.692e-07,1.3932567069
2025-09-05,0.011219864,1.4088888577
2025-09-06,0.0119817845,1.4257698604
2025-09-07,-0.0262348377,1.3883650195
2025-09-08,-0.0256975261,1.3526874731
2025-09-09,0.0177605239,1.3767119113
2025-09-10,-0.0240471188,1.3436059565
2025-09-11,0.0087485392,1.3553605458
2025-09-12,-0.0545010686,1.2814919477
2025-09-13,0.0011214812,1.2829291169
2025-09-14,0.0466919514,1.3428315809
2025-09-15,0.033870854,1.3883144333
2025-09-16,-0.0164399359,1.365490633
2025-09-17,-0.0201772584,1.3379387756
2025-09-18,0.0034779194,1.3425920189
2025-09-19,0.0286668769,1.381079939
2025-09-26,0.1410792529,1.575921665
2025-09-27,-0.0024794172,1.5720142977
2025-09-28,-0.0055630734,1.5632690668
2025-09-29,-0.0009715652,1.5617502489
2025-09-30,0.03466934,1.6158950993
2025-10-01,-0.0696433215,1.5033587974
2025-10-02,-0.1141916325,1.3316878021
2025-10-03,-0.0015897426,1.3295707613
2025-10-04,0.1112454492,1.4774794579
2025-10-05,0.0095373788,1.4915707391
2025-10-06,-0.088913687,1.3589496853
2025-10-07,0.1233186575,1.5265335361
2025-10-08,-0.0488358211,1.4519840174
2025-10-09,0.0742830209,1.5598417765
2025-10-10,0.5503325589,2.4182734929
2025-10-11,0.0,2.4182734929
2025-10-12,0.0,2.4182734929
2025-10-13,0.0,2.4182734929
2025-10-14,0.0,2.4182734929
2025-10-15,0.0,2.4182734929
2025-10-20,0.0,2.4182734929
2025-10-21,-0.0026784965,2.4117961558
2025-10-22,-0.0763165694,2.2277361471
2025-10-23,0.3499459936,3.0073234865
2025-10-24,-0.0238445433,2.9356152315
2025-10-25,0.2237915393,3.5925810829
2025-10-26,0.1606538807,4.1697431756
2025-10-27,0.0323102431,4.3044685913
2025-10-28,-0.035966736,4.1496509058
2025-10-29,0.0445848522,4.3346624781
2025-10-30,-0.1337773903,3.754782644
2025-10-31,-0.0251303635,3.6604235913
2025-11-01,-0.0351631011,3.5317117465
2025-11-02,-0.0488249793,3.3592759935
2025-11-03,-0.0686530221,3.1286515445
2025-11-04,-0.1039671679,2.8033745041
2025-11-05,0.164030058,3.2632121866
2025-11-06,-0.1053588789,2.919403809
2025-11-07,0.1927699018,3.4821769946
2025-11-08,-0.0965541657,3.1459583
2025-11-09,0.0681939993,3.3604937782
2025-11-10,0.002920631,3.3703085405
2025-11-11,-0.1324538431,2.9238982218
2025-11-12,-0.0195044194,2.8668692846
2025-11-13,-0.0144351631,2.8254855589
2025-11-14,-0.0028103586,2.8175449313
2025-11-15,0.018958744,2.8709620444
2025-11-16,-0.0328375981,2.7766865466
2025-11-17,0.0379780107,2.882139578
2025-11-18,0.0235625845,2.9500502353
2025-11-19,-0.0375210967,2.8393611152
2025-11-20,-0.0161031119,2.7936385654
2025-11-21,-0.2176817456,2.1855144459
2025-11-22,-0.2024705388,1.7430121585
2025-11-23,0.1570205327,2.0167008561
2025-11-24,0.0685486407,2.1549429585
2025-11-25,-0.0059533355,2.1421138601
2025-11-26,0.1899769951,2.5490662144
2025-11-27,-0.0732344805,2.3623866744
2025-11-28,0.0059106102,2.3763498212
2025-11-29,-0.0246435587,2.3177881049
2025-11-30,-0.0788935651,2.1349295381
2025-12-01,-0.1298071225,1.8578004781
2025-12-02,0.3349904258,2.4801458512
2025-12-03,0.0287977798,2.5515685453
