date,daily_return,equity_twr
2025-07-22,-0.0252863656,0.9747136344
2025-07-23,-0.0167150948,0.9584212036
2025-07-24,0.0,0.9584212036
2025-07-25,0.0,0.9584212036
2025-07-26,0.0,0.9584212036
2025-07-27,0.0,0.9584212036
2025-07-28,0.0,0.9584212036
2025-07-29,0.0,0.9584212036
2025-07-30,0.0,0.9584212036
2025-07-31,0.0,0.9584212036
2025-08-01,0.0004970295,0.9588975672
2025-08-02,-0.0709653996,0.8908490182
2025-08-03,0.0716098878,0.9546426164
2025-08-04,0.1065460334,1.0563560005
2025-08-05,-0.083898743,0.9677290599
2025-08-06,0.0981575786,1.0627190012
2025-08-07,0.1612993756,1.2341349125
2025-08-08,0.006923289,1.2426791852
2025-08-09,-0.0066832517,1.2343740474
2025-08-10,0.0088452521,1.245292397
2025-08-11,-0.0554778308,1.1762062761
2025-08-12,0.0534100472,1.2390275088
2025-08-13,0.0120170307,1.2539169405
2025-08-14,-0.025090664,1.2224553318
2025-08-15,-0.026746652,1.1897587445
2025-08-16,0.0029720167,1.1932947273
2025-08-17,0.0495331567,1.252402382
2025-08-18,0.0062803706,1.2602679331
2025-08-19,0.0,1.2602679331
2025-08-20,0.0127273762,1.2763078372
2025-08-21,0.0,1.2763078372
2025-08-22,0.0,1.2763078372
2025-08-23,0.0,1.2763078372
2025-08-24,0.0,1.2763078372
2025-08-25,0.0,1.2763078372
2025-08-26,0.0,1.2763078372
2025-08-27,0.0,1.2763078372
2025-08-28,0.0,1.2763078372
2025-08-29,0.0,1.2763078372
2025-08-30,0.0,1.2763078372
2025-08-31,0.0,1.2763078372
2025-09-01,0.0,1.2763078372
2025-09-02,0.0,1.2763078372
2025-09-03,0.0,1.2763078372
2025-09-04,0.0,1.2763078372
2025-09-09,0.007510899,1.2858940565
2025-09-10,0.0009072682,1.2870607073
2025-09-11,-0.0006573921,1.2862146037
2025-09-12,0.0014297426,1.2880535596
2025-09-13,-0.0028084106,1.2844361763
2025-09-14,0.0013448263,1.2861635198
2025-09-15,0.0093824574,1.2982308943
2025-09-16,0.0046077764,1.304212852
2025-09-17,-0.0083110381,1.2933734892
2025-09-18,-0.0059273084,1.2857072657
2025-09-19,0.0108653628,1.2996769416
2025-09-20,-0.0005920695,1.2989074425
2025-09-21,0.0006464144,1.299747075
2025-09-22,0.0096870795,1.3123378282
2025-09-23,0.0,1.3123378282
2025-09-24,0.0,1.3123378282
2025-09-25,0.0,1.3123378282
2025-09-26,0.0,1.3123378282
