date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-14,0.0,1.0
2025-07-15,0.0,1.0
2025-07-16,0.0,1.0
2025-07-17,0.0,1.0
2025-07-18,0.0133453733,1.0133453733
2025-07-19,0.0024296992,1.0158074977
2025-07-20,0.0211695752,1.037311711
2025-07-21,0.0,1.037311711
2025-07-22,0.0,1.037311711
2025-07-23,0.0,1.037311711
2025-07-24,0.0,1.037311711
2025-07-25,0.0203459601,1.0584168136
2025-07-26,0.0006218854,1.0590750276
2025-07-27,0.0003333243,1.059428043
2025-07-28,-0.0523706509,1.0039451068
2025-07-29,-0.0198776321,0.9839890554
2025-07-30,0.0052059825,0.9891116852
2025-07-31,-0.0076454696,0.9815494618
2025-08-01,-0.0406100986,0.9416886414
2025-08-02,-0.0045644229,0.9373903762
2025-08-03,0.0485390062,0.9828903735
2025-08-04,0.033908474,1.0162186862
2025-08-05,-0.0280063475,0.9877581125
2025-08-06,0.0210459022,1.0085463732
2025-08-07,0.0351586701,1.0440055224
2025-08-08,-0.0087641841,1.0348556658
2025-08-09,6.86473e-05,1.0349267058
2025-08-10,0.0114719315,1.0467993141
2025-08-11,0.0052781437,1.0523244713
2025-08-12,0.003230856,1.0557243801
2025-08-13,0.0061693729,1.0622375375
2025-08-14,0.0224943029,1.0861318304
2025-08-15,0.0,1.0861318304
2025-08-16,0.0,1.0861318304
2025-08-17,0.0,1.0861318304
2025-08-18,0.0732981997,1.1657433382
2025-08-19,0.0002797642,1.1660694715
2025-08-20,0.0438059223,1.2171502202
2025-08-21,0.0154628233,1.2359707989
2025-08-22,0.0396275077,1.2849492413
2025-08-23,-0.0049852393,1.2785434618
2025-08-24,-0.0139885692,1.2606584681
2025-08-25,0.0092830682,1.2723612467
2025-08-26,0.044200267,1.3285999535
2025-08-27,0.0041331296,1.3340912293
2025-08-28,-0.0200876252,1.3072925047
2025-08-29,0.0426439909,1.3630406744
2025-08-30,0.0034107095,1.3676896101
2025-08-31,0.0132068943,1.3857525423
2025-09-01,-0.0033398687,1.3811243107
2025-09-02,0.0,1.3811243107
2025-09-03,-0.0023011165,1.3779461828
2025-09-04,0.0065692194,1.3869982136
2025-09-05,0.0,1.3869982136
2025-09-06,0.0122707648,1.4040177424
2025-09-07,-0.0079221995,1.3928948338
2025-09-08,-0.023722492,1.3598518972
2025-09-09,-0.0292306401,1.3201025558
2025-09-10,-0.0257280961,1.2861388304
2025-09-11,-0.000694605,1.285245472
2025-09-12,0.0034026392,1.2896186986
2025-09-13,-0.0137342289,1.2719067802
2025-09-14,0.0,1.2719067802
2025-09-15,0.0004943012,1.2725354852
2025-09-16,-0.0134550998,1.2554133933
2025-09-17,0.0,1.2554133933
2025-09-18,0.0,1.2554133933
2025-09-19,0.0022438117,1.2582303045
2025-09-20,0.0061928072,1.2660222822
2025-09-21,-0.0036203993,1.261438776
2025-09-22,0.0810000475,1.3636153768
2025-09-23,-0.0100128418,1.3499617118
2025-09-24,0.0,1.3499617118
2025-09-25,0.0245636494,1.383121698
2025-09-26,0.1230026648,1.5532493526
2025-09-27,0.0195220572,1.5835719753
2025-09-28,-0.0101018976,1.5675748933
2025-09-29,-0.0116402722,1.5493278949
2025-09-30,-0.0253068626,1.5101192667
2025-10-01,0.0,1.5101192667
2025-10-02,-0.0040858901,1.5039490854
2025-10-03,-0.0008808671,1.5026243061
2025-10-04,0.0,1.5026243061
2025-10-05,0.0,1.5026243061
2025-10-06,0.0,1.5026243061
2025-10-07,-0.0050898429,1.4949761844
2025-10-08,0.004610379,1.5018685912
2025-10-09,0.0118576925,1.5196772872
2025-10-10,-0.233874544,1.1642634546
2025-10-11,-0.0003940944,1.1638046249
2025-10-12,0.0333034841,1.2025633737
2025-10-13,0.0323485569,1.2414645634
2025-10-14,-0.0150950447,1.2227246004
2025-10-15,-0.0108124223,1.2095039856
2025-10-16,0.010981693,1.2227863871
2025-10-17,0.0003886262,1.2232615939
2025-10-18,-0.0006093004,1.2225162601
2025-10-19,0.0024072815,1.2254592009
2025-10-20,-0.0004144181,1.2249513484
2025-10-21,-0.0039732334,1.2200843308
2025-10-22,0.0106129069,1.2330329722
2025-10-23,0.0036119853,1.2374866692
2025-10-24,-0.0023783915,1.2345434414
2025-10-25,0.0162665799,1.2546252409
2025-10-26,0.0041003137,1.259769598
2025-10-27,0.0023835536,1.2627723264
2025-10-28,0.0141373178,1.2806245401
2025-10-29,-0.0389776353,1.2307088238
2025-10-30,0.0005725363,1.2314134493
2025-10-31,0.0079365843,1.2411866659
2025-11-01,0.0070881692,1.249984407
2025-11-02,0.0028062354,1.2534921575
2025-11-03,0.01394711,1.2709747505
2025-11-04,-0.0838548996,1.1643972904
2025-11-05,0.033973951,1.2039564669
2025-11-06,-0.0135282229,1.1876690754
2025-11-07,0.0064589405,1.1953401593
2025-11-08,0.0065125893,1.2031249189
2025-11-09,-0.0041112388,1.198178585
2025-11-10,-0.0011957674,1.1967458421
2025-11-11,0.0072477555,1.2054195634
2025-11-12,0.0175240847,1.2265434379
2025-11-13,0.0004092207,1.2270453649
2025-11-14,-0.0130083745,1.2110834992
2025-11-15,0.0152346446,1.2295339259
2025-11-16,0.0186028067,1.2524067079
2025-11-17,0.009067951,1.2637634706
2025-11-18,0.0156647955,1.2835600669
2025-11-19,-0.0167768651,1.2620259528
2025-11-20,-0.0166990133,1.2409513646
2025-11-21,-0.0067781466,1.2325400143
2025-11-28,0.052902165,1.2977440496
2025-11-29,0.0016492806,1.2998843936
2025-11-30,-0.0011859934,1.2983427393
2025-12-01,-0.0150072435,1.2788581937
2025-12-02,-0.0341966344,1.2351255476
2025-12-03,-0.0465392739,1.1776437014
2025-12-04,-0.0001409367,1.1774777282
2025-12-05,0.0179586281,1.1986236128
2025-12-06,-0.0022181711,1.1959648606
2025-12-07,-0.0070626038,1.1875182346
2025-12-08,9.20401e-05,1.1876275339
2025-12-09,-0.0426557773,1.1369683583
2025-12-10,-0.0054271262,1.1307978875
2025-12-11,-0.0582117642,1.0649721475
2025-12-12,0.0941319733,1.1652200773
2025-12-13,0.010394378,1.1773318152
2025-12-14,0.0649172228,1.253760927
2025-12-15,0.0376646526,1.3009833968
2025-12-16,-0.0244001975,1.2692391449
2025-12-17,0.0231605163,1.2986353788
2025-12-18,0.0015611433,1.3006627348
2025-12-19,-0.0382426422,1.2509219552
2025-12-20,-0.0012097907,1.2494086014
2025-12-21,-0.0035150981,1.2450168076
2025-12-22,-0.0115000105,1.2306991013
2025-12-23,-0.000549098,1.2300233269
2025-12-24,0.0,1.2300233269
2025-12-25,0.0,1.2300233269
2025-12-26,-0.0007711988,1.2290747343
2025-12-27,0.0005569629,1.2297592834
2025-12-28,4.67878e-05,1.2298168211
2025-12-29,0.0006483829,1.2306142133
2025-12-30,0.0,1.2306142133
2025-12-31,0.0,1.2306142133
2026-01-01,0.0,1.2306142133
2026-01-02,0.0,1.2306142133
2026-01-03,0.0,1.2306142133
2026-01-04,0.0,1.2306142133
