date,daily_return,equity_twr
2025-07-11,0.0624746344,1.0624746344
2025-07-12,0.0509385096,1.1165955088
2025-07-13,-0.0055521114,1.1103960461
2025-07-14,0.0400462942,1.1548632929
2025-07-15,0.0068098434,1.162727731
2025-07-16,0.0220867979,1.1884086634
2025-07-17,0.0370172101,1.2324002366
2025-07-18,0.0350516281,1.2755978714
2025-07-19,0.0211276506,1.3025482575
2025-07-20,0.0172221911,1.3249809925
2025-07-21,0.017514284,1.3481870859
2025-07-22,0.0161855517,1.3700082377
2025-07-23,0.0173786579,1.3938171422
2025-07-24,-0.0036202973,1.3887711097
2025-07-25,-0.0002422774,1.3884346419
2025-07-26,0.0041540269,1.3942022367
2025-07-27,0.0009275549,1.3954954359
2025-07-28,0.0218684205,1.4260127169
2025-07-29,-0.0018250392,1.4234101877
2025-07-30,0.0012298276,1.4251607369
2025-07-31,0.0038037351,1.4305816708
2025-08-01,-0.0003365917,1.4301001489
2025-08-02,0.0136041048,1.4495553812
2025-08-03,-0.004861778,1.4425079647
2025-08-04,-0.0102969112,1.4276545883
2025-08-05,0.0079630289,1.439023043
2025-08-06,-0.0105553225,1.4238336907
2025-08-07,0.0353952727,1.4742306725
2025-08-08,0.0015628948,1.47653474
2025-08-09,0.0138473975,1.4969809034
2025-08-10,0.002815513,1.5011956726
2025-08-11,-0.0087934093,1.4879950446
2025-08-12,0.0,1.4879950446
2025-08-13,0.002528113,1.4917568642
2025-08-14,0.0013444454,1.4937624499
2025-08-15,-0.0632695408,1.3992527856
2025-08-16,0.0003728863,1.3997745478
2025-08-17,-0.006096696,1.3912405479
2025-08-18,-0.0039480113,1.3857479145
2025-08-19,-0.0013591053,1.3838645372
2025-08-20,0.0067304431,1.3931785587
2025-08-21,0.0015421042,1.3953269852
2025-08-22,-0.0036729986,1.3902019512
2025-08-23,0.0121842632,1.4071405376
2025-08-24,0.0333224779,1.4540299471
2025-08-25,0.041566746,1.5144692406
2025-08-26,-0.2322876129,1.1626767959
2025-08-27,0.0192582371,1.1850679013
2025-08-28,0.0841104095,1.2847444478
2025-08-29,0.0006337149,1.2855586095
2025-08-30,0.0037441134,1.2903718867
2025-08-31,0.0007115863,1.2912900976
2025-09-01,0.0046129131,1.2972467066
2025-09-02,0.0218001746,1.3255269113
2025-09-03,0.0048719084,1.331984757
2025-09-04,-0.0152109295,1.3117240308
2025-09-05,0.0095636185,1.324268859
2025-09-06,-0.0014846939,1.3223027251
2025-09-07,0.0074352704,1.3321344034
2025-09-08,0.0157147009,1.3530684971
2025-09-09,0.0040060791,1.3584889966
2025-09-10,0.0112474146,1.3737684855
2025-09-11,-0.0247043199,1.3398304694
2025-09-12,0.0024621746,1.3431293659
2025-09-13,0.010007724,1.3565710339
2025-09-14,0.0086113374,1.3682529248
2025-09-15,0.0134248962,1.3866215783
2025-09-16,0.0097468205,1.4001367299
2025-09-17,0.0194290173,1.4273400107
2025-09-18,0.0062912475,1.43631976
2025-09-19,0.021381196,1.4670299943
2025-09-20,0.0359188296,1.5197239946
2025-09-21,0.0198141977,1.5498361063
2025-09-22,0.0459288775,1.621018339
2025-09-23,0.0548084615,1.7098638602
2025-09-24,0.0201854508,1.744378233
2025-09-25,0.0614482336,1.8515671942
2025-09-26,0.0046917949,1.8602543677
2025-09-27,0.0091538342,1.8772828278
2025-09-28,0.0027922027,1.8825245819
2025-09-29,0.003771255,1.8896240622
2025-09-30,0.0063955038,1.9017091601
2025-10-01,0.0006640459,1.9029719822
2025-10-02,0.0234620885,1.9476196793
2025-10-03,0.0069222481,1.9611015859
2025-10-04,0.0188521174,1.9980725032
2025-10-05,-0.0021423202,1.9937919922
2025-10-06,0.0138080344,2.0213223406
2025-10-07,-0.2224999552,1.5715782104
2025-10-08,0.007546408,1.5834379807
2025-10-09,0.0184643391,1.6126751166
2025-10-10,-0.0425709952,1.5440219319
2025-10-11,0.2055664765,1.8614210801
2025-10-12,0.108545057,2.0634691373
2025-10-13,0.0307435321,2.126907467
2025-10-14,0.0334779129,2.1981118899
2025-10-15,0.0235940131,2.2499741706
2025-10-16,0.0081255277,2.2682563981
2025-10-17,0.0030984376,2.275284449
2025-10-18,0.0010113031,2.2775854512
2025-10-19,0.0014020525,2.2807787456
2025-10-20,0.0337746566,2.3578112645
2025-10-21,0.0147297019,2.3925411216
2025-10-22,0.0228695547,2.4472574716
2025-10-23,0.0006810623,2.4489242064
2025-10-24,-0.0011862665,2.4460191297
2025-10-25,0.0147800954,2.4821715258
2025-10-26,0.0099339279,2.5068292387
2025-10-27,0.0096674711,2.5310639379
2025-10-28,0.0189309306,2.5789793337
2025-10-29,0.0063068005,2.5952444419
2025-10-30,0.0153688734,2.6351304251
2025-10-31,0.0002172483,2.6357029027
2025-11-01,0.009093134,2.6596697024
2025-11-02,0.0210461135,2.7156454128
2025-11-03,-0.0079932814,2.6939384949
2025-11-04,0.0491693352,2.8263976597
2025-11-05,0.0228209404,2.8908987123
2025-11-06,0.0461591266,3.0243400719
2025-11-07,0.0633285956,3.2158672813
2025-11-08,0.0300716242,3.3125736336
2025-11-09,0.0229124336,3.3884727571
2025-11-10,0.0607576992,3.5943485656
2025-11-11,0.0352839206,3.721171275
2025-11-12,0.0533167144,3.9195719011
2025-11-13,0.0246943306,4.0163631054
2025-11-14,0.0026932701,4.0271802561
2025-11-15,0.0020089836,4.0352707952
2025-11-16,0.005742298,4.0584425226
2025-11-17,0.0054658707,4.0806254447
2025-11-18,-0.0141013792,4.0230829979
2025-11-19,0.0125893812,4.0737311234
2025-11-20,0.073402274,4.3727522515
2025-11-21,-0.0109934289,4.3246807105
2025-11-22,0.0028042604,4.3368082414
2025-11-23,0.0019126232,4.3451029214
2025-11-24,0.0044907765,4.3646158075
2025-11-25,0.0013213547,4.3703830131
2025-11-26,0.0003723997,4.3720105424
2025-11-27,0.0023047993,4.3820871493
2025-11-28,0.0021404087,4.3914666067
2025-11-29,-0.0008719203,4.3876375979
2025-11-30,0.0029325947,4.4005047606
2025-12-01,0.0007566864,4.4038345627
2025-12-02,0.0059645438,4.4301014269
2025-12-03,0.0016447782,4.4373879611
2025-12-04,-0.0021198801,4.4279812307
2025-12-05,0.0043017763,4.4470294154
2025-12-06,0.005819607,4.4729093789
2025-12-07,0.0096038591,4.5158665704
2025-12-08,0.0103478967,4.5625962911
2025-12-09,0.0016415206,4.5700858869
2025-12-10,0.014063813,4.6343587202
2025-12-11,0.0015798577,4.6416803476
2025-12-12,0.0005998601,4.6444647064
2025-12-13,-0.0030881765,4.6301217796
2025-12-14,-0.0042934237,4.610242705
2025-12-15,-0.008162368,4.5726122075
2025-12-16,0.0005784244,4.575257118
2025-12-17,0.001669806,4.5828969098
2025-12-18,0.005992925,4.6103618672
2025-12-19,0.0044439913,4.6308502753
2025-12-20,0.0013510647,4.6371068536
2025-12-21,-0.0021675317,4.6270557775
2025-12-22,0.0103972932,4.6751646331
2025-12-23,4.85467e-05,4.6753915969
2025-12-24,0.0048216705,4.6979347946
2025-12-25,0.0168714944,4.7771959752
2025-12-26,-0.0009175571,4.7728126251
2025-12-27,-0.038812538,4.5875676537
2025-12-28,0.0,4.5875676537
2025-12-29,-0.0005229793,4.5851684508
2025-12-30,-0.0082772646,4.5472157983
2025-12-31,0.0009987582,4.5517573674
2026-01-01,-0.0201741918,4.4599293412
2026-01-02,-0.0020928827,4.4505952323
2026-01-03,0.0,4.4505952323
2026-01-04,0.0,4.4505952323
