date,daily_return,equity_twr
2025-07-11,0.0265636011,1.0265636011
2025-07-12,-0.0219025457,1.0040792449
2025-07-13,0.0431113066,1.0473664131
2025-07-14,0.056866529,1.1069265056
2025-07-15,-0.0056751514,1.1006445301
2025-07-16,0.0658205524,1.1730895611
2025-07-17,-0.0079792405,1.1637291973
2025-07-18,-0.0340060935,1.1241553134
2025-07-19,-0.0095446079,1.1134256917
2025-07-20,0.0655997711,1.1864661623
2025-07-21,0.0082629308,1.19626985
2025-07-22,0.0264917699,1.2279611557
2025-07-23,-0.0729467587,1.1383853695
2025-07-24,-0.0005761606,1.1377294767
2025-07-25,-0.0507077392,1.0800377872
2025-07-26,0.0178930864,1.0993629966
2025-07-27,0.0179560712,1.1191032368
2025-07-28,-0.0441978734,1.0696412537
2025-07-29,-0.0005460422,1.0690571844
2025-07-30,-0.0457310368,1.020168091
2025-07-31,-0.0043531728,1.015727123
2025-08-01,-0.0658980971,0.9487926384
2025-08-02,-0.0205462068,0.9292985486
2025-08-03,0.0142472494,0.9425384968
2025-08-04,0.0435806924,0.9836149771
2025-08-05,-0.0588059643,0.9257725499
2025-08-06,0.0455241983,0.967917603
2025-08-07,0.0643908494,1.0302426396
2025-08-08,0.0355356976,1.0668530305
2025-08-09,0.0106010434,1.0781627858
2025-08-10,6.36317e-05,1.0782313912
2025-08-11,-0.0239947948,1.0523594502
2025-08-12,0.0831158902,1.1398272427
2025-08-13,0.0580481865,1.205992147
2025-08-14,-0.0858365877,1.1024738964
2025-08-15,-0.0126638231,1.088512362
2025-08-16,-0.0012308499,1.0871725666
2025-08-17,0.0240446296,1.1133132283
2025-08-18,-0.0351709314,1.0741569651
2025-08-19,-0.0921640487,0.9751583103
2025-08-20,0.0617294601,1.0353543063
2025-08-21,-0.0462234952,0.9874966115
2025-08-22,0.1918983274,1.1769955595
2025-08-23,-0.0242812108,1.1484166822
2025-08-24,-0.0384110333,1.1043048108
2025-08-25,-0.1098755675,0.982968693
2025-08-26,0.0856271065,1.067137458
2025-08-27,-0.0188820121,1.0469877556
2025-08-28,-0.0114517615,1.0349979015
2025-08-29,-0.093314781,0.938417299
2025-08-30,0.0037225351,0.9419105904
2025-08-31,0.0185264392,0.9593608396
2025-09-01,-0.0840518306,0.8787248049
2025-09-02,0.0785385871,0.9477386095
2025-09-03,0.045887935,0.9912283772
2025-09-04,-0.0563556095,0.9353670978
2025-09-05,-0.0220944889,0.9147006399
2025-09-06,-0.011780178,0.9039253035
2025-09-07,0.0136987028,0.9163079076
2025-09-08,0.0486534844,0.9608894801
2025-09-09,-0.0356868348,0.926598376
2025-09-10,0.077125477,0.9980627177
2025-09-11,0.0587953685,1.056744183
2025-09-12,0.0736727672,1.1345974512
2025-09-13,0.0100866842,1.1460417773
2025-09-14,-0.0297543449,1.111942055
2025-09-15,-0.044439707,1.0625276759
2025-09-16,0.0133942335,1.0767594197
2025-09-17,0.0172729671,1.0953582497
2025-09-18,0.0599177267,1.160989626
2025-09-19,-0.0470443866,1.1063715812
2025-09-20,0.0152358813,1.1232281272
2025-09-21,-0.008764514,1.1133835786
2025-09-22,-0.0965140886,1.0059263772
2025-09-23,-0.029340456,0.9764120386
2025-09-24,0.0461008594,1.0214254727
2025-09-25,-0.1108716082,0.9081783879
2025-09-26,0.0115534012,0.9186709372
2025-09-27,0.0009302248,0.9195255077
2025-09-28,0.0270681922,0.9444154009
2025-09-29,0.1111754028,1.0494111635
2025-09-30,-0.0087652887,1.0402127717
2025-10-01,0.0715030509,1.1145911584
2025-10-02,0.0459762795,1.165835913
2025-10-03,0.0327574283,1.2040256994
2025-10-04,-0.0123939226,1.189103098
2025-10-05,0.0102959168,1.2013460046
2025-10-06,0.0568468587,1.2696387512
2025-10-07,-0.1093043477,1.1308617157
2025-10-08,0.0148963299,1.1477074049
2025-10-09,-0.0720375749,1.0650293467
2025-10-10,-0.3499359841,0.6923372542
2025-10-11,0.0223573149,0.7078160562
2025-10-12,0.3099935113,0.9272344408
2025-10-13,0.0676068868,0.9899218747
2025-10-14,-0.0930405295,0.8978190193
2025-10-15,-0.333496564,0.5983994613
2025-10-16,0.0416267094,0.6233088617
2025-10-17,-0.0662429172,0.5820190644
2025-10-18,0.0006240894,0.5823822964
2025-10-19,0.0960258571,0.6383060555
2025-10-20,0.02432888,0.6538353269
2025-10-21,0.0152253319,0.6637901868
2025-10-22,-0.1249434489,0.5808539515
2025-10-23,0.0687545468,0.6207903017
2025-10-24,0.0486894213,0.6510162223
2025-10-25,0.0215586434,0.6650512488
2025-10-26,0.0819890594,0.7195781752
2025-10-27,-0.8301134841,0.1222466291
2025-10-28,-0.0555391143,0.1154571596
2025-10-29,-0.011896791,0.1140835899
2025-10-30,-0.1608479061,0.0957334833
2025-10-31,0.0573772894,0.1012264111
2025-11-01,0.0081406784,0.1020504628
2025-11-02,-0.014667103,0.1005536781
2025-11-03,-0.1898146412,0.0814671178
2025-11-04,-0.1379366837,0.0702298137
2025-11-05,0.1076218204,0.0777880741
2025-11-06,1.0,0.1555761483
2025-11-07,0.1355161609,0.1766592306
2025-11-08,-0.0470787191,0.1683423403
2025-11-09,0.0317624097,0.1736892987
2025-11-10,0.0434842141,0.1812420414
2025-11-11,-0.1314482203,0.1574180976
2025-11-12,-0.0184622034,0.1545118126
2025-11-13,-0.1128122829,0.1370809823
2025-11-14,-0.0538865296,0.1296941639
2025-11-15,-0.0016276807,0.1294830632
2025-11-16,-0.0449942974,0.1236570638
2025-11-17,-0.0182270114,0.1214031651
2025-11-18,0.0261301731,0.1245754508
2025-11-19,-0.0171631452,0.1224373442
2025-11-20,-0.0027165671,0.122104735
2025-11-21,-0.0664425478,0.1139917853
2025-11-22,-0.0193088384,0.1117907363
2025-11-23,0.0185557508,0.1138650974
2025-11-24,0.0126601147,0.1153066425
2025-11-25,-0.0090567965,0.1142623338
2025-11-26,0.0397923971,0.1188091059
2025-11-27,0.0123306735,0.1202741022
2025-11-28,-0.0238891403,0.1174008573
2025-11-29,0.0021217502,0.1176499526
2025-11-30,-0.0027036691,0.1173318661
2025-12-01,-0.0617632197,0.1100850722
2025-12-02,0.0823802662,0.1191539098
2025-12-03,0.0197043018,0.1215017544
2025-12-04,-0.0179838596,0.1193166839
2025-12-05,-0.0349134358,0.1151509285
2025-12-06,0.0074188076,0.1160052111
2025-12-07,-0.0217031351,0.1134875343
2025-12-08,0.0299367066,0.1168849773
2025-12-09,-0.1609938832,0.098067211
2025-12-10,-0.0320332445,0.0949258
2025-12-11,0.0122354769,0.0960872624
2025-12-12,-0.0219378557,0.0939793139
2025-12-13,0.0170224533,0.0955790724
2025-12-14,-0.0354927123,0.0921867119
2025-12-15,-0.0408890919,0.088417281
2025-12-16,0.0175279491,0.0899670546
2025-12-17,-0.0006718971,0.089906606
2025-12-18,-0.0342781112,0.0868247773
2025-12-19,0.0274852125,0.0892111748
2025-12-20,-0.1298111826,0.0776305667
2025-12-21,-0.0179960999,0.0762335193
2025-12-22,0.0078090593,0.0768288313
2025-12-23,-0.0131814152,0.0758161186
2025-12-24,0.0049656819,0.0761925973
2025-12-25,0.0210378251,0.0777955239
2025-12-26,-0.0102064772,0.0770015056
2025-12-27,0.0153398712,0.0781826988
2025-12-28,-0.0134353301,0.0771322884
2025-12-29,-0.0074274469,0.0765593925
2025-12-30,-0.0008452674,0.0764946793
2025-12-31,-0.0108381753,0.0756656166
2026-01-01,0.0322836951,0.0781083823
2026-01-02,0.0488464683,0.0819237009
2026-01-03,0.0032788877,0.0821923195
2026-01-04,0.0260226649,0.0843311827
