date,daily_return,equity_twr
2025-07-11,0.173979046,1.173979046
2025-07-12,-0.0122732584,1.1595704978
2025-07-13,0.0544631022,1.2227243043
2025-07-14,0.1442086237,1.3990516934
2025-07-15,0.134639081,1.5874187277
2025-07-16,0.025786636,1.6283529166
2025-07-17,0.1591137462,1.8874462493
2025-07-18,-0.0680826133,1.7589439762
2025-07-19,0.0142555436,1.7840186787
2025-07-20,-0.0161261813,1.7552492701
2025-07-21,0.0011922147,1.7573419041
2025-07-22,0.0103601272,1.7755481897
2025-07-23,0.0582244516,1.8789285094
2025-07-24,0.0492508733,1.9714673793
2025-07-25,-0.0994523545,1.7754003066
2025-07-26,-0.0395191045,1.7052380764
2025-07-27,-0.1522159765,1.4456735974
2025-07-28,-0.1749832782,1.1927048921
2025-07-29,0.1764478101,1.4031550585
2025-07-30,-0.0068402804,1.3935570844
2025-07-31,-0.0180585249,1.3683914991
2025-08-01,0.0209903483,1.3971145133
2025-08-02,0.1552669269,1.6140401903
2025-08-03,-0.0568924748,1.5222134494
2025-08-04,0.0963398222,1.6688632225
2025-08-05,0.0557059473,1.7618288292
2025-08-06,-0.0446502493,1.6831627328
2025-08-07,0.0517244937,1.7702234729
2025-08-08,0.0324503339,1.8276678157
2025-08-09,0.035613738,1.8927578985
2025-08-10,0.0325615802,1.9543890866
2025-08-11,-0.0354678586,1.8850710908
2025-08-12,-0.0383384838,1.8128003233
2025-08-13,0.0122817471,1.8350646784
2025-08-14,0.0162749461,1.8649302572
2025-08-15,-0.002802824,1.8597031859
2025-08-16,-0.0009810835,1.8578786618
2025-08-17,0.0003025939,1.8584408445
2025-08-18,0.0002680613,1.8589390206
2025-08-19,-0.0138620047,1.8331703991
2025-08-20,0.0148494616,1.8603919926
2025-08-21,-0.0040355053,1.8528843708
2025-08-22,-0.0445361611,1.770364014
2025-08-23,-0.0153639221,1.7431642792
2025-08-24,-0.1864915595,1.4180788543
2025-08-25,-0.0726389349,1.3150711167
2025-08-26,0.0237383508,1.3462887362
2025-08-27,-0.0676010365,1.2552782222
2025-08-28,-0.4440465585,0.6978762477
2025-08-29,0.0307712759,0.7193507903
2025-08-30,0.12399429,0.8085461807
2025-08-31,-0.2546037861,0.6026872619
2025-09-01,0.0206994407,0.6151625511
2025-09-02,-0.026747852,0.5987082743
2025-09-03,-0.0194865665,0.5870415057
2025-09-04,-0.0670921596,0.5476556233
2025-09-05,-0.0551551292,0.5174496066
2025-09-06,-0.0094419045,0.5125638968
2025-09-07,-0.0107198797,0.5070692735
2025-09-08,0.0683413892,0.5417230921
2025-09-09,-0.0082426954,0.5372578337
2025-09-10,-0.0129927442,0.5302773801
2025-09-11,-0.0011616761,0.5296613695
2025-09-12,-0.0278432513,0.5149138749
2025-09-13,0.0295042779,0.5301060369
2025-09-14,0.0204168316,0.5409291226
