date,daily_return,equity_twr
2025-07-11,0.044583431,1.044583431
2025-07-12,-0.0332766732,1.0098231695
2025-07-13,-0.0300233742,0.9795048706
2025-07-14,0.0564489989,1.03479694
2025-07-15,0.0,1.03479694
2025-07-16,0.0067136599,1.0417442147
2025-07-17,0.0344235719,1.0776047716
2025-07-18,-0.0277278578,1.0477250997
2025-07-19,0.0919495496,1.1440629508
2025-07-20,-0.007281703,1.1357322241
2025-07-21,0.0688951878,1.213978709
2025-07-22,-0.0155293628,1.1951263932
2025-07-23,0.0,1.1951263932
2025-07-24,-0.0159813904,1.1760266117
2025-07-25,0.0324670348,1.2142087087
2025-07-26,-0.0222466563,1.1871966249
2025-07-27,0.006492677,1.1949047091
2025-07-28,0.0271060597,1.2272938675
2025-07-29,0.0137880749,1.2442158872
2025-07-30,-0.018440279,1.2212721991
2025-07-31,-0.0304084149,1.1841352474
2025-08-01,-0.0689258186,1.1025177561
2025-08-02,-0.0302070922,1.0692139006
2025-08-03,0.0990767772,1.175148168
2025-08-04,0.0396376692,1.2217283024
2025-08-05,-0.0659341821,1.141174646
2025-08-06,0.0455810554,1.1931905908
2025-08-07,0.0637658376,1.2692753882
2025-08-08,0.0956458561,1.3906763193
2025-08-09,0.0518208748,1.4627423828
2025-08-10,-0.0132224425,1.4434013557
2025-08-11,-0.2754014642,1.0458865089
2025-08-12,0.2159281101,1.2717228062
2025-08-13,0.1913422498,1.515057109
2025-08-14,-0.1552485508,1.2798466885
2025-08-15,-0.0302627672,1.2411149861
2025-08-16,0.0033479305,1.2452701528
2025-08-17,0.0459716248,1.302517245
2025-08-18,-0.0674200728,1.2147014376
2025-08-19,-0.1419484648,1.0422764333
2025-08-20,0.1392517838,1.1874152859
2025-08-21,-0.0506873653,1.1272283335
2025-08-22,0.3503094715,1.5221070953
2025-08-23,-0.0368296402,1.4660484386
2025-08-24,0.0125007374,1.4843751252
2025-08-25,-0.2503250503,1.1127988473
2025-08-26,0.2330527618,1.372139692
2025-08-27,-0.0667592323,1.2805366995
