date,daily_return,equity_twr
2025-07-11,-0.0549689475,0.9450310525
2025-07-12,-0.0076990874,0.9377551758
2025-07-13,-0.0947863136,0.8488688197
2025-07-14,0.1005308843,0.9342063527
2025-07-15,-0.058499993,0.8795552877
2025-07-16,-0.0330344311,0.8504996791
2025-07-17,0.0133729149,0.8618733389
2025-07-18,0.1478275771,0.9892819864
2025-07-19,-0.0499170959,0.9398999026
2025-07-20,-0.08068235,0.8640665697
2025-07-21,-0.0626408592,0.8099406974
2025-07-22,0.0254768508,0.8305754357
2025-07-23,0.1163703999,0.9272298313
2025-07-24,0.0958744189,1.0161274525
2025-07-25,-0.0394662107,0.9760247524
2025-07-26,-0.0528178902,0.9244731842
2025-07-27,-0.0485640818,0.8795769928
2025-07-28,0.2447915515,1.0948900096
2025-07-29,0.0164554447,1.1129069116
2025-07-30,0.0620929254,1.1820105574
2025-07-31,0.0438892214,1.2338880805
2025-08-01,0.0474465904,1.2924318628
2025-08-02,0.0132764941,1.3095908268
2025-08-03,-0.0801347153,1.2046471388
2025-08-04,-0.0883805684,1.0981797399
2025-08-05,0.1287256676,1.2395436601
2025-08-06,-0.0232897016,1.2106750581
2025-08-07,-0.0474616295,1.1532144471
2025-08-08,-0.0592838385,1.084847468
2025-08-09,-0.0023517975,1.0822961265
2025-08-10,0.0644226688,1.1520205314
2025-08-11,0.1230912849,1.2938242188
2025-08-12,0.033763103,1.3375077392
2025-08-13,0.0379527067,1.3882697781
2025-08-14,0.0795060376,1.4986456073
2025-08-15,-0.0373805502,1.4426254099
2025-08-16,-0.0798414295,1.327444135
2025-08-17,-0.0244152362,1.2950342729
2025-08-18,0.0067454851,1.3037699073
2025-08-19,-0.006083538,1.2958383735
2025-08-20,-0.0320428112,1.2543160691
2025-08-21,0.0163276514,1.2747961047
2025-08-22,-0.012237413,1.2591958982
2025-08-23,0.0127909723,1.2753022381
2025-08-24,0.0605233472,1.3524877982
2025-08-25,0.1130228951,1.5053498848
2025-08-26,-0.0027272608,1.5012444031
2025-08-27,0.0407497039,1.562419668
2025-08-28,-0.0400970757,1.4997712083
2025-08-29,-0.0160827431,1.4756507732
2025-08-30,-0.0876768217,1.3462704035
2025-08-31,0.032345565,1.3898162803
2025-09-01,0.1212090598,1.558274605
2025-09-02,-0.0369179762,1.5007462602
2025-09-03,0.0024954322,1.5044912707
2025-09-04,0.065913712,1.603657875
2025-09-05,-0.0554968243,1.5146599557
2025-09-06,-0.0084771606,1.50181994
2025-09-07,-0.0303722623,1.4562062709
2025-09-08,-0.06378587,1.363320887
2025-09-09,-0.0920366066,1.2378454588
2025-09-10,0.0803868169,1.3373519151
2025-09-11,0.0024915972,1.3406840574
2025-09-12,0.0218739246,1.3700100794
2025-09-13,-0.0393614265,1.3160845283
2025-09-14,0.0930581077,1.4385568641
2025-09-15,0.0406659109,1.4970570893
2025-09-16,0.0060964085,1.5061837609
2025-09-17,-0.0594197979,1.4166866262
2025-09-18,-0.0004112905,1.4161039565
2025-09-19,0.005317129,1.4236335639
2025-09-20,-0.0209599875,1.3937942222
2025-09-21,0.0107128749,1.4087257653
2025-09-22,0.0236474165,1.4420384902
2025-09-23,-0.0446671988,1.3776266703
2025-09-24,-0.0324812946,1.3328795726
2025-09-25,-0.0124087027,1.3163402662
2025-09-26,-0.0531890116,1.2463254286
2025-09-27,-0.0091299558,1.2349465325
2025-09-28,0.0530459657,1.3004554639
2025-09-29,0.2055501489,1.5677642781
2025-09-30,-0.00303633,1.5630040284
2025-10-01,0.0555052607,1.6497589745
2025-10-02,0.0366892434,1.710287383
2025-10-03,0.0447781276,1.7868708497
2025-10-04,0.0315139951,1.8431822889
2025-10-05,0.0299953075,1.8984691085
2025-10-06,-0.0513164881,1.801046341
2025-10-07,-0.0171726702,1.7701175662
2025-10-08,0.0394297071,1.8399127834
2025-10-09,-0.0176042073,1.8075225773
2025-10-10,0.3462953492,2.4334592394
2025-10-11,-0.0135742141,2.4004269427
2025-10-12,0.013676184,2.4332556233
2025-10-13,-0.0003390742,2.4324305691
2025-10-14,-0.006421722,2.4168101762
2025-10-15,-0.0003519549,2.415959568
2025-10-16,9.87445e-05,2.4161981307
2025-10-17,-0.0063842473,2.4007725243
2025-10-18,0.0008850509,2.4028973302
2025-10-19,0.0043309549,2.4133041702
2025-10-20,-0.0012814616,2.4102116135
2025-10-21,-0.0011254803,2.4074989678
2025-10-22,-0.0051382758,2.3951285742
2025-10-23,0.0035142109,2.4035455611
2025-10-24,0.0013930412,2.4068937991
2025-10-25,-6.70874e-05,2.4067323268
2025-10-26,0.0049871932,2.4187351659
2025-10-27,-0.0114183989,2.391117083
2025-10-28,-0.0032065448,2.3834498589
2025-10-29,-0.0369167941,2.2954605312
2025-10-30,0.0319973747,2.368909242
2025-10-31,0.0074928897,2.3866592176
2025-11-01,-0.0116773697,2.3587893156
2025-11-02,0.0121424267,2.387430742
2025-11-03,0.0352487936,2.4715847954
2025-11-04,-0.0511438415,2.3451784544
2025-11-05,-0.0107746564,2.3199099623
2025-11-06,0.003948715,2.3290706256
2025-11-07,-0.037038101,2.2428062725
2025-11-08,0.0,2.2428062725
2025-11-09,0.0,2.2428062725
2025-11-10,0.0,2.2428062725
2025-11-11,0.0,2.2428062725
2025-11-12,0.0,2.2428062725
2025-11-13,0.0,2.2428062725
2025-11-14,0.0,2.2428062725
2025-11-15,0.0,2.2428062725
2025-11-16,0.0,2.2428062725
2025-11-17,0.0,2.2428062725
2025-11-18,0.0,2.2428062725
2025-11-19,0.0,2.2428062725
2025-11-20,0.0,2.2428062725
2025-11-22,0.0,2.2428062725
