date,daily_return,equity_twr
2025-07-11,0.1089595957,1.1089595957
2025-07-12,-0.04619126,1.0577353547
2025-07-13,0.0337501832,1.0934341167
2025-07-14,0.0371834797,1.134091802
2025-07-15,0.0099516774,1.1453779177
2025-07-16,-0.0047797573,1.1399032893
2025-07-17,0.0344963941,1.1792258424
2025-07-18,-0.0093915481,1.1681510861
2025-07-19,-0.0267628559,1.136888027
2025-07-20,0.0133129321,1.1520233401
2025-07-21,0.029092223,1.18553826
2025-07-22,-0.0199279869,1.1619128691
2025-07-23,-0.0211606439,1.1373260446
2025-07-24,0.0016313353,1.1391814047
2025-07-25,-0.0180056381,1.1186697166
2025-07-26,0.0089505487,1.1286824244
2025-07-27,-0.0271937759,1.0979892875
2025-07-28,0.0291527773,1.1299987247
2025-07-29,-0.0715496634,1.0491476963
2025-07-30,0.0073319405,1.0568399847
2025-07-31,0.014065277,1.0717047319
2025-08-01,0.00734538,1.0795768104
2025-08-02,-0.0035794992,1.0757124661
2025-08-03,-0.0049535439,1.0703838771
2025-08-04,-0.0424947955,1.0248981332
2025-08-05,0.0268236938,1.0523896869
2025-08-06,0.0107823561,1.0637369272
2025-08-07,0.0339471951,1.0998478122
2025-08-08,0.0177660269,1.119387738
2025-08-09,0.0088500232,1.1292943455
2025-08-10,0.0125462691,1.1434627762
2025-08-11,0.0229207024,1.1696717462
2025-08-12,-0.0043327562,1.1646038437
2025-08-13,-0.0021508321,1.1620989764
2025-08-14,-0.0448860714,1.1099369188
2025-08-15,-0.0028027125,1.1068260847
2025-08-16,0.0205818941,1.129606662
2025-08-17,0.041006617,1.1759280097
2025-08-18,-0.0159197016,1.1572075867
2025-08-19,-0.01555959,1.1392019111
2025-08-20,0.00785287,1.1481479156
2025-08-21,0.0276962997,1.1799473644
2025-08-22,0.008196583,1.1896189009
2025-08-23,-0.0030409378,1.1860013438
2025-08-24,-0.0066429804,1.1781227601
2025-08-25,0.0010757139,1.1793900832
2025-08-26,0.0025026616,1.1823416974
2025-08-27,-0.0016988629,1.180333061
2025-08-28,-0.0010553881,1.1790873515
2025-08-29,-0.0050174656,1.1731713213
2025-08-30,-0.0039567257,1.1685294042
2025-08-31,0.0065307642,1.1761607942
2025-09-01,-0.0159457081,1.1574060775
2025-09-02,-0.0038696246,1.1529273504
2025-09-03,-0.0035131785,1.1488769109
2025-09-04,-0.001061542,1.1476573298
2025-09-05,0.0195531967,1.1700976993
2025-09-06,-8.60109e-05,1.1699970581
