date,daily_return,equity_twr
2025-12-06,-0.0344789598,0.9655210402
2025-12-07,-0.0019008879,0.9636856929
2025-12-08,-0.1561415877,0.8132142788
2025-12-09,-0.3817916625,0.5027358473
2025-12-10,0.0013031311,0.503390978
2025-12-11,0.1625705096,0.5852275059
2025-12-12,0.2911383987,0.7556097048
2025-12-13,-0.0482397474,0.7191592835
2025-12-14,0.0885725181,0.7828570322
2025-12-15,0.2373680091,0.9686822473
2025-12-16,-0.0413179727,0.9286582607
2025-12-17,0.2545623971,1.1650597336
2025-12-18,0.0016974015,1.1670373077
2025-12-19,-0.2779510121,0.8426581069
2025-12-20,-0.0012171223,0.8416324889
2025-12-21,-0.0448198239,0.803910669
2025-12-22,0.0486463128,0.8430179588
2025-12-23,0.0010053211,0.8438654626
2025-12-24,0.0618193783,0.8960327008
2025-12-25,0.0060630335,0.9014653771
2025-12-26,0.0400547356,0.9375733345
2025-12-27,-0.0144587339,0.9240172111
2025-12-28,-0.0049843137,0.9194116195
2025-12-29,0.0079691181,0.9267385192
2025-12-30,-0.0727721371,0.8592977767
2025-12-31,-0.0222681041,0.8401628443
2026-01-01,-0.0251635685,0.819021349
2026-01-02,-0.2187921681,0.6398258924
2026-01-03,0.0409492725,0.6660262972
2026-01-04,-0.0535056611,0.6303901198
