date,daily_return,equity_twr
2025-07-11,0.0698951472,1.0698951472
2025-07-12,0.0122063469,1.0829546585
2025-07-13,0.0244763002,1.1094613818
2025-07-14,-0.0587049785,1.0443304753
2025-07-15,-0.0506171091,0.9914694857
2025-07-16,0.0213516752,1.0126390201
2025-07-17,-0.0204943772,0.9918856141
2025-07-18,-0.0940766035,0.8985723844
2025-07-19,-0.0086947294,0.8907595407
2025-07-20,0.1069958652,0.9860671284
2025-07-21,-0.0261263185,0.9603048246
2025-07-22,0.0190289228,0.9785783909
2025-07-23,-0.0823281011,0.8980138902
2025-07-24,-0.0659715713,0.8387705029
2025-07-25,0.0396397948,0.8720191935
2025-07-26,0.0171962049,0.8870146142
2025-07-27,0.05166289,0.9328403526
2025-07-28,-0.0116247342,0.9219963315
2025-07-29,-0.0490693841,0.8767545394
2025-07-30,-0.0917800851,0.7962859331
2025-07-31,-0.028350369,0.7737109331
2025-08-01,-0.2620867457,0.5709315525
2025-08-02,0.0412230923,0.5944671166
2025-08-03,0.0724777511,0.6375527563
2025-08-04,0.0549305242,0.6725738634
2025-08-05,-0.0780592452,0.6200732553
2025-08-06,0.068912268,0.6628039097
2025-08-07,0.1688722286,0.774733083
2025-08-08,0.0038227171,0.7776946684
2025-08-09,0.0677159106,0.8303569711
2025-08-10,0.0786320053,0.8956496048
2025-08-11,-0.0560423353,0.8454553093
2025-08-12,0.0994163617,0.9295074002
2025-08-13,0.1463443912,1.0655355948
2025-08-14,-0.1831969208,0.8703327548
2025-08-15,0.0461683395,0.9105145729
2025-08-16,-0.0206701025,0.8916941434
2025-08-17,0.0170042385,0.9068567232
2025-08-18,-0.0743854994,0.839399733
2025-08-19,-0.1829712072,0.6858137505
2025-08-20,0.0263251336,0.7038678891
2025-08-21,-0.1224199928,0.6177003872
2025-08-22,0.2586469674,0.7774667191
2025-08-23,-0.0492599959,0.7391687117
2025-08-24,-0.0618863474,0.6934242601
2025-08-25,-0.0752965048,0.6412118369
2025-08-26,0.006977961,0.6456861881
2025-08-27,-0.0061405339,0.6417213302
2025-08-28,0.0053821552,0.645175174
2025-08-29,-0.0574047959,0.6081390248
2025-08-30,-0.0004951254,0.6078379197
2025-08-31,0.0110393032,0.6145480268
2025-09-01,-0.0381667138,0.5910927482
2025-09-02,0.0251982177,0.6059872319
2025-09-03,0.0091295702,0.6115196349
2025-09-04,-0.0145499055,0.602622082
2025-09-05,0.0172066258,0.6129911747
2025-09-06,-0.0174098178,0.60231911
2025-09-07,0.0305896056,0.620743814
2025-09-08,0.0834390593,0.6725380939
2025-09-09,0.0146924969,0.6824193578
2025-09-10,0.0627869378,0.7252663795
2025-09-11,0.0274459425,0.7451719989
2025-09-12,0.0135851055,0.7552952391
2025-09-13,-0.0088210785,0.7486327205
2025-09-14,-0.0015301594,0.7474871931
2025-09-15,-0.0132987855,0.7375465213
2025-09-16,0.0319230254,0.7610912376
2025-09-17,0.0401598477,0.7916565458
2025-09-18,0.0262072493,0.8124036863
2025-09-19,-0.0291749306,0.7887018651
2025-09-20,0.0011074861,0.7895753414
2025-09-21,-0.0055891845,0.7851622592
2025-09-22,-0.0502144017,0.7457358061
2025-09-23,-0.0090663159,0.7389747297
2025-09-24,0.0212430952,0.7546728402
2025-09-25,-0.0735521206,0.6991650525
2025-09-26,0.0267965941,0.7179002946
2025-09-27,0.0286531618,0.7384704079
2025-09-28,0.0601848009,0.7829151024
2025-09-29,0.0312035994,0.8073448716
2025-09-30,-0.0315238666,0.7818942396
2025-10-01,0.1120704268,0.8695214607
2025-10-02,0.0467466992,0.9101687189
2025-10-03,0.0,0.9101687189
2025-10-04,0.0,0.9101687189
2025-10-05,0.0,0.9101687189
2025-10-06,0.0,0.9101687189
2025-10-07,0.0093740389,0.9187006758
2025-10-08,0.0058177081,0.9240454082
2025-10-09,-0.0110215984,0.9138609508
2025-10-10,0.0170391074,0.9294323257
2025-10-11,-0.0086080828,0.9214316953
2025-10-12,0.1050355783,1.0182148063
2025-10-13,-0.072687373,0.9442034468
2025-10-14,-0.0459802188,0.9007887658
2025-10-15,-0.0667766074,0.840637148
2025-10-16,-0.1088850378,0.7491043404
2025-10-17,-0.1195512751,0.6595479613
2025-10-18,-0.0378611963,0.6345766865
2025-10-19,0.0141376798,0.6435481285
2025-10-20,0.0420942468,0.6706378022
2025-10-21,-0.0261410241,0.6531066433
2025-10-22,-0.1650304259,0.5453241758
2025-10-23,0.1916360599,0.6498279522
2025-10-24,0.0685955402,0.6944032516
2025-10-25,0.0161854553,0.7056424844
2025-10-26,0.1316056398,0.798509015
2025-10-27,0.0072714652,0.8043153455
2025-10-28,-0.0549874016,0.7600881346
2025-10-29,-0.0267054671,0.7397896259
2025-10-30,-0.127294493,0.6456184806
2025-10-31,0.0664927969,0.6885474591
2025-11-01,-0.0026569752,0.6867180056
2025-11-02,-0.0127015915,0.677995594
2025-11-03,-0.1517860368,0.5750853298
2025-11-04,-0.2068204127,0.4561459446
2025-11-05,0.0631800447,0.4849652657
2025-11-06,0.0004542759,0.4851855738
2025-11-07,0.0,0.4851855738
2025-11-08,0.0,0.4851855738
