date,daily_return,equity_twr
2025-07-11,0.0809254259,1.0809254259
2025-07-12,0.1080762969,1.1977478432
2025-07-13,0.1786887111,1.4117718615
2025-07-14,0.04993219,1.4822647223
2025-07-15,0.1084003347,1.6429427143
2025-07-16,0.2978352868,2.1322690288
2025-07-17,0.1172218472,2.3822175431
2025-07-18,0.2034167041,2.8668003842
2025-07-19,0.0878511323,3.118652044
2025-07-20,0.0314556391,3.2167512372
2025-07-21,0.1329179715,3.6443152864
2025-07-22,0.069000563,3.895775093
2025-07-23,0.0841776775,4.2237123923
2025-07-24,0.0265272046,4.3357556751
2025-07-25,-0.1419279033,3.7203909629
2025-07-26,0.1038455514,4.1067370139
2025-07-27,-0.1966736319,3.2990501301
2025-07-28,0.1393234653,3.7586852265
2025-07-29,-0.076757208,3.4701790427
2025-07-30,0.0493473537,3.6414231954
2025-07-31,-0.0022919038,3.6330774037
2025-08-01,-0.0146930896,3.5796962719
2025-08-02,0.0708729788,3.8334000099
2025-08-03,-0.0556608605,3.6200296667
2025-08-04,0.0683742572,3.8675465062
2025-08-05,0.0149997294,3.9255586572
2025-08-06,-0.0010657054,3.9213751682
2025-08-07,0.1018093111,4.3206076726
2025-08-08,0.0001191405,4.3211224319
2025-08-09,0.0067453682,4.3502699938
2025-08-10,0.0921891853,4.7513178403
2025-08-11,-0.0337844215,4.5907973157
2025-08-12,0.0352571816,4.7526558904
2025-08-13,0.0247593374,4.8703285011
2025-08-14,-0.0065250977,4.8385491318
2025-08-15,0.0015384963,4.8459932218
2025-08-16,0.0003950638,4.8479076983
2025-08-17,-0.0013956937,4.841141504
2025-08-18,-0.0497264119,4.6004089075
2025-08-19,0.0010862822,4.6054062498
2025-08-20,-0.0003752721,4.6036779694
2025-08-21,-0.0043486426,4.5836582192
2025-08-22,-0.007321,4.5501012574
2025-08-23,-0.0776011064,4.1970083656
2025-08-24,-0.3499667007,2.7281951951
2025-08-25,0.0243904726,2.7947371652
2025-08-26,-0.0388635238,2.6861238309
2025-08-27,0.0407588053,2.7956070291
2025-08-28,-1.0,0.0
2025-08-29,0.0080115995,0.0
2025-08-30,0.0238818218,0.0
2025-08-31,-0.3321409979,0.0
