date,daily_return,equity_twr
2025-09-17,-0.0108529604,0.9891470396
2025-09-18,0.0508400173,1.0394352922
2025-09-19,0.0076073908,1.0473426827
2025-09-20,-0.0386632735,1.0068489861
2025-09-21,0.0502791371,1.0574724843
2025-09-22,-0.0091926821,1.0477514759
2025-09-23,0.095214777,1.1475128991
2025-09-24,-0.0207870675,1.123659471
2025-09-25,-0.1854277922,0.9153017761
2025-09-26,0.0338467239,0.9462817426
2025-09-27,0.0,0.9462817426
2025-09-28,0.0,0.9462817426
2025-09-29,0.0,0.9462817426
2025-09-30,0.0,0.9462817426
2025-10-01,0.0,0.9462817426
2025-10-02,0.0,0.9462817426
2025-10-03,0.0,0.9462817426
2025-10-04,0.0,0.9462817426
2025-10-05,0.0,0.9462817426
2025-10-06,0.0,0.9462817426
2025-10-07,0.0,0.9462817426
2025-10-08,0.4868974087,1.4070238709
2025-10-09,0.3534385722,1.9043203789
2025-10-10,0.1116401521,2.1169189957
2025-10-11,0.0285869287,2.1774352081
2025-10-12,-0.0005881471,2.1761545559
2025-10-13,0.0,2.1761545559
2025-10-14,0.0,2.1761545559
2025-10-15,0.0,2.1761545559
2025-10-16,0.0,2.1761545559
2025-10-17,0.0,2.1761545559
2025-10-18,0.0,2.1761545559
2025-10-19,0.0,2.1761545559
2025-10-20,0.0,2.1761545559
2025-10-21,0.0002217295,2.1766370736
2025-10-22,-0.00112018,2.1741988482
2025-10-23,-0.001394964,2.1711659191
2025-10-24,0.0,2.1711659191
2025-10-25,0.0,2.1711659191
2025-10-26,0.0,2.1711659191
2025-10-27,0.0324934104,2.2417145044
2025-10-28,0.0314511738,2.3122190569
2025-10-29,0.002323377,2.3175912134
2025-10-30,0.0125419243,2.346658267
2025-10-31,0.0764839687,2.5261400044
2025-11-01,0.0200019701,2.5766677813
2025-11-02,0.0382656835,2.6752657351
2025-11-03,0.0149201343,2.7151810591
2025-11-04,0.0636081425,2.8878886829
2025-11-05,0.0421149626,3.0095120067
2025-11-06,0.0929413971,3.2892202572
2025-11-07,0.002621237,3.2978420831
2025-11-08,0.3114034436,4.3248014642
2025-11-09,4.59641e-05,4.3250002498
2025-11-10,0.0043388349,4.3437657118
2025-11-11,0.003886203,4.3606464671
2025-11-12,0.0010214753,4.3651007598
2025-11-13,0.0027269424,4.3770041381
2025-11-14,0.0017195914,4.3845307968
2025-11-15,0.0004705045,4.3865937383
2025-11-16,0.0006544686,4.3894646261
2025-11-17,0.003821764,4.406240124
2025-11-18,0.0025591744,4.417516461
2025-11-19,0.0022835748,4.4276041902
2025-11-20,0.0011056433,4.4324995411
2025-11-21,0.0011970585,4.4378055024
2025-11-22,-0.0004773566,4.4356870866
2025-11-23,-0.0005360563,4.4333093086
2025-11-24,0.0745570232,4.7638436536
2025-11-25,0.0003415468,4.7654707292
2025-11-26,0.0016088932,4.7731378626
2025-11-27,0.000536435,4.7756983408
2025-11-28,0.0001616099,4.776470141
2025-11-29,0.0014664447,4.7834745703
2025-11-30,0.0008221837,4.7874074651
2025-12-01,0.0012434559,4.7933603952
2025-12-02,0.0014865919,4.8004861659
2025-12-03,-0.0004777644,4.7981926645
2025-12-04,0.001231497,4.8041016244
2025-12-05,-0.0011264887,4.7986898582
2025-12-06,0.0007455255,4.8022674038
2025-12-07,0.0001660729,4.8030649303
2025-12-08,0.0005454383,4.8056847059
2025-12-09,-0.0001058111,4.8051762111
2025-12-10,0.0001959655,4.8061178599
2025-12-11,6.37584e-05,4.8064242902
2025-12-12,-0.0279913033,4.6718862101
2025-12-13,-0.0074956114,4.6368675666
2025-12-14,-2.1297e-06,4.6368576915
2025-12-15,4.6716e-06,4.636879353
2025-12-16,0.000434552,4.6388943182
2025-12-17,0.0001608466,4.6396404686
2025-12-18,0.0019709132,4.6487847972
2025-12-19,0.0037203086,4.6660797113
2025-12-20,0.0013375338,4.6723207506
2025-12-21,0.0014107177,4.6789120762
2025-12-22,-0.000641022,4.6759127906
2025-12-23,-0.0005366907,4.6734032717
2025-12-24,4.03544e-05,4.6735918641
2025-12-25,0.0062575289,4.7028370003
2025-12-26,-0.001191847,4.6972319381
2025-12-27,0.0077772343,4.7337634114
2025-12-28,0.0030129935,4.7480262098
2025-12-29,0.0010518916,4.7530206187
2025-12-30,0.0538209477,5.0088326929
2025-12-31,-0.0011270984,5.0031872455
2026-01-01,0.0006493188,5.0064359091
2026-01-02,0.0006438159,5.0096591321
2026-01-03,0.0013758316,5.0165515795
2026-01-04,-0.0003737993,5.014676396
